,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Open Interest (All),Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Open Interest (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All)
0,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2025-01-28,192011,32196,104027,    1800,    1017,    1552
1,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2025-01-21,190211,31179,102475,   -1809,    5044,   -1291
2,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2025-01-14,192020,26135,103766,   -5744,   -6981,   -2783
3,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2025-01-07,197764,33116,106549,   14892,   -2132,    -110
4,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-12-31,182872,35248,106659,    5083,    3834,    7075
5,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-12-24,177789,31414,99584,    5128,   -1515,    5124
6,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-12-17,172661,32929,94460,  -66365,  -55822,   14194
7,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-12-10,239026,88751,80266,   48779,    2052,   14968
8,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-12-03,190247,86699,65298,    4714,   -1995,    8380
9,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-11-26,185533,88694,56918,    3845,    1991,    1813
10,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-11-19,181688,86703,55105,    9808,    3148,    1345
11,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-11-12,171880,83555,53760,   -5536,   -7933,   -6752
12,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-11-05,177416,91488,60512,   -6561,   -2189,   -5649
13,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-10-29,183977,93677,66161,   -2973,   -8832,   -8669
14,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-10-22,186950,102509,74830,   -6339,    3458,   -4952
15,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-10-15,193289,99051,79782,  -12417,  -12510,    1643
16,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-10-08,205706,111561,78139,    4674,   10099,   -8795
17,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-10-01,201032,101462,86934,   24590,   19538,   -6238
18,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-09-24,176442,81924,93172,    6758,   27983,    -891
19,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-09-17,169684,53941,94063,  -60329,  -20318,    5762
20,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-09-10,230013,74259,88301,   16475,  -12859,   -6681
21,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-09-03,213538,87118,94982,    8688,    5632,   -5663
22,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-08-27,204850,81486,100645,   17490,   10932,   -8794
23,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-08-20,187360,70554,109439,    -938,    5526,    1795
24,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-08-13,188298,65028,107644,   -4336,   -3165,    -748
25,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-08-06,192634,68193,108392,  -13218,  -11043,   -2214
26,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-07-30,205852,79236,110606,  -20406,  -17737,    4819
27,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-07-23,226258,96973,105787,   -3335,   -9339,   10588
28,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-07-16,229593,106312,95199,    4576,    7315,   -1385
29,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-07-09,225017,98997,96584,   27218,   21046,    2797
30,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-07-02,197799,77951,93787,   16728,   13331,    5491
31,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-06-25,181071,64620,88296,    6376,    8921,   -9059
32,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-06-18,174695,55699,97355,  -38101,   10159,  -12970
33,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-06-11,212796,45540,110325,   13000,   -6121,    7361
34,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-06-04,199796,51661,102964,    6118,   -2231,    -844
35,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-05-28,193678,53892,103808,   -2931,    3356,   -2961
36,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-05-21,196609,50536,106769,   -5189,   10477,  -10461
37,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-05-14,201798,40059,117230,   -7872,   -9421,    3234
38,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-05-07,209670,49480,113996,  -14903,    8187,  -10532
39,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-04-30,224573,41293,124528,  -14705,   -2136,  -15140
40,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-04-23,239278,43429,139668,    4359,    1064,   -3780
41,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-04-16,234919,42365,143448,   25981,   11809,   20551
42,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-04-09,208938,30556,122897,  -15956,   -4001,  -14345
43,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-04-02,224894,34557,137242,    5912,     119,   -2648
44,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-03-26,218982,34438,139890,   -1939,   -3769,   -5855
45,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-03-19,220921,38207,145745,   -8802,   -3384,   13314
