,Unnamed: 0.1,Unnamed: 0,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Open Interest (All),Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Open Interest (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All)
0,988.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2025-01-28,331109,21219,168820,    -526,    1716,   -1470
1,989.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2025-01-21,331635,19503,170290,  -18728,   -3528,  -19894
2,990.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2025-01-14,350363,23031,190184,   -6847,    3917,   -7519
3,991.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2025-01-07,357210,19114,197703,    3524,   -1770,    1111
4,13375.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-12-31,353686,20884,196592,    7744,    7382,    6370
5,13376.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-12-24,345942,13502,190222, -139650,   -5668,  -11003
6,13377.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-12-17,485592,19170,201225,   77411,   -9864,   -9363
7,13378.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-12-10,408181,29034,210588,   83856,    7338,   29546
8,13379.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-12-03,324325,21696,181042,    1905,     415,    5759
9,13380.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-11-26,322420,21281,175283,  -25934,   -2623,  -32187
10,13381.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-11-19,348354,23904,207470,    5797,    1893,    3070
11,13382.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-11-12,342557,22011,204400,    6090,   -4805,    2355
12,13383.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-11-05,336467,26816,202045,    6522,    -583,    7147
13,13384.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-10-29,329945,27399,194898,   21666,   -1040,   25828
14,13385.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-10-22,308279,28439,169070,   11742,   -8279,    9959
15,13386.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-10-15,296537,36718,159111,   71892,   15075,   48317
16,13387.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-10-08,224645,21643,110794,    8601,   -3508,   15640
17,13388.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-10-01,216044,25151,95154,    2880,    -154,    4260
18,13389.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-09-24,213164,25305,90894,  -43374,    3841,   -3720
19,13390.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-09-17,256538,21464,94614,    5329,   -2309,    1888
20,13391.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-09-10,251209,23773,92726,   -4688,   -7687,   -7278
21,13392.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-09-03,255897,31460,100004,  -40144,   12135,  -29323
22,13393.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-08-27,296041,19325,129327,  -18032,    -203,  -54611
23,13394.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-08-20,314073,19528,183938,   -9094,   -1140,  -16341
24,13395.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-08-13,323167,20668,200279,  -11953,   -1325,   -3346
25,13396.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-08-06,335120,21993,203625,  -16736,   -1733,  -16364
26,13397.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-07-30,351856,23726,219989,   36172,    -361,   34299
27,13398.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-07-23,315684,24087,185690,   34743,    -647,   28483
28,13399.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-07-16,280941,24734,157207,   23653,    4471,   25732
29,13400.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-07-09,257288,20263,131475,   -6177,   -1587,  -10727
30,13401.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-07-02,263465,21850,142202,  -14972,   -5940,   -8000
31,13402.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-06-25,278437,27790,150202,  -73021,    5012,  -20507
32,13403.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-06-18,351458,22778,170709,   44071,  -14532,    3906
33,13404.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-06-11,307387,37310,166803,   41626,     -50,   37804
34,13405.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-06-04,265761,37360,128999,    1360,      61,    5115
35,13406.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-05-28,264401,37299,123884,   29910,    1900,   -2339
36,13407.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-05-21,234491,35399,126223,   13651,    1113,   11634
37,13408.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-05-14,220840,34286,114589,    4132,    1341,   12423
38,13409.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-05-07,216708,32945,102166,    5153,    -848,    5172
39,13410.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-04-30,211555,33793,96994,  -15192,   -2080,  -15329
40,13411.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-04-23,226747,35873,112323,  -10779,   -1194,   -7559
41,13412.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-04-16,237526,37067,119882,   44562,    2326,   31756
42,13413.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-04-09,192964,34741,88126,   -4207,   -9479,   -7317
43,13414.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-04-02,197171,44220,95443,    6176,    6305,    7238
44,13415.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-03-26,190995,37915,88205,  -39597,   -7846,    5296
45,13416.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-03-19,230592,45761,82909,   37369,    9797,   16071
46,13417.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-03-12,193223,35964,66838,    9526,   -6626,    4411
47,13418.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-03-05,183697,42590,62427,   17213,    1432,   19891
48,13419.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-02-27,166484,41158,42536,    8818,    4050,    4565
49,13420.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-02-20,157666,37108,37971,   -3853,    1410,   -3209
50,13421.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-02-13,161519,35698,41180,    1401,    2916,     662
51,13422.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-02-06,160118,32782,40518,     742,   -6319,    -971
52,13423.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-01-30,159376,39101,41489,    4238,    4791,   -1272
53,13424.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-01-23,155138,34310,42761,  -10860,   -4428,   -9365
54,13425.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-01-16,165998,38738,52126,   -5559,   -3548,    2460
55,13426.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-01-09,171557,42286,49666,  -12919,   -8609,  -22360
56,13427.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-01-02,184476,50895,72026,    8024,    9210,   -4380
57,12338.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-12-26,176452,41685,76406,  -37789,   12823,   -6789
58,12339.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-12-19,214241,28862,83195,     368,    9405,    8493
59,12340.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-12-12,213873,19457,74702,   16082,    -296,   -2899
60,12341.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-12-05,197791,19753,77601,   -3073,     762,   -4632
