,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Open Interest (All),Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Open Interest (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All)
101140,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2016-12-27,227733,112505,66742,   -5309,   -6720,    -457
101141,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2016-12-20,233042,119225,67199,   -3780,   -8441,     648
101142,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2016-12-13,236822,127666,66551,     532,    3846,    -878
101143,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2016-12-06,236290,123820,67429,    5870,    2753,    -277
101144,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2016-11-29,230420,121067,67706,   -5873,    2978,   -4071
101145,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2016-11-22,236293,118089,71777,   -2322,     173,   -1144
101146,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2016-11-15,238615,117916,72921,    4693,    -469,   -5828
101147,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2016-11-08,233922,118385,78749,   30880,   29716,    1378
101148,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2016-11-01,203042,88669,77371,  -10527,   -2266,  -27318
101149,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2016-10-25,213569,90935,104689,    5840,    3400,    6012
101150,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2016-10-18,207729,87535,98677,   21915,    8403,   23871
101151,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2016-10-11,185814,79132,74806,    4005,    2035,   -1392
101152,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2016-10-04,181809,77097,76198,    1905,    2328,    -661
101153,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2016-09-27,179904,74769,76859,  -10670,   -7505,  -18566
101154,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2016-09-20,190574,82274,95425,  -13371,   -6407,  -18549
101155,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2016-09-13,203945,88681,113974,     492,    8753,    3821
101156,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2016-09-06,203453,79928,110153,   16425,   10649,   19001
101157,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2016-08-30,187028,69279,91152,   -5168,    -928,   14279
101158,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2016-08-23,192196,70207,76873,   11836,    8999,   10591
101159,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2016-08-16,180360,61208,66282,   -7937,   -5504,   -5608
101160,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2016-08-09,188297,66712,71890,    -508,   -2056,    5804
101161,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2016-08-02,188805,68768,66086,    1621,    -516,    1620
101162,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2016-07-26,187184,69284,64466,    8820,    3274,     820
101163,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2016-07-19,178364,66010,63646,   12139,   11580,   -5014
101164,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2016-07-12,166225,54430,68660,    1560,    3755,   -1484
101165,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2016-07-05,164665,50675,70144,   -3262,   -3017,   -3362
101166,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2016-06-28,167927,53692,73506,  -47602,  -10147,  -23259
101167,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2016-06-21,215529,63839,96765,  -23542,   -7521,  -19406
101168,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2016-06-14,239071,71360,116171,   11144,   -1183,    4334
101169,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2016-06-07,227927,72543,111837,   10799,    1227,    1694
101170,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2016-05-31,217128,71316,110143,    6864,    -844,   -3070
101171,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2016-05-24,210264,72160,113213,    7107,   -7024,    3383
101172,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2016-05-17,203157,79184,109830,   18389,    7819,   15639
101173,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2016-05-10,184768,71365,94191,    8310,    5714,   21080
101174,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2016-05-03,176458,65651,73111,    4080,     377,    -239
101175,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2016-04-26,172378,65274,73350,  -29513,   -1044,  -17484
101176,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2016-04-19,201891,66318,90834,     655,   -2161,      34
101177,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2016-04-12,201236,68479,90800,    8330,     942,   13178
101178,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2016-04-05,192906,67537,77622,    6131,     -66,    5593
101179,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2016-03-29,186775,67603,72029,    8598,    5089,   10433
101180,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2016-03-22,178177,62514,61596,    2734,    -829,   -2294
101181,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2016-03-15,175443,63343,63890,    9555,     165,   -2166
101182,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2016-03-08,165888,63178,66056,    5878,    7429,  -14309
101183,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2016-03-01,160010,55749,80365,  -13531,   -2205,    -536
101184,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2016-02-23,173541,57954,80901,  -17590,   -2087,   -6478
101185,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2016-02-16,191131,60041,87379,    1613,   -3411,   -2901
101186,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2016-02-09,189518,63452,90280,  -12164,    -110,   -8793
101187,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2016-02-02,201682,63562,99073,   -1218,   -1406,   -2722
101188,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2016-01-26,202900,64968,101795,    3889,   -3743,  -10322
101189,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2016-01-19,199011,68711,112117,    5491,      49,    1430
101190,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2016-01-12,193520,68662,110687,   21701,    5604,   15816
101191,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2016-01-05,171819,63058,94871,    4130,    3103,    4810
101192,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2015-12-29,167689,59955,90061,   -2521,   -3169,   -3402
101193,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2015-12-22,170210,63124,93463,   -8551,   -4905,   -7199
101194,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2015-12-15,178761,68029,100662,    -487,    2217,     658
101195,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2015-12-08,179248,65812,100004,   -1269,    -343,    -404
101196,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2015-12-01,180517,66155,100408,   -5682,    1628,    2115
101197,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2015-11-24,186199,64527,98293,   -7129,    2993,    7476
101198,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2015-11-17,193328,61534,90817,   19456,    8720,   10575
101199,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2015-11-10,173872,52814,80242,    8486,   -2479,   13171
101200,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2015-11-03,165386,55293,67071,    -560,   -2879,    8050
101201,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2015-10-27,165946,58172,59021,    2983,    1601,   -2133
101202,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2015-10-20,162963,56571,61154,    6481,    2280,     722
101203,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2015-10-13,156482,54291,60432,    3095,    -326,   -5733
101204,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2015-10-06,153387,54617,66165,    1677,    2198,   -3260
101205,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2015-09-29,151710,52419,69425,    -865,      37,    3793
101206,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2015-09-22,152575,52382,65632,   -2056,   -7148,    2061
101207,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2015-09-15,154631,59530,63571,   -4385,   -1161,  -10387
101208,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2015-09-08,159016,60691,73958,     368,    -340,   -7463
101209,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2015-09-01,158648,61031,81421,   -8343,     700,   -2235
101210,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2015-08-25,166991,60331,83656,  -24274,    -490,   -6137
101211,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2015-08-18,191265,60821,89793,   -3852,     513,   -4274
101212,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2015-08-11,195117,60308,94067,   13841,    -270,    1159
101213,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2015-08-04,181276,60578,92908,   17620,    4880,   12756
101214,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2015-07-28,163656,55698,80152,   -2186,   -1221,    1066
101215,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2015-07-21,165842,56919,79086,    4129,    3855,    5264
101216,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2015-07-14,161713,53064,73822,   -5295,   -2575,   -7246
101217,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2015-07-07,167008,55639,81068,     730,   -4079,    -457
101218,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2015-06-30,166278,59718,81525,  -18357,    5625,    3793
101219,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2015-06-23,184635,54093,77732,    2870,     558,    7685
101220,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2015-06-16,181765,53535,70047,   10224,    2858,    5988
101221,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2015-06-09,171541,50677,64059,   10953,     -32,    4606
101222,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2015-06-02,160588,50709,59453,  -12034,  -14190,   -3822
101223,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2015-05-26,172622,64899,63275,   -6588,   -8699,    -982
101224,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2015-05-19,179210,73598,64257,    1133,    -124,    -949
101225,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2015-05-12,178077,73722,65206,   11898,   10192,    1224
101226,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2015-05-05,166179,63530,63982,   11732,   13025,   -2606
101227,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2015-04-28,154447,50505,66588,   -3274,      22,    3786
101228,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2015-04-21,157721,50483,62802,   -8039,   -4210,     879
101229,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2015-04-14,165760,54693,61923,   -5246,   -4072,   -1838
101230,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2015-04-07,171006,58765,63761,     881,   -1513,    -671
101231,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2015-03-31,170125,60278,64432,    4535,    2041,   -2885
101232,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2015-03-24,165590,58237,67317,    1100,    2989,   -5478
101233,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2015-03-17,164490,55248,72795,     251,    1939,   -2042
101234,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2015-03-10,164239,53309,74837,    1219,    2266,     983
101235,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2015-03-03,163020,51043,73854,   -8500,     707,   -6785
101236,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2015-02-24,171520,50336,80639,  -14155,    5810,   -2052
101237,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2015-02-17,185675,44526,82691,      69,    -917,   -4736
101238,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2015-02-10,185606,45443,87427,    4662,   -1480,     206
101239,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2015-02-03,180944,46923,87221,    1792,     313,     -51
101240,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2015-01-27,179152,46610,87272,    6306,     282,    4159
101241,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2015-01-20,172846,46328,83113,   -6613,   -7070,   -6108
101242,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2015-01-13,179459,53398,89221,    9422,    7470,    2028
101243,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2015-01-06,170037,45928,87193,   10930,    1390,    7602
101244,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2014-12-30,159107,44538,79591,    6291,    1035,    3889
101245,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2014-12-23,152816,43503,75702,     771,   -3619,   -1135
101246,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2014-12-16,152045,47122,76837,    -222,     -49,   -3292
101247,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2014-12-09,152267,47171,80129,   -6994,   -3575,   -4799
101248,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2014-12-02,159261,50746,84928,   -1663,   -4645,    1259
101249,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2014-11-25,160924,55391,83669,  -15493,    2423,    6096
101250,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2014-11-18,176417,52968,77573,    6056,    4772,    3816
101251,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2014-11-11,170361,48196,73757,    5419,     704,     402
101252,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2014-11-04,164942,47492,73355,   -4982,   -6900,   -2394
101253,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2014-10-28,169924,54392,75749,   -5617,    -177,   -6560
101254,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2014-10-21,175541,54569,82309,    8011,    -404,    3471
101255,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2014-10-14,167530,54973,78838,     -92,     490,    -641
101256,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2014-10-07,167622,54483,79479,    7233,    2448,    4013
101257,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2014-09-30,160389,52035,75466,    8373,     762,    4498
101258,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2014-09-23,152016,51273,70968,    8646,    2698,    8937
101259,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2014-09-16,143370,48575,62031,    -677,     174,    4111
101260,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2014-09-09,144047,48401,57920,    7677,    5326,   11055
101261,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2014-09-02,136370,43075,46865,  -10156,   -3178,     739
101262,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2014-08-26,146526,46253,46126,   -5499,    2193,   -4048
101263,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2014-08-19,152025,44060,50174,   -1632,   -3108,    1573
101264,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2014-08-12,153657,47168,48601,  -17666,  -14939,   -6000
101265,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2014-08-05,171323,62107,54601,   -3694,   -1731,   -4918
101266,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2014-07-29,175017,63838,59519,   -5462,   -6253,   -1770
101267,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2014-07-22,180479,70091,61289,    1067,   -6442,    -617
101268,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2014-07-15,179412,76533,61906,   18364,   10954,    3459
101269,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2014-07-08,161048,65579,58447,   14805,   13214,    4318
101270,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2014-07-01,146243,52365,54129,    3830,   10384,    4315
101271,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2014-06-24,142413,41981,49814,   -9110,    3819,   -6387
101272,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2014-06-17,151523,38162,56201,    4070,   -1927,     783
101273,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2014-06-10,147453,40089,55418,   -4330,   -7246,   -1657
101274,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2014-06-03,151783,47335,57075,   -1716,   -4677,     685
101275,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2014-05-27,153499,52012,56390,    3153,    1041,    -174
101276,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2014-05-20,150346,50971,56564,   -1264,    2063,   -2407
101277,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2014-05-13,151610,48908,58971,    9541,    8010,     620
101278,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2014-05-06,142069,40898,58351,    3082,   -1424,    2148
101279,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2014-04-29,138987,42322,56203,  -13903,    1397,   -4639
101280,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2014-04-22,152890,40925,60842,  -11132,   -2504,   -4053
101281,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2014-04-15,164022,43429,64895,   10700,   -2066,     899
101282,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2014-04-08,153322,45495,63996,     224,      62,   -7232
101283,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2014-04-01,153098,45433,71228,    -959,      75,   -7105
101284,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2014-03-25,154057,45358,78333,   -5485,   -3669,     980
101285,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2014-03-18,159542,49027,77353,    3751,    1353,    8119
101286,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2014-03-11,155791,47674,69234,   10496,    1965,   10284
101287,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2014-03-04,145295,45709,58950,    -970,     677,    5839
101288,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2014-02-25,146265,45032,53111,  -16694,    -320,   -6075
101289,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2014-02-18,162959,45352,59186,   -2037,   -1555,   -5771
101290,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2014-02-11,164996,46907,64957,   13196,    1190,    5821
101291,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2014-02-04,151800,45717,59136,   -1029,   -6123,    7300
101292,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2014-01-28,152829,51840,51836,   -7286,   -9291,     418
101293,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2014-01-21,160115,61131,51418,   -3181,    1788,    -888
101294,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2014-01-14,163296,59343,52306,   -6292,   -8203,   -2812
101295,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2014-01-07,169588,67546,55118,    2564,    1530,    -535
101296,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2013-12-31,167024,66016,55653,    2092,    5073,    -555
101297,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2013-12-24,164932,60943,56208,    5053,    5934,    3578
101298,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2013-12-17,159879,55009,52630,     327,   10634,   -4878
101299,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2013-12-10,159552,44375,57508,    -490,    1346,  -12872
101300,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2013-12-03,160042,43029,70380,    1262,    1797,    -880
101301,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2013-11-26,158780,41232,71260,  -14326,     819,   -3051
101302,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2013-11-19,173106,40413,74311,    9842,     447,   15377
101303,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2013-11-12,163264,39966,58934,   14640,    3212,   12396
101304,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2013-11-05,148624,36754,46538,   -5874,   -1556,   -1787
101305,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2013-10-29,154498,38310,48325,    -426,   -6359,    7271
101306,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2013-10-22,154924,44669,41054,    5105,    6997,   -4346
101307,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2013-10-15,149819,37672,45400,    1883,    -208,    3636
101308,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2013-10-08,147936,37880,41764,     -65,   -1152,    1398
101309,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2013-10-01,148001,39032,40366,     490,    2384,   -3532
101310,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2013-09-24,147511,36648,43898,   -1662,    1009,   -6994
101311,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2013-09-17,149173,35639,50892,     -29,   -2235,    4445
101312,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2013-09-10,149202,37874,46447,     130,   -2977,    1144
101313,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2013-09-03,149072,40851,45303,   -7775,   -1921,    1738
101314,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2013-08-27,156847,42772,43565,   -3215,   -1643,    -970
101315,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2013-08-20,160062,44415,44535,   -1531,    5662,   -1052
101316,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2013-08-13,161593,38753,45587,   -2287,     895,  -13848
