,Market and Exchange Names,As of Date in Form YYMMDD,As of Date in Form YYYY-MM-DD,CFTC Contract Market Code,CFTC Market Code in Initials,CFTC Region Code,CFTC Commodity Code,Open Interest (All),Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Noncommercial Positions-Spreading (All),Commercial Positions-Long (All),Commercial Positions-Short (All), Total Reportable Positions-Long (All),Total Reportable Positions-Short (All),Nonreportable Positions-Long (All),Nonreportable Positions-Short (All),Open Interest (Old),Noncommercial Positions-Long (Old),Noncommercial Positions-Short (Old),Noncommercial Positions-Spreading (Old),Commercial Positions-Long (Old),Commercial Positions-Short (Old),Total Reportable Positions-Long (Old),Total Reportable Positions-Short (Old),Nonreportable Positions-Long (Old),Nonreportable Positions-Short (Old),Open Interest (Other),Noncommercial Positions-Long (Other),Noncommercial Positions-Short (Other),Noncommercial Positions-Spreading (Other),Commercial Positions-Long (Other),Commercial Positions-Short (Other),Total Reportable Positions-Long (Other),Total Reportable Positions-Short (Other),Nonreportable Positions-Long (Other),Nonreportable Positions-Short (Other),Change in Open Interest (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Change in Noncommercial-Spreading (All),Change in Commercial-Long (All),Change in Commercial-Short (All),Change in Total Reportable-Long (All),Change in Total Reportable-Short (All),Change in Nonreportable-Long (All),Change in Nonreportable-Short (All),% of Open Interest (OI) (All),% of OI-Noncommercial-Long (All),% of OI-Noncommercial-Short (All),% of OI-Noncommercial-Spreading (All),% of OI-Commercial-Long (All),% of OI-Commercial-Short (All),% of OI-Total Reportable-Long (All),% of OI-Total Reportable-Short (All),% of OI-Nonreportable-Long (All),% of OI-Nonreportable-Short (All),% of Open Interest (OI)(Old),% of OI-Noncommercial-Long (Old),% of OI-Noncommercial-Short (Old),% of OI-Noncommercial-Spreading (Old),% of OI-Commercial-Long (Old),% of OI-Commercial-Short (Old),% of OI-Total Reportable-Long (Old),% of OI-Total Reportable-Short (Old),% of OI-Nonreportable-Long (Old),% of OI-Nonreportable-Short (Old),% of Open Interest (OI) (Other),% of OI-Noncommercial-Long (Other),% of OI-Noncommercial-Short (Other),% of OI-Noncommercial-Spreading (Other),% of OI-Commercial-Long (Other),% of OI-Commercial-Short (Other),% of OI-Total Reportable-Long (Other),% of OI-Total Reportable-Short (Other),% of OI-Nonreportable-Long (Other),% of OI-Nonreportable-Short (Other),Traders-Total (All),Traders-Noncommercial-Long (All),Traders-Noncommercial-Short (All),Traders-Noncommercial-Spreading (All),Traders-Commercial-Long (All),Traders-Commercial-Short (All),Traders-Total Reportable-Long (All),Traders-Total Reportable-Short (All),Traders-Total (Old),Traders-Noncommercial-Long (Old),Traders-Noncommercial-Short (Old),Traders-Noncommercial-Spreading (Old),Traders-Commercial-Long (Old),Traders-Commercial-Short (Old),Traders-Total Reportable-Long (Old),Traders-Total Reportable-Short (Old),Traders-Total (Other),Traders-Noncommercial-Long (Other),Traders-Noncommercial-Short (Other),Traders-Noncommercial-Spreading (Other),Traders-Commercial-Long (Other),Traders-Commercial-Short (Other),Traders-Total Reportable-Long (Other),Traders-Total Reportable-Short (Other),Concentration-Gross LT = 4 TDR-Long (All),Concentration-Gross LT =4 TDR-Short (All),Concentration-Gross LT =8 TDR-Long (All),Concentration-Gross LT =8 TDR-Short (All),Concentration-Net LT =4 TDR-Long (All),Concentration-Net LT =4 TDR-Short (All),Concentration-Net LT =8 TDR-Long (All),Concentration-Net LT =8 TDR-Short (All),Concentration-Gross LT =4 TDR-Long (Old),Concentration-Gross LT =4 TDR-Short (Old),Concentration-Gross LT =8 TDR-Long (Old),Concentration-Gross LT =8 TDR-Short (Old),Concentration-Net LT =4 TDR-Long (Old),Concentration-Net LT =4 TDR-Short (Old),Concentration-Net LT =8 TDR-Long (Old),Concentration-Net LT =8 TDR-Short (Old),Concentration-Gross LT =4 TDR-Long (Other),Concentration-Gross LT =4 TDR-Short(Other),Concentration-Gross LT =8 TDR-Long (Other),Concentration-Gross LT =8 TDR-Short(Other),Concentration-Net LT =4 TDR-Long (Other),Concentration-Net LT =4 TDR-Short (Other),Concentration-Net LT =8 TDR-Long (Other),Concentration-Net LT =8 TDR-Short (Other),Contract Units,CFTC Contract Market Code (Quotes),CFTC Market Code in Initials (Quotes),CFTC Commodity Code (Quotes)
120695,DJIA Consolidated - CHICAGO BOARD OF TRADE,971007,1997-10-07,124601,CBT,0,124,2863,674,511,34,1225,937,1933,1482,930,1381,2826,674,486,34,1225,937,1933,1457,893,1369,37,0,25,0,0,0,0,25,37,12,.,.,.,.,.,.,.,.,.,.,100.0,23.5,17.8,1.2,42.8,32.7,67.5,51.8,32.5,48.2,100.0,23.8,17.2,1.2,43.3,33.2,68.4,51.6,31.6,48.4,100.0,0.0,67.6,0.0,0.0,0.0,0.0,67.6,100.0,32.4,25,8,8,2,6,3,15,12,24,8,7,2,6,3,15,11,1,0,1,0,0,0,0,1,48.1,38.5,58.3,47.9,48.1,37.3,58.3,46.8,48.8,39.0,59.1,48.5,48.8,37.8,59.0,47.4,0.0,67.6,0.0,67.6,0.0,67.6,0.0,67.6,($10 X DJIA INDEX),124601,CBT,124
120694,DJIA Consolidated - CHICAGO BOARD OF TRADE,971014,1997-10-14,124601,CBT,0,124,3953,291,755,48,2230,1330,2569,2133,1384,1820,3907,291,755,48,2230,1305,2569,2108,1338,1799,46,0,0,0,0,25,0,25,46,21,    1090,    -383,     244,      14,    1005,     393,     636,     651,     454,     439,100.0,7.4,19.1,1.2,56.4,33.6,65.0,54.0,35.0,46.0,100.0,7.4,19.3,1.2,57.1,33.4,65.8,54.0,34.2,46.0,100.0,0.0,0.0,0.0,0.0,54.3,0.0,54.3,100.0,45.7,34,8,9,1,11,9,20,18,33,8,9,1,11,8,20,17,1,0,0,0,0,1,0,1,42.0,33.3,52.9,43.7,39.0,31.5,47.1,38.9,42.5,33.7,53.5,44.3,39.5,31.9,47.6,39.4,0.0,54.3,0.0,54.3,0.0,54.3,0.0,54.3,($10 X DJIA INDEX),124601,CBT,124
120693,DJIA Consolidated - CHICAGO BOARD OF TRADE,971021,1997-10-21,124601,CBT,0,124,5371,647,1381,69,3088,1775,3804,3225,1567,2146,4881,716,1381,0,2637,1461,3353,2842,1528,2039,490,0,69,0,451,314,451,383,39,107,    1418,     356,     626,      21,     858,     445,    1235,    1092,     183,     326,100.0,12.0,25.7,1.3,57.5,33.0,70.8,60.0,29.2,40.0,100.0,14.7,28.3,0.0,54.0,29.9,68.7,58.2,31.3,41.8,100.0,0.0,14.1,0.0,92.0,64.1,92.0,78.2,8.0,21.8,37,8,10,2,12,10,21,22,35,9,10,0,11,6,20,16,7,0,2,0,3,4,3,6,45.2,34.6,57.3,47.7,43.8,34.4,53.8,45.8,42.3,37.9,55.6,50.4,42.3,37.9,55.1,50.4,92.0,67.8,92.0,78.2,73.9,60.0,73.9,60.0,($10 X DJIA INDEX),124601,CBT,124
120692,DJIA Consolidated - CHICAGO BOARD OF TRADE,971028,1997-10-28,124601,CBT,0,124,7731,1216,1081,424,3719,3440,5359,4945,2372,2786,6881,1464,1131,126,2923,2904,4513,4161,2368,2720,850,50,248,0,796,536,846,784,4,66,    2360,     569,    -300,     355,     631,    1665,    1555,    1720,     805,     640,100.0,15.7,14.0,5.5,48.1,44.5,69.3,64.0,30.7,36.0,100.0,21.3,16.4,1.8,42.5,42.2,65.6,60.5,34.4,39.5,100.0,5.9,29.2,0.0,93.6,63.1,99.5,92.2,0.5,7.8,55,18,13,6,13,12,35,30,54,19,13,3,12,10,33,26,7,1,2,0,2,3,3,5,41.2,32.5,50.2,45.3,36.1,30.9,42.2,39.5,37.2,34.7,47.1,46.0,37.2,34.7,46.1,45.5,99.5,89.3,99.5,92.2,93.5,86.2,93.5,86.2,($10 X DJIA INDEX),124601,CBT,124
120691,DJIA Consolidated - CHICAGO BOARD OF TRADE,971104,1997-11-04,124601,CBT,0,124,9006,1894,1913,672,5277,3271,7843,5856,1163,3150,7850,2275,2013,191,4397,2681,6863,4885,987,2965,1156,100,381,0,880,590,980,971,176,185,    1275,     678,     832,     248,    1558,    -169,    2484,     911,   -1209,     364,100.0,21.0,21.2,7.5,58.6,36.3,87.1,65.0,12.9,35.0,100.0,29.0,25.6,2.4,56.0,34.2,87.4,62.2,12.6,37.8,100.0,8.7,33.0,0.0,76.1,51.0,84.8,84.0,15.2,16.0,62,18,24,8,13,10,34,40,62,19,24,5,12,8,32,36,7,1,2,0,2,3,3,5,49.2,27.2,63.2,43.2,48.6,27.2,56.9,35.6,48.7,31.2,64.1,44.5,48.7,31.2,64.1,44.5,84.8,79.6,84.8,84.0,80.4,79.6,80.4,79.6,($10 X DJIA INDEX),124601,CBT,124
120690,DJIA Consolidated - CHICAGO BOARD OF TRADE,971111,1997-11-11,124601,CBT,0,124,10322,1013,2225,1210,6875,4307,9098,7742,1224,2580,8523,1455,2821,67,5905,3236,7427,6124,1096,2399,1799,701,547,0,970,1071,1671,1618,128,181,    1316,    -881,     312,     538,    1598,    1036,    1255,    1886,      61,    -570,100.0,9.8,21.6,11.7,66.6,41.7,88.1,75.0,11.9,25.0,100.0,17.1,33.1,0.8,69.3,38.0,87.1,71.9,12.9,28.1,100.0,39.0,30.4,0.0,53.9,59.5,92.9,89.9,7.1,10.1,58,15,20,9,13,13,32,40,58,15,22,3,11,11,27,35,12,3,4,0,3,3,6,7,48.2,28.9,68.8,47.9,47.3,25.5,54.2,35.2,50.8,34.4,71.3,51.0,50.8,34.4,71.3,51.0,88.7,79.2,92.9,89.9,85.9,79.2,90.1,87.1,($10 X DJIA INDEX),124601,CBT,124
120689,DJIA Consolidated - CHICAGO BOARD OF TRADE,971118,1997-11-18,124601,CBT,0,124,12853,1205,3234,1411,8839,5209,11455,9854,1398,2999,10056,1705,3831,141,6991,3335,8837,7307,1219,2749,2797,770,673,0,1848,1874,2618,2547,179,250,    2531,     192,    1009,     201,    1964,     902,    2357,    2112,     174,     419,100.0,9.4,25.2,11.0,68.8,40.5,89.1,76.7,10.9,23.3,100.0,17.0,38.1,1.4,69.5,33.2,87.9,72.7,12.1,27.3,100.0,27.5,24.1,0.0,66.1,67.0,93.6,91.1,6.4,8.9,69,19,27,10,16,13,40,45,69,19,27,5,14,10,35,40,13,3,3,0,4,4,7,7,43.5,25.7,64.6,43.6,40.9,23.0,47.9,33.5,44.1,30.6,67.9,47.3,44.1,30.6,67.9,47.3,83.9,74.7,93.6,91.1,81.6,74.7,91.2,88.7,($10 X DJIA INDEX),124601,CBT,124
120688,DJIA Consolidated - CHICAGO BOARD OF TRADE,971125,1997-11-25,124601,CBT,0,124,14125,1361,3097,1104,9977,6493,12442,10694,1683,3431,10964,1712,3713,99,7477,3757,9288,7569,1676,3395,3161,654,389,0,2500,2736,3154,3125,7,36,    1272,     156,    -137,    -307,    1138,    1284,     987,     840,     285,     432,100.0,9.6,21.9,7.8,70.6,46.0,88.1,75.7,11.9,24.3,100.0,15.6,33.9,0.9,68.2,34.3,84.7,69.0,15.3,31.0,100.0,20.7,12.3,0.0,79.1,86.6,99.8,98.9,0.2,1.1,64,19,19,6,15,17,37,40,64,20,19,2,12,14,32,35,11,2,2,0,4,4,6,6,46.3,29.3,67.6,47.1,40.5,20.5,47.3,32.3,49.0,28.4,67.9,46.6,49.0,28.4,67.9,46.6,94.9,94.1,99.8,98.9,92.8,94.1,97.7,96.8,($10 X DJIA INDEX),124601,CBT,124
120687,DJIA Consolidated - CHICAGO BOARD OF TRADE,971202,1997-12-02,124601,CBT,0,124,14846,1290,3175,1141,11082,7620,13513,11936,1333,2910,14846,1290,3175,1141,11082,7620,13513,11936,1333,2910,0,0,0,0,0,0,0,0,0,0,     721,     -71,      78,      37,    1105,    1127,    1071,    1242,    -350,    -521,100.0,8.7,21.4,7.7,74.6,51.3,91.0,80.4,9.0,19.6,100.0,8.7,21.4,7.7,74.6,51.3,91.0,80.4,9.0,19.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65,20,22,8,15,17,39,43,65,20,22,8,15,17,39,43,0,0,0,0,0,0,0,0,49.8,31.4,70.7,48.5,38.9,19.6,45.2,31.0,49.8,31.4,70.7,48.5,38.9,19.6,45.2,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,($10 X DJIA INDEX),124601,CBT,124
120686,DJIA Consolidated - CHICAGO BOARD OF TRADE,971209,1997-12-09,124601,CBT,0,124,17040,1262,2949,1622,12326,9446,15210,14017,1830,3023,17040,1262,2949,1622,12326,9446,15210,14017,1830,3023,0,0,0,0,0,0,0,0,0,0,    2194,     -28,    -226,     481,    1244,    1826,    1697,    2081,     497,     113,100.0,7.4,17.3,9.5,72.3,55.4,89.3,82.3,10.7,17.7,100.0,7.4,17.3,9.5,72.3,55.4,89.3,82.3,10.7,17.7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65,20,22,9,16,19,40,46,65,20,22,9,16,19,40,46,0,0,0,0,0,0,0,0,47.5,31.8,64.4,48.0,29.6,16.9,36.6,24.9,47.5,31.8,64.4,48.0,29.6,16.9,36.6,24.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,($10 X DJIA INDEX),124601,CBT,124
