,Market and Exchange Names,As of Date in Form YYMMDD,As of Date in Form YYYY-MM-DD,CFTC Contract Market Code,CFTC Market Code in Initials,CFTC Region Code,CFTC Commodity Code,Open Interest (All),Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Noncommercial Positions-Spreading (All),Commercial Positions-Long (All),Commercial Positions-Short (All), Total Reportable Positions-Long (All),Total Reportable Positions-Short (All),Nonreportable Positions-Long (All),Nonreportable Positions-Short (All),Open Interest (Old),Noncommercial Positions-Long (Old),Noncommercial Positions-Short (Old),Noncommercial Positions-Spreading (Old),Commercial Positions-Long (Old),Commercial Positions-Short (Old),Total Reportable Positions-Long (Old),Total Reportable Positions-Short (Old),Nonreportable Positions-Long (Old),Nonreportable Positions-Short (Old),Open Interest (Other),Noncommercial Positions-Long (Other),Noncommercial Positions-Short (Other),Noncommercial Positions-Spreading (Other),Commercial Positions-Long (Other),Commercial Positions-Short (Other),Total Reportable Positions-Long (Other),Total Reportable Positions-Short (Other),Nonreportable Positions-Long (Other),Nonreportable Positions-Short (Other),Change in Open Interest (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Change in Noncommercial-Spreading (All),Change in Commercial-Long (All),Change in Commercial-Short (All),Change in Total Reportable-Long (All),Change in Total Reportable-Short (All),Change in Nonreportable-Long (All),Change in Nonreportable-Short (All),% of Open Interest (OI) (All),% of OI-Noncommercial-Long (All),% of OI-Noncommercial-Short (All),% of OI-Noncommercial-Spreading (All),% of OI-Commercial-Long (All),% of OI-Commercial-Short (All),% of OI-Total Reportable-Long (All),% of OI-Total Reportable-Short (All),% of OI-Nonreportable-Long (All),% of OI-Nonreportable-Short (All),% of Open Interest (OI)(Old),% of OI-Noncommercial-Long (Old),% of OI-Noncommercial-Short (Old),% of OI-Noncommercial-Spreading (Old),% of OI-Commercial-Long (Old),% of OI-Commercial-Short (Old),% of OI-Total Reportable-Long (Old),% of OI-Total Reportable-Short (Old),% of OI-Nonreportable-Long (Old),% of OI-Nonreportable-Short (Old),% of Open Interest (OI) (Other),% of OI-Noncommercial-Long (Other),% of OI-Noncommercial-Short (Other),% of OI-Noncommercial-Spreading (Other),% of OI-Commercial-Long (Other),% of OI-Commercial-Short (Other),% of OI-Total Reportable-Long (Other),% of OI-Total Reportable-Short (Other),% of OI-Nonreportable-Long (Other),% of OI-Nonreportable-Short (Other),Traders-Total (All),Traders-Noncommercial-Long (All),Traders-Noncommercial-Short (All),Traders-Noncommercial-Spreading (All),Traders-Commercial-Long (All),Traders-Commercial-Short (All),Traders-Total Reportable-Long (All),Traders-Total Reportable-Short (All),Traders-Total (Old),Traders-Noncommercial-Long (Old),Traders-Noncommercial-Short (Old),Traders-Noncommercial-Spreading (Old),Traders-Commercial-Long (Old),Traders-Commercial-Short (Old),Traders-Total Reportable-Long (Old),Traders-Total Reportable-Short (Old),Traders-Total (Other),Traders-Noncommercial-Long (Other),Traders-Noncommercial-Short (Other),Traders-Noncommercial-Spreading (Other),Traders-Commercial-Long (Other),Traders-Commercial-Short (Other),Traders-Total Reportable-Long (Other),Traders-Total Reportable-Short (Other),Concentration-Gross LT = 4 TDR-Long (All),Concentration-Gross LT =4 TDR-Short (All),Concentration-Gross LT =8 TDR-Long (All),Concentration-Gross LT =8 TDR-Short (All),Concentration-Net LT =4 TDR-Long (All),Concentration-Net LT =4 TDR-Short (All),Concentration-Net LT =8 TDR-Long (All),Concentration-Net LT =8 TDR-Short (All),Concentration-Gross LT =4 TDR-Long (Old),Concentration-Gross LT =4 TDR-Short (Old),Concentration-Gross LT =8 TDR-Long (Old),Concentration-Gross LT =8 TDR-Short (Old),Concentration-Net LT =4 TDR-Long (Old),Concentration-Net LT =4 TDR-Short (Old),Concentration-Net LT =8 TDR-Long (Old),Concentration-Net LT =8 TDR-Short (Old),Concentration-Gross LT =4 TDR-Long (Other),Concentration-Gross LT =4 TDR-Short(Other),Concentration-Gross LT =8 TDR-Long (Other),Concentration-Gross LT =8 TDR-Short(Other),Concentration-Net LT =4 TDR-Long (Other),Concentration-Net LT =4 TDR-Short (Other),Concentration-Net LT =8 TDR-Long (Other),Concentration-Net LT =8 TDR-Short (Other),Contract Units,CFTC Contract Market Code (Quotes),CFTC Market Code in Initials (Quotes),CFTC Commodity Code (Quotes)
114470,EURO FX - CHICAGO MERCANTILE EXCHANGE,829,2000-08-29,099741,CME,0,99,73012,13536,12330,39,25725,40097,39300,52466,33712,20546,73012,13536,12330,39,25725,40097,39300,52466,33712,20546,0,0,0,0,0,0,0,0,0,0,    2339,     957,    3111,       1,      17,   -2742,     975,     370,    1364,    1969,100.0,18.5,16.9,0.1,35.2,54.9,53.8,71.9,46.2,28.1,100.0,18.5,16.9,0.1,35.2,54.9,53.8,71.9,46.2,28.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59,15,11,3,22,21,37,35,59,15,11,3,22,21,37,35,0,0,0,0,0,0,0,0,24.6,31.3,33.5,46.5,24.6,30.6,33.2,45.7,24.6,31.3,33.5,46.5,24.6,30.6,33.2,45.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 125,000 EUROS)",099741,CME,99
114469,EURO FX - CHICAGO MERCANTILE EXCHANGE,905,2000-09-05,099741,CME,0,99,77486,13034,12652,37,27815,44012,40886,56701,36600,20785,77486,13034,12652,37,27815,44012,40886,56701,36600,20785,0,0,0,0,0,0,0,0,0,0,    4474,    -502,     322,      -2,    2090,    3915,    1586,    4235,    2888,     239,100.0,16.8,16.3,0.0,35.9,56.8,52.8,73.2,47.2,26.8,100.0,16.8,16.3,0.0,35.9,56.8,52.8,73.2,47.2,26.8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58,13,14,2,21,23,34,39,58,13,14,2,21,23,34,39,0,0,0,0,0,0,0,0,23.3,34.6,32.5,47.9,23.2,33.7,32.2,46.7,23.3,34.6,32.5,47.9,23.2,33.7,32.2,46.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 125,000 EUROS)",099741,CME,99
114468,EURO FX - CHICAGO MERCANTILE EXCHANGE,912,2000-09-12,099741,CME,0,99,84086,9717,8543,35,33165,53837,42917,62415,41169,21671,84086,9717,8543,35,33165,53837,42917,62415,41169,21671,0,0,0,0,0,0,0,0,0,0,    6600,   -3317,   -4109,      -2,    5350,    9825,    2031,    5714,    4569,     886,100.0,11.6,10.2,0.0,39.4,64.0,51.0,74.2,49.0,25.8,100.0,11.6,10.2,0.0,39.4,64.0,51.0,74.2,49.0,25.8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,10,10,1,28,27,38,38,60,10,10,1,28,27,38,38,0,0,0,0,0,0,0,0,21.5,35.8,30.2,49.0,21.3,35.1,29.9,47.8,21.5,35.8,30.2,49.0,21.3,35.1,29.9,47.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 125,000 EUROS)",099741,CME,99
114467,EURO FX - CHICAGO MERCANTILE EXCHANGE,919,2000-09-19,099741,CME,0,99,73646,10333,14570,51,28109,41289,38493,55910,35153,17736,73646,10333,14570,51,28109,41289,38493,55910,35153,17736,0,0,0,0,0,0,0,0,0,0,  -10440,     616,    6027,      16,   -5056,  -12548,   -4424,   -6505,   -6016,   -3935,100.0,14.0,19.8,0.1,38.2,56.1,52.3,75.9,47.7,24.1,100.0,14.0,19.8,0.1,38.2,56.1,52.3,75.9,47.7,24.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57,15,11,1,22,15,37,27,57,15,11,1,22,15,37,27,0,0,0,0,0,0,0,0,24.5,38.5,32.7,58.2,24.4,38.0,32.7,57.8,24.5,38.5,32.7,58.2,24.4,38.0,32.7,57.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 125,000 EUROS)",099741,CME,99
114466,EURO FX - CHICAGO MERCANTILE EXCHANGE,926,2000-09-26,099741,CME,0,99,66421,6334,6185,61,26471,41681,32866,47927,33555,18494,66421,6334,6185,61,26471,41681,32866,47927,33555,18494,0,0,0,0,0,0,0,0,0,0,   -7225,   -3999,   -8385,      10,   -1638,     392,   -5627,   -7983,   -1598,     758,100.0,9.5,9.3,0.1,39.9,62.8,49.5,72.2,50.5,27.8,100.0,9.5,9.3,0.1,39.9,62.8,49.5,72.2,50.5,27.8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,9,5,2,22,14,31,21,45,9,5,2,22,14,31,21,0,0,0,0,0,0,0,0,25.7,42.1,34.3,60.2,25.6,41.0,34.2,59.0,25.7,42.1,34.3,60.2,25.6,41.0,34.2,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 125,000 EUROS)",099741,CME,99
114465,EURO FX - CHICAGO MERCANTILE EXCHANGE,1003,2000-10-03,099741,CME,0,99,67596,8336,4943,61,26050,45677,34447,50681,33149,16915,67596,8336,4943,61,26050,45677,34447,50681,33149,16915,0,0,0,0,0,0,0,0,0,0,    1175,    2002,   -1242,       0,    -421,    3996,    1581,    2754,    -406,   -1579,100.0,12.3,7.3,0.1,38.5,67.6,51.0,75.0,49.0,25.0,100.0,12.3,7.3,0.1,38.5,67.6,51.0,75.0,49.0,25.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,12,5,2,24,16,36,23,51,12,5,2,24,16,36,23,0,0,0,0,0,0,0,0,25.5,46.7,32.9,62.5,25.4,45.7,32.8,61.3,25.5,46.7,32.9,62.5,25.4,45.7,32.8,61.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 125,000 EUROS)",099741,CME,99
114464,EURO FX - CHICAGO MERCANTILE EXCHANGE,1010,2000-10-10,099741,CME,0,99,71703,10749,5346,61,25878,49257,36688,54664,35015,17039,71703,10749,5346,61,25878,49257,36688,54664,35015,17039,0,0,0,0,0,0,0,0,0,0,    4107,    2413,     403,       0,    -172,    3580,    2241,    3983,    1866,     124,100.0,15.0,7.5,0.1,36.1,68.7,51.2,76.2,48.8,23.8,100.0,15.0,7.5,0.1,36.1,68.7,51.2,76.2,48.8,23.8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58,15,6,2,22,21,37,29,58,15,6,2,22,21,37,29,0,0,0,0,0,0,0,0,23.2,45.4,30.8,61.7,23.1,44.4,30.8,60.7,23.2,45.4,30.8,61.7,23.1,44.4,30.8,60.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 125,000 EUROS)",099741,CME,99
114463,EURO FX - CHICAGO MERCANTILE EXCHANGE,1017,2000-10-17,099741,CME,0,99,73195,10224,8504,44,29498,47644,39766,56192,33429,17003,73195,10224,8504,44,29498,47644,39766,56192,33429,17003,0,0,0,0,0,0,0,0,0,0,    1492,    -525,    3158,     -17,    3620,   -1613,    3078,    1528,   -1586,     -36,100.0,14.0,11.6,0.1,40.3,65.1,54.3,76.8,45.7,23.2,100.0,14.0,11.6,0.1,40.3,65.1,54.3,76.8,45.7,23.2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57,14,7,3,21,21,35,31,57,14,7,3,21,21,35,31,0,0,0,0,0,0,0,0,25.2,42.6,34.5,61.1,22.7,40.6,31.1,56.1,25.2,42.6,34.5,61.1,22.7,40.6,31.1,56.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 125,000 EUROS)",099741,CME,99
114462,EURO FX - CHICAGO MERCANTILE EXCHANGE,1024,2000-10-24,099741,CME,0,99,76773,10198,8365,94,31077,49632,41369,58091,35404,18682,76773,10198,8365,94,31077,49632,41369,58091,35404,18682,0,0,0,0,0,0,0,0,0,0,    3578,     -26,    -139,      50,    1579,    1988,    1603,    1899,    1975,    1679,100.0,13.3,10.9,0.1,40.5,64.6,53.9,75.7,46.1,24.3,100.0,13.3,10.9,0.1,40.5,64.6,53.9,75.7,46.1,24.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,13,7,3,24,21,37,31,56,13,7,3,24,21,37,31,0,0,0,0,0,0,0,0,24.2,42.1,33.7,59.2,21.9,42.0,30.5,54.6,24.2,42.1,33.7,59.2,21.9,42.0,30.5,54.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 125,000 EUROS)",099741,CME,99
114461,EURO FX - CHICAGO MERCANTILE EXCHANGE,1031,2000-10-31,099741,CME,0,99,75650,11095,8922,94,29207,48019,40396,57035,35254,18615,75650,11095,8922,94,29207,48019,40396,57035,35254,18615,0,0,0,0,0,0,0,0,0,0,   -1123,     897,     557,       0,   -1870,   -1613,    -973,   -1056,    -150,     -67,100.0,14.7,11.8,0.1,38.6,63.5,53.4,75.4,46.6,24.6,100.0,14.7,11.8,0.1,38.6,63.5,53.4,75.4,46.6,24.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58,17,7,3,24,21,41,31,58,17,7,3,24,21,41,31,0,0,0,0,0,0,0,0,21.9,44.9,31.6,60.6,19.6,44.5,28.5,57.2,21.9,44.9,31.6,60.6,19.6,44.5,28.5,57.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 125,000 EUROS)",099741,CME,99
