,Market and Exchange Names,As of Date in Form YYMMDD,As of Date in Form YYYY-MM-DD,CFTC Contract Market Code,CFTC Market Code in Initials,CFTC Region Code,CFTC Commodity Code,Open Interest (All),Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Noncommercial Positions-Spreading (All),Commercial Positions-Long (All),Commercial Positions-Short (All), Total Reportable Positions-Long (All),Total Reportable Positions-Short (All),Nonreportable Positions-Long (All),Nonreportable Positions-Short (All),Open Interest (Old),Noncommercial Positions-Long (Old),Noncommercial Positions-Short (Old),Noncommercial Positions-Spreading (Old),Commercial Positions-Long (Old),Commercial Positions-Short (Old),Total Reportable Positions-Long (Old),Total Reportable Positions-Short (Old),Nonreportable Positions-Long (Old),Nonreportable Positions-Short (Old),Open Interest (Other),Noncommercial Positions-Long (Other),Noncommercial Positions-Short (Other),Noncommercial Positions-Spreading (Other),Commercial Positions-Long (Other),Commercial Positions-Short (Other),Total Reportable Positions-Long (Other),Total Reportable Positions-Short (Other),Nonreportable Positions-Long (Other),Nonreportable Positions-Short (Other),Change in Open Interest (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Change in Noncommercial-Spreading (All),Change in Commercial-Long (All),Change in Commercial-Short (All),Change in Total Reportable-Long (All),Change in Total Reportable-Short (All),Change in Nonreportable-Long (All),Change in Nonreportable-Short (All),% of Open Interest (OI) (All),% of OI-Noncommercial-Long (All),% of OI-Noncommercial-Short (All),% of OI-Noncommercial-Spreading (All),% of OI-Commercial-Long (All),% of OI-Commercial-Short (All),% of OI-Total Reportable-Long (All),% of OI-Total Reportable-Short (All),% of OI-Nonreportable-Long (All),% of OI-Nonreportable-Short (All),% of Open Interest (OI)(Old),% of OI-Noncommercial-Long (Old),% of OI-Noncommercial-Short (Old),% of OI-Noncommercial-Spreading (Old),% of OI-Commercial-Long (Old),% of OI-Commercial-Short (Old),% of OI-Total Reportable-Long (Old),% of OI-Total Reportable-Short (Old),% of OI-Nonreportable-Long (Old),% of OI-Nonreportable-Short (Old),% of Open Interest (OI) (Other),% of OI-Noncommercial-Long (Other),% of OI-Noncommercial-Short (Other),% of OI-Noncommercial-Spreading (Other),% of OI-Commercial-Long (Other),% of OI-Commercial-Short (Other),% of OI-Total Reportable-Long (Other),% of OI-Total Reportable-Short (Other),% of OI-Nonreportable-Long (Other),% of OI-Nonreportable-Short (Other),Traders-Total (All),Traders-Noncommercial-Long (All),Traders-Noncommercial-Short (All),Traders-Noncommercial-Spreading (All),Traders-Commercial-Long (All),Traders-Commercial-Short (All),Traders-Total Reportable-Long (All),Traders-Total Reportable-Short (All),Traders-Total (Old),Traders-Noncommercial-Long (Old),Traders-Noncommercial-Short (Old),Traders-Noncommercial-Spreading (Old),Traders-Commercial-Long (Old),Traders-Commercial-Short (Old),Traders-Total Reportable-Long (Old),Traders-Total Reportable-Short (Old),Traders-Total (Other),Traders-Noncommercial-Long (Other),Traders-Noncommercial-Short (Other),Traders-Noncommercial-Spreading (Other),Traders-Commercial-Long (Other),Traders-Commercial-Short (Other),Traders-Total Reportable-Long (Other),Traders-Total Reportable-Short (Other),Concentration-Gross LT = 4 TDR-Long (All),Concentration-Gross LT =4 TDR-Short (All),Concentration-Gross LT =8 TDR-Long (All),Concentration-Gross LT =8 TDR-Short (All),Concentration-Net LT =4 TDR-Long (All),Concentration-Net LT =4 TDR-Short (All),Concentration-Net LT =8 TDR-Long (All),Concentration-Net LT =8 TDR-Short (All),Concentration-Gross LT =4 TDR-Long (Old),Concentration-Gross LT =4 TDR-Short (Old),Concentration-Gross LT =8 TDR-Long (Old),Concentration-Gross LT =8 TDR-Short (Old),Concentration-Net LT =4 TDR-Long (Old),Concentration-Net LT =4 TDR-Short (Old),Concentration-Net LT =8 TDR-Long (Old),Concentration-Net LT =8 TDR-Short (Old),Concentration-Gross LT =4 TDR-Long (Other),Concentration-Gross LT =4 TDR-Short(Other),Concentration-Gross LT =8 TDR-Long (Other),Concentration-Gross LT =8 TDR-Short(Other),Concentration-Net LT =4 TDR-Long (Other),Concentration-Net LT =4 TDR-Short (Other),Concentration-Net LT =8 TDR-Long (Other),Concentration-Net LT =8 TDR-Short (Other),Contract Units,CFTC Contract Market Code (Quotes),CFTC Market Code in Initials (Quotes),CFTC Commodity Code (Quotes)
104018,GOLD - COMMODITY EXCHANGE INC.,860115,1986-01-15,088691,CMX,1,88,148186,18589,7706,12038,80962,89990,111589,109734,36597,38452,121268,18848,7253,8928,59444,69624,87220,85805,34048,35463,26918,298,1010,2553,21518,20366,24369,23929,2549,2989,.,.,.,.,.,.,.,.,.,.,100.0,12.5,5.2,8.1,54.6,60.7,75.3,74.1,24.7,25.9,100.0,15.5,6.0,7.4,49.0,57.4,71.9,70.8,28.1,29.2,100.0,1.1,3.8,9.5,79.9,75.7,90.5,88.9,9.5,11.1,110,33,21,9,26,51,64,78,108,33,21,8,23,49,60,76,22,3,3,3,10,14,14,19,32.4,28.2,47.7,40.0,18.2,12.1,24.4,16.5,29.8,23.0,43.3,34.6,20.0,12.8,27.6,17.7,64.8,56.3,83.6,73.6,21.5,17.8,25.4,23.1,(CONTRACTS OF 100 TROY OUNCES),088691,CMX,88
104017,GOLD - COMMODITY EXCHANGE INC.,860131,1986-01-31,088691,CMX,1,88,144149,15364,9303,10088,82262,85250,107714,104641,36435,39508,111623,15751,8273,5895,56873,61105,78519,75273,33104,36350,32526,75,1492,3731,25389,24145,29195,29368,3331,3158,   -4037,   -3225,    1597,   -1950,    1300,   -4740,   -3875,   -5093,    -162,    1056,100.0,10.7,6.5,7.0,57.1,59.1,74.7,72.6,25.3,27.4,100.0,14.1,7.4,5.3,51.0,54.7,70.3,67.4,29.7,32.6,100.0,0.2,4.6,11.5,78.1,74.2,89.8,90.3,10.2,9.7,99,24,22,8,31,44,60,70,96,24,20,6,27,43,55,66,26,2,6,4,14,14,18,22,36.4,29.9,50.0,41.9,21.6,14.2,27.2,18.9,35.3,23.0,46.1,34.3,23.8,15.2,31.0,20.9,58.1,58.4,75.7,73.7,21.9,25.7,28.8,30.3,(CONTRACTS OF 100 TROY OUNCES),088691,CMX,88
104016,GOLD - COMMODITY EXCHANGE INC.,860214,1986-02-14,088691,CMX,1,88,139995,5457,12229,10330,94830,76735,110617,99294,29378,40701,103305,5442,11877,5624,66270,48676,77336,66177,25969,37128,36690,970,1307,3751,28560,28059,33281,33117,3409,3573,   -4154,   -9907,    2926,     242,   12568,   -8515,    2903,   -5347,   -7057,    1193,100.0,3.9,8.7,7.4,67.7,54.8,79.0,70.9,21.0,29.1,100.0,5.3,11.5,5.4,64.1,47.1,74.9,64.1,25.1,35.9,100.0,2.6,3.6,10.2,77.8,76.5,90.7,90.3,9.3,9.7,91,15,23,9,31,42,52,69,88,13,23,8,27,39,47,64,26,4,4,4,14,13,19,20,40.7,33.9,56.6,43.5,28.7,13.3,32.6,18.1,39.3,24.4,53.4,34.3,34.3,16.6,40.7,21.8,61.4,63.1,75.7,77.0,19.6,25.9,26.3,30.1,(CONTRACTS OF 100 TROY OUNCES),088691,CMX,88
104015,GOLD - COMMODITY EXCHANGE INC.,860228,1986-02-28,088691,CMX,1,88,143752,7991,12222,13205,94126,76200,115322,101627,28430,42125,107184,7687,11820,8793,66017,48122,82497,68735,24687,38449,36568,1168,1266,3548,28109,28078,32825,32892,3743,3676,    3757,    2534,      -7,    2875,    -704,    -535,    4705,    2333,    -948,    1424,100.0,5.6,8.5,9.2,65.5,53.0,80.2,70.7,19.8,29.3,100.0,7.2,11.0,8.2,61.6,44.9,77.0,64.1,23.0,35.9,100.0,3.2,3.5,9.7,76.9,76.8,89.8,89.9,10.2,10.1,97,18,28,10,31,39,56,72,93,17,27,9,27,37,51,68,25,4,4,4,14,12,19,19,39.9,33.5,55.9,42.5,26.9,12.3,30.5,15.8,38.9,24.0,52.0,32.5,31.6,15.8,38.8,19.7,61.6,63.5,76.1,77.6,19.4,26.5,26.0,29.5,(CONTRACTS OF 100 TROY OUNCES),088691,CMX,88
104014,GOLD - COMMODITY EXCHANGE INC.,860314,1986-03-14,088691,CMX,1,88,142868,12637,11015,11390,85925,78653,109952,101058,32916,41810,105509,12444,11171,6577,56653,50336,75674,68084,29835,37425,37359,1248,899,3758,29272,28317,34278,32974,3081,4385,    -884,    4646,   -1207,   -1815,   -8201,    2453,   -5370,    -569,    4486,    -315,100.0,8.8,7.7,8.0,60.1,55.1,77.0,70.7,23.0,29.3,100.0,11.8,10.6,6.2,53.7,47.7,71.7,64.5,28.3,35.5,100.0,3.3,2.4,10.1,78.4,75.8,91.8,88.3,8.2,11.7,100,28,23,9,26,41,58,70,96,26,23,8,21,38,52,65,24,4,4,5,14,12,20,19,38.1,33.8,53.1,42.6,25.8,13.7,29.9,18.9,35.3,24.7,47.1,33.4,30.1,16.5,36.5,21.5,61.3,62.6,76.8,77.0,20.4,25.9,27.7,27.4,(CONTRACTS OF 100 TROY OUNCES),088691,CMX,88
104013,GOLD - COMMODITY EXCHANGE INC.,860331,1986-03-31,088691,CMX,1,88,136568,9817,11406,6002,88897,67171,104716,84579,31852,51989,96991,9075,10775,4216,59433,37670,72724,52661,24267,44330,39577,947,836,1581,29464,29501,31992,31918,7585,7659,   -6300,   -2820,     391,   -5388,    2972,  -11482,   -5236,  -16479,   -1064,   10179,100.0,7.2,8.4,4.4,65.1,49.2,76.7,61.9,23.3,38.1,100.0,9.4,11.1,4.3,61.3,38.8,75.0,54.3,25.0,45.7,100.0,2.4,2.1,4.0,74.4,74.5,80.8,80.6,19.2,19.4,80,14,23,8,30,35,48,63,77,12,23,7,25,33,42,59,21,4,2,3,13,12,17,17,44.1,30.5,55.9,37.9,29.6,13.2,35.2,16.8,45.9,21.3,57.6,27.7,36.5,14.4,45.7,18.7,54.8,60.1,68.4,71.4,17.7,24.4,22.9,25.5,(CONTRACTS OF 100 TROY OUNCES),088691,CMX,88
104012,GOLD - COMMODITY EXCHANGE INC.,860415,1986-04-15,088691,CMX,1,88,138825,6805,20416,3121,99640,67997,109566,91534,29259,47291,97106,5869,19168,1073,67499,36596,74441,56837,22665,40269,41719,1376,1688,1608,32141,31401,35125,34697,6594,7022,    2257,   -3012,    9010,   -2881,   10743,     826,    4850,    6955,   -2593,   -4698,100.0,4.9,14.7,2.2,71.8,49.0,78.9,65.9,21.1,34.1,100.0,6.0,19.7,1.1,69.5,37.7,76.7,58.5,23.3,41.5,100.0,3.3,4.0,3.9,77.0,75.3,84.2,83.2,15.8,16.8,85,9,28,6,30,34,41,67,79,6,27,3,25,31,34,59,24,4,4,3,13,13,17,20,48.7,30.6,60.1,39.4,34.3,14.0,40.3,20.5,51.6,22.9,61.9,31.2,43.1,17.0,51.9,23.8,57.3,60.7,70.5,71.5,18.7,23.3,24.7,26.5,(CONTRACTS OF 100 TROY OUNCES),088691,CMX,88
104011,GOLD - COMMODITY EXCHANGE INC.,860430,1986-04-30,088691,CMX,1,88,132088,8159,10519,3987,88769,72810,100915,87316,31173,44772,89852,7302,9636,1859,56647,41123,65808,52618,24044,37234,42236,1377,1403,1608,32122,31687,35107,34698,7129,7538,   -6737,    1354,   -9897,     866,  -10871,    4813,   -8651,   -4218,    1914,   -2519,100.0,6.2,8.0,3.0,67.2,55.1,76.4,66.1,23.6,33.9,100.0,8.1,10.7,2.1,63.0,45.8,73.2,58.6,26.8,41.4,100.0,3.3,3.3,3.8,76.1,75.0,83.1,82.2,16.9,17.8,88,16,25,8,28,34,46,66,83,13,25,5,22,31,38,59,22,4,2,3,13,13,17,18,45.2,32.8,57.2,41.3,32.9,18.2,37.7,22.5,46.9,23.7,55.1,31.2,41.8,16.8,47.8,22.9,56.7,60.7,70.2,72.2,18.8,24.6,24.7,26.8,(CONTRACTS OF 100 TROY OUNCES),088691,CMX,88
104010,GOLD - COMMODITY EXCHANGE INC.,860515,1986-05-15,088691,CMX,1,88,132147,4649,10375,7467,94944,71660,107060,89502,25087,42645,88904,4078,10830,2004,61700,39086,67782,51920,21122,36984,43243,2559,1533,3475,33244,32574,39278,37582,3965,5661,      59,   -3510,    -144,    3480,    6175,   -1150,    6145,    2186,   -6086,   -2127,100.0,3.5,7.9,5.7,71.8,54.2,81.0,67.7,19.0,32.3,100.0,4.6,12.2,2.3,69.4,44.0,76.2,58.4,23.8,41.6,100.0,5.9,3.5,8.0,76.9,75.3,90.8,86.9,9.2,13.1,80,8,24,7,27,37,39,65,75,6,23,5,22,34,33,58,24,4,2,4,13,16,17,22,47.6,31.9,59.8,40.7,33.3,13.8,38.6,18.0,50.0,22.2,60.1,29.1,41.8,16.2,50.4,21.7,61.7,60.0,75.6,73.6,21.9,24.9,29.1,28.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX,88
104009,GOLD - COMMODITY EXCHANGE INC.,860530,1986-05-30,088691,CMX,1,88,115038,4982,13683,5535,78662,56902,89179,76120,25859,38918,72388,4577,13923,1072,44969,24579,50618,39574,21770,32814,42650,1617,972,3251,33693,32323,38561,36546,4089,6104,  -17109,     333,    3308,   -1932,  -16282,  -14758,  -17881,  -13382,     772,   -3727,100.0,4.3,11.9,4.8,68.4,49.5,77.5,66.2,22.5,33.8,100.0,6.3,19.2,1.5,62.1,34.0,69.9,54.7,30.1,45.3,100.0,3.8,2.3,7.6,79.0,75.8,90.4,85.7,9.6,14.3,78,9,26,5,25,35,36,64,73,7,26,3,18,30,27,57,23,3,1,3,13,18,16,22,46.0,30.2,58.5,38.4,34.0,14.8,38.7,19.0,46.9,17.9,56.4,25.7,43.9,17.7,52.3,23.8,62.3,58.9,76.4,72.0,21.8,22.7,28.7,26.4,(CONTRACTS OF 100 TROY OUNCES),088691,CMX,88
