,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Open Interest (All),Change in Open Interest (All),Net Positions
0,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2025-01-28,96809,97768,    2652,  -11062,216788,    5168,-959
1,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2025-01-21,94157,108830,    2723,  -12015,211620,  -12332,-14673
2,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2025-01-14,91434,120845,     228,    9450,223952,   11496,-29411
3,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2025-01-07,91206,111395,   -4913,    6833,212456,    5485,-20189
4,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-12-31,96119,104562,     161,   10915,206971,    6251,-8443
5,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-12-24,95958,93647,    8750,   12400,200720,   19047,2311
6,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-12-17,87208,81247,  -10730,    9061,181673,  -93161,5961
7,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-12-10,97938,72186,    4316,  -19102,274834,   17985,25752
8,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-12-03,93622,91288,    6025,  -18942,256849,    3283,2334
9,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-11-26,87597,110230,    8624,  -15611,253566,    -521,-22633
10,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-11-19,78973,125841,   14935,   -3099,254087,   -3601,-46868
11,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-11-12,64038,128940,    3704,   24439,257688,   21926,-64902
12,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-11-05,60334,104501,   -4591,   14759,235762,    9868,-44167
13,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-10-29,64925,89742,  -14439,   23149,225894,   18556,-24817
14,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-10-22,79364,66593,   -7321,   14018,207338,    9467,12771
15,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-10-15,86685,52575,    3006,    5424,197871,    1186,34110
16,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-10-08,83679,47151,  -11834,    8410,196685,     485,36528
17,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-10-01,95513,38741,   -9177,      62,196200,  -11502,56772
18,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-09-24,104690,38679,    7358,   -1813,207702,    8239,66011
19,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-09-17,97332,40492,   -1562,   -2632,199463, -177051,56840
20,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-09-10,98894,43124,    7103,   -7551,376514,   49719,55770
21,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-09-03,91791,50675,    7486,   -7762,326795,    8536,41116
22,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-08-27,84305,58437,   -4456,   -6739,318259,    2062,25868
23,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-08-20,88761,65176,    1660,    1179,316197,     859,23585
24,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-08-13,87101,63997,   20932,  -13526,315338,   16401,23104
25,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-08-06,66169,77523,    1153,  -60953,298937,   -4214,-11354
26,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-07-30,65016,138476,     626,  -33022,303151,   -4032,-73460
27,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-07-23,64390,171498,   17034,  -26930,307183,     -22,-107108
28,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-07-16,47356,198428,    5835,  -25126,307205,  -41749,-151072
29,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-07-09,41521,223554,    4807,    2617,348954,    -863,-182033
30,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-07-02,36714,220937,    2138,   12461,349817,    9580,-184223
31,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-06-25,34576,208476,    5147,   31294,340237,   43120,-173900
32,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-06-18,29429,177182,   -1334,    7840,297117,  -22157,-147753
