,Market and Exchange Names,As of Date in Form YYMMDD,As of Date in Form YYYY-MM-DD,CFTC Contract Market Code,CFTC Market Code in Initials,CFTC Region Code,CFTC Commodity Code,Open Interest (All),Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Noncommercial Positions-Spreading (All),Commercial Positions-Long (All),Commercial Positions-Short (All), Total Reportable Positions-Long (All),Total Reportable Positions-Short (All),Nonreportable Positions-Long (All),Nonreportable Positions-Short (All),Open Interest (Old),Noncommercial Positions-Long (Old),Noncommercial Positions-Short (Old),Noncommercial Positions-Spreading (Old),Commercial Positions-Long (Old),Commercial Positions-Short (Old),Total Reportable Positions-Long (Old),Total Reportable Positions-Short (Old),Nonreportable Positions-Long (Old),Nonreportable Positions-Short (Old),Open Interest (Other),Noncommercial Positions-Long (Other),Noncommercial Positions-Short (Other),Noncommercial Positions-Spreading (Other),Commercial Positions-Long (Other),Commercial Positions-Short (Other),Total Reportable Positions-Long (Other),Total Reportable Positions-Short (Other),Nonreportable Positions-Long (Other),Nonreportable Positions-Short (Other),Change in Open Interest (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Change in Noncommercial-Spreading (All),Change in Commercial-Long (All),Change in Commercial-Short (All),Change in Total Reportable-Long (All),Change in Total Reportable-Short (All),Change in Nonreportable-Long (All),Change in Nonreportable-Short (All),% of Open Interest (OI) (All),% of OI-Noncommercial-Long (All),% of OI-Noncommercial-Short (All),% of OI-Noncommercial-Spreading (All),% of OI-Commercial-Long (All),% of OI-Commercial-Short (All),% of OI-Total Reportable-Long (All),% of OI-Total Reportable-Short (All),% of OI-Nonreportable-Long (All),% of OI-Nonreportable-Short (All),% of Open Interest (OI)(Old),% of OI-Noncommercial-Long (Old),% of OI-Noncommercial-Short (Old),% of OI-Noncommercial-Spreading (Old),% of OI-Commercial-Long (Old),% of OI-Commercial-Short (Old),% of OI-Total Reportable-Long (Old),% of OI-Total Reportable-Short (Old),% of OI-Nonreportable-Long (Old),% of OI-Nonreportable-Short (Old),% of Open Interest (OI) (Other),% of OI-Noncommercial-Long (Other),% of OI-Noncommercial-Short (Other),% of OI-Noncommercial-Spreading (Other),% of OI-Commercial-Long (Other),% of OI-Commercial-Short (Other),% of OI-Total Reportable-Long (Other),% of OI-Total Reportable-Short (Other),% of OI-Nonreportable-Long (Other),% of OI-Nonreportable-Short (Other),Traders-Total (All),Traders-Noncommercial-Long (All),Traders-Noncommercial-Short (All),Traders-Noncommercial-Spreading (All),Traders-Commercial-Long (All),Traders-Commercial-Short (All),Traders-Total Reportable-Long (All),Traders-Total Reportable-Short (All),Traders-Total (Old),Traders-Noncommercial-Long (Old),Traders-Noncommercial-Short (Old),Traders-Noncommercial-Spreading (Old),Traders-Commercial-Long (Old),Traders-Commercial-Short (Old),Traders-Total Reportable-Long (Old),Traders-Total Reportable-Short (Old),Traders-Total (Other),Traders-Noncommercial-Long (Other),Traders-Noncommercial-Short (Other),Traders-Noncommercial-Spreading (Other),Traders-Commercial-Long (Other),Traders-Commercial-Short (Other),Traders-Total Reportable-Long (Other),Traders-Total Reportable-Short (Other),Concentration-Gross LT = 4 TDR-Long (All),Concentration-Gross LT =4 TDR-Short (All),Concentration-Gross LT =8 TDR-Long (All),Concentration-Gross LT =8 TDR-Short (All),Concentration-Net LT =4 TDR-Long (All),Concentration-Net LT =4 TDR-Short (All),Concentration-Net LT =8 TDR-Long (All),Concentration-Net LT =8 TDR-Short (All),Concentration-Gross LT =4 TDR-Long (Old),Concentration-Gross LT =4 TDR-Short (Old),Concentration-Gross LT =8 TDR-Long (Old),Concentration-Gross LT =8 TDR-Short (Old),Concentration-Net LT =4 TDR-Long (Old),Concentration-Net LT =4 TDR-Short (Old),Concentration-Net LT =8 TDR-Long (Old),Concentration-Net LT =8 TDR-Short (Old),Concentration-Gross LT =4 TDR-Long (Other),Concentration-Gross LT =4 TDR-Short(Other),Concentration-Gross LT =8 TDR-Long (Other),Concentration-Gross LT =8 TDR-Short(Other),Concentration-Net LT =4 TDR-Long (Other),Concentration-Net LT =4 TDR-Short (Other),Concentration-Net LT =8 TDR-Long (Other),Concentration-Net LT =8 TDR-Short (Other),Contract Units,CFTC Contract Market Code (Quotes),CFTC Market Code in Initials (Quotes),CFTC Commodity Code (Quotes)
108803,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,41228,2004-12-28,095741,CME,0,95,85605,54120,6053,666,20840,72692,75626,79411,9979,6194,85605,54120,6053,666,20840,72692,75626,79411,9979,6194,0,0,0,0,0,0,0,0,0,0,     -96,   -2976,     -24,     666,    2716,    -719,     406,     -77,    -502,     -19,100.0,63.2,7.1,0.8,24.3,84.9,88.3,92.8,11.7,7.2,100.0,63.2,7.1,0.8,24.3,84.9,88.3,92.8,11.7,7.2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88,47,12,2,15,17,64,30,88,47,12,2,15,17,64,30,0,0,0,0,0,0,0,0,34.1,59.8,49.9,78.1,34.1,59.1,49.9,77.0,34.1,59.8,49.9,78.1,34.1,59.1,49.9,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 500,000 MEXICAN PESOS)",095741,CME,95
108878,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,30722,2003-07-22,095741,CME,0,95,38551,14426,4480,0,17715,30546,32141,35026,6410,3525,38551,14426,4480,0,17715,30546,32141,35026,6410,3525,0,0,0,0,0,0,0,0,0,0,    3709,    2367,     132,       0,     813,    4111,    3180,    4243,     529,    -534,100.0,37.4,11.6,0.0,46.0,79.2,83.4,90.9,16.6,9.1,100.0,37.4,11.6,0.0,46.0,79.2,83.4,90.9,16.6,9.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,22,8,0,15,15,37,23,56,22,8,0,15,15,37,23,0,0,0,0,0,0,0,0,39.5,67.4,52.8,79.5,39.5,67.1,52.8,79.3,39.5,67.4,52.8,79.5,39.5,67.1,52.8,79.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 500,000 MEXICAN PESOS)",095741,CME,95
108741,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,60307,2006-03-07,095741,CME,0,95,98842,40730,6170,1486,50344,87361,92560,95017,6282,3825,98842,40730,6170,1486,50344,87361,92560,95017,6282,3825,0,0,0,0,0,0,0,0,0,0,  -14827,  -26221,    2124,     750,   10454,  -19107,  -15017,  -16233,     190,    1406,100.0,41.2,6.2,1.5,50.9,88.4,93.6,96.1,6.4,3.9,100.0,41.2,6.2,1.5,50.9,88.4,93.6,96.1,6.4,3.9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76,34,16,7,20,15,58,35,76,34,16,7,20,15,58,35,0,0,0,0,0,0,0,0,31.7,65.7,51.9,84.8,24.6,49.0,39.4,61.8,31.7,65.7,51.9,84.8,24.6,49.0,39.4,61.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 500,000 MEXICAN PESOS)",095741,CME,95
108740,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,60314,2006-03-14,095741,CME,0,95,77716,35654,5724,397,35277,67501,71328,73622,6388,4094,77716,35654,5724,397,35277,67501,71328,73622,6388,4094,0,0,0,0,0,0,0,0,0,0,  -21126,   -5076,    -446,   -1089,  -15067,  -19860,  -21232,  -21395,     106,     269,100.0,45.9,7.4,0.5,45.4,86.9,91.8,94.7,8.2,5.3,100.0,45.9,7.4,0.5,45.4,86.9,91.8,94.7,8.2,5.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71,29,12,3,19,15,50,29,71,29,12,3,19,15,50,29,0,0,0,0,0,0,0,0,36.2,68.2,56.6,86.1,24.2,49.8,36.4,58.3,36.2,68.2,56.6,86.1,24.2,49.8,36.4,58.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 500,000 MEXICAN PESOS)",095741,CME,95
108739,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,60321,2006-03-21,095741,CME,0,95,73692,28530,7520,385,39679,61773,68594,69678,5098,4014,73692,28530,7520,385,39679,61773,68594,69678,5098,4014,0,0,0,0,0,0,0,0,0,0,   -4024,   -7124,    1796,     -12,    4402,   -5728,   -2734,   -3944,   -1290,     -80,100.0,38.7,10.2,0.5,53.8,83.8,93.1,94.6,6.9,5.4,100.0,38.7,10.2,0.5,53.8,83.8,93.1,94.6,6.9,5.4,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67,27,13,3,18,14,46,30,67,27,13,3,18,14,46,30,0,0,0,0,0,0,0,0,38.1,68.4,56.6,83.9,23.9,49.5,35.0,58.9,38.1,68.4,56.6,83.9,23.9,49.5,35.0,58.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 500,000 MEXICAN PESOS)",095741,CME,95
108738,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,60328,2006-03-28,095741,CME,0,95,70502,20739,9517,749,44177,56814,65665,67080,4837,3422,70502,20739,9517,749,44177,56814,65665,67080,4837,3422,0,0,0,0,0,0,0,0,0,0,   -3190,   -7791,    1997,     364,    4498,   -4959,   -2929,   -2598,    -261,    -592,100.0,29.4,13.5,1.1,62.7,80.6,93.1,95.1,6.9,4.9,100.0,29.4,13.5,1.1,62.7,80.6,93.1,95.1,6.9,4.9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,23,18,5,21,12,47,34,70,23,18,5,21,12,47,34,0,0,0,0,0,0,0,0,39.4,68.5,59.6,81.2,27.9,46.3,41.0,59.0,39.4,68.5,59.6,81.2,27.9,46.3,41.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 500,000 MEXICAN PESOS)",095741,CME,95
108737,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,60404,2006-04-04,095741,CME,0,95,79909,16625,19831,303,59162,56308,76090,76442,3819,3467,79909,16625,19831,303,59162,56308,76090,76442,3819,3467,0,0,0,0,0,0,0,0,0,0,    9407,   -4114,   10314,    -446,   14985,    -506,   10425,    9362,   -1018,      45,100.0,20.8,24.8,0.4,74.0,70.5,95.2,95.7,4.8,4.3,100.0,20.8,24.8,0.4,74.0,70.5,95.2,95.7,4.8,4.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,15,27,2,20,13,36,41,69,15,27,2,20,13,36,41,0,0,0,0,0,0,0,0,47.8,64.4,68.8,77.3,40.6,46.1,54.4,57.7,47.8,64.4,68.8,77.3,40.6,46.1,54.4,57.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 500,000 MEXICAN PESOS)",095741,CME,95
108736,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,60411,2006-04-11,095741,CME,0,95,79961,16180,20804,0,59923,55481,76103,76285,3858,3676,79961,16180,20804,0,59923,55481,76103,76285,3858,3676,0,0,0,0,0,0,0,0,0,0,      52,    -445,     973,    -303,     761,    -827,      13,    -157,      39,     209,100.0,20.2,26.0,0.0,74.9,69.4,95.2,95.4,4.8,4.6,100.0,20.2,26.0,0.0,74.9,69.4,95.2,95.4,4.8,4.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67,13,27,0,19,15,32,42,67,13,27,0,19,15,32,42,0,0,0,0,0,0,0,0,47.5,59.0,70.0,73.1,39.2,41.4,53.0,52.5,47.5,59.0,70.0,73.1,39.2,41.4,53.0,52.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 500,000 MEXICAN PESOS)",095741,CME,95
108735,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,60418,2006-04-18,095741,CME,0,95,80940,16522,23489,329,60495,53299,77346,77117,3594,3823,80940,16522,23489,329,60495,53299,77346,77117,3594,3823,0,0,0,0,0,0,0,0,0,0,     979,     342,    2685,     329,     572,   -2182,    1243,     832,    -264,     147,100.0,20.4,29.0,0.4,74.7,65.9,95.6,95.3,4.4,4.7,100.0,20.4,29.0,0.4,74.7,65.9,95.6,95.3,4.4,4.7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,13,28,2,18,16,33,44,69,13,28,2,18,16,33,44,0,0,0,0,0,0,0,0,47.6,58.6,70.3,72.5,40.3,42.0,55.3,53.9,47.6,58.6,70.3,72.5,40.3,42.0,55.3,53.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 500,000 MEXICAN PESOS)",095741,CME,95
108734,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,60425,2006-04-25,095741,CME,0,95,91804,18779,31829,0,69208,54504,87987,86333,3817,5471,91804,18779,31829,0,69208,54504,87987,86333,3817,5471,0,0,0,0,0,0,0,0,0,0,   10864,    2257,    8340,    -329,    8713,    1205,   10641,    9216,     223,    1648,100.0,20.5,34.7,0.0,75.4,59.4,95.8,94.0,4.2,6.0,100.0,20.5,34.7,0.0,75.4,59.4,95.8,94.0,4.2,6.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73,15,31,0,19,15,34,46,73,15,31,0,19,15,34,46,0,0,0,0,0,0,0,0,48.9,55.3,71.4,72.6,42.8,42.2,59.7,55.4,48.9,55.3,71.4,72.6,42.8,42.2,59.7,55.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 500,000 MEXICAN PESOS)",095741,CME,95
