,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Open Interest (All),Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Open Interest (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All)
127665,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2016-12-27,44880,23167,6463,     489,     297,   -1419
127666,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2016-12-20,44391,22870,7882,  -15409,      83,     520
127667,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2016-12-13,59800,22787,7363,    8963,    2618,   -2260
127668,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2016-12-06,50837,20168,9623,    -220,   -4823,    2486
127669,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2016-11-29,51057,24991,7137,     940,    1302,     300
127670,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2016-11-22,50117,23690,6837,    -984,    1839,    -732
127671,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2016-11-15,51101,21851,7569,   -8721,   -3738,    2299
127672,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2016-11-08,59822,25589,5269,   -3475,   -6692,    -671
127673,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2016-11-01,63297,32281,5941,      39,   -6040,     152
127674,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2016-10-25,63259,38321,5788,    2304,    1432,     323
127675,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2016-10-18,60955,36889,5465,    1461,    5164,    -400
127676,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2016-10-11,59494,31725,5865,     320,   -1451,     167
127677,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2016-10-04,59174,33176,5698,    -267,    -217,    -396
127678,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2016-09-27,59441,33393,6094,    4473,    3759,     203
127679,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2016-09-20,54968,29634,5891,   -9324,    2819,   -1690
127680,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2016-09-13,64292,26815,7582,    2490,   -9068,     445
127681,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2016-09-06,61802,35883,7137,     715,    -261,     401
127682,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2016-08-30,61088,36144,6736,    1622,    3704,     -78
127683,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2016-08-23,59466,32440,6814,     128,    -254,    -291
127684,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2016-08-16,59338,32694,7105,    1497,     572,    1312
127685,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2016-08-09,57841,32121,5792,     938,      -2,       5
127686,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2016-08-02,56902,32123,5787,    2119,    2792,     513
127687,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2016-07-26,54783,29332,5275,    4350,    4536,    -263
127688,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2016-07-19,50432,24796,5537,    4625,    4082,    -718
127689,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2016-07-12,45807,20714,6255,    5788,    4893,    -640
127690,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2016-07-05,40019,15821,6895,   -1192,    -530,     -94
127691,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2016-06-28,41211,16351,6989,   -2456,   -4657,    1300
127692,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2016-06-21,43667,21007,5689,  -13854,   -2817,   -1497
127693,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2016-06-14,57521,23825,7186,    8757,    3988,    -107
127694,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2016-06-07,48764,19837,7293,    2386,     394,   -1157
127695,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2016-05-31,46379,19443,8450,    2108,    5135,     183
127696,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2016-05-24,44271,14308,8267,    -484,    5148,   -2413
127697,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2016-05-17,44755,9160,10680,   -1856,   -1875,   -2219
127698,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2016-05-10,46611,11035,12899,   -1538,   -3468,     262
127699,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2016-05-03,48150,14503,12637,    2790,   -1155,    4342
127700,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2016-04-26,45360,15658,8295,   -1718,   -2071,     664
127701,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2016-04-19,47078,17729,7631,    2183,    2527,      52
127702,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2016-04-12,44895,15202,7579,    1540,     965,    -800
127703,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2016-04-05,43356,14237,8379,    -656,    -286,   -1919
127704,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2016-03-29,44012,14524,10298,    1732,    2735,     102
127705,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2016-03-22,42279,11788,10196,  -13198,    1491,    -982
127706,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2016-03-15,55478,10298,11178,    3017,   -2790,    -553
127707,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2016-03-08,52461,13088,11732,     844,     438,    1862
127708,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2016-03-01,51617,12650,9870,    -516,    1018,   -1187
127709,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2016-02-23,52133,11632,11057,   -1785,    -260,    -908
127710,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2016-02-16,53918,11892,11966,   -3143,   -1398,     600
127711,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2016-02-09,57062,13290,11366,    2848,   -1036,    1387
127712,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2016-02-02,54214,14327,9978,     435,     116,    1826
127713,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2016-01-26,53779,14211,8152,   -1670,    -286,    -529
127714,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2016-01-19,55449,14497,8681,   -4699,   -2710,   -1880
127715,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2016-01-12,60148,17207,10561,    -288,     384,     931
127716,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2016-01-05,60436,16822,9629,   -2778,   -2315,    2676
127717,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2015-12-29,63214,19138,6954,    1615,    2345,    -261
127718,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2015-12-22,61599,16793,7215,  -15445,   -2747,     -21
127719,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2015-12-15,77044,19540,7236,    9599,     428,   -1075
127720,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2015-12-08,67445,19111,8312,   -1870,     146,     698
127721,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2015-12-01,69314,18966,7614,    1865,     768,     460
127722,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2015-11-24,67450,18197,7153,   -2505,   -1328,    1401
127723,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2015-11-17,69955,19525,5752,   -3028,   -3268,    -728
127724,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2015-11-10,72983,22793,6480,    4645,    2809,     524
127725,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2015-11-03,68337,19984,5956,    3467,    1920,    -744
127726,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2015-10-27,64871,18064,6701,    7198,    2867,   -2486
127727,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2015-10-20,57673,15197,9187,    4034,    2945,    -714
127728,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2015-10-13,53639,12252,9901,    1501,     568,     123
127729,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2015-10-06,52137,11684,9777,      38,     581,    -917
127730,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2015-09-29,52099,11103,10695,   -1201,   -2009,    -611
127731,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2015-09-22,53300,13113,11306,  -11403,    2633,     703
127732,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2015-09-15,64703,10479,10603,    5482,    1354,     321
127733,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2015-09-08,59221,9125,10282,     213,    -444,    -509
