,Unnamed: 0.1,Unnamed: 0,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Open Interest (All),Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Open Interest (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All)
0,961.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2025-01-28,76105,46600,33227,     531,   -2005,    -770
1,962.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2025-01-21,75574,48605,33997,     525,    1507,    2459
2,963.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2025-01-14,75049,47098,31538,   -9568,   -9341,   -7054
3,964.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2025-01-07,84617,56439,38592,   -4580,    3816,   -8375
4,13013.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2024-12-31,89197,52623,46967,   -2793,   -4745,    5247
5,13014.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2024-12-24,91990,57368,41720,   -5952,    1135,    -769
6,13015.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2024-12-17,97942,56233,42489,     286,    2128,    3213
7,13016.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2024-12-10,97656,54105,39276,    2994,   -1310,    4347
8,13017.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2024-12-03,94662,55415,34929,    2301,     948,    -878
9,13018.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2024-11-26,92361,54467,35807,    3408,    -970,    3046
10,13019.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2024-11-19,88953,55437,32761,      66,    2154,    -289
11,13020.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2024-11-12,88887,53283,33050,    3325,   -2497,    6311
12,13021.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2024-11-05,85562,55780,26739,    -782,   -1720,    4782
13,13022.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2024-10-29,86344,57500,21957,    4847,    3684,    3017
14,13023.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2024-10-22,81497,53816,18940,    8530,    7293,     804
15,13024.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2024-10-15,72967,46523,18136,   -4012,     184,   -4546
16,13025.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2024-10-08,76979,46339,22682,    4346,      23,    4498
17,13026.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2024-10-01,72633,46316,18184,   -2535,     213,   -3518
18,13027.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2024-09-24,75168,46103,21702,   -3966,    3424,    1001
19,13028.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2024-09-17,79134,42679,20701,   -5595,   -2748,  -14723
20,13029.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2024-09-10,84729,45427,35424,   -2456,    3503,   -5112
21,13030.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2024-09-03,87185,41924,40536,   10103,   -1027,   13318
22,13031.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2024-08-27,77082,42951,27218,   -4313,   -3029,   -3936
23,13032.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2024-08-20,81395,45980,31154,    -210,    -307,   -3194
24,13033.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2024-08-13,81605,46287,34348,     452,    1896,     248
25,13034.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2024-08-06,81153,44391,34100,    2393,    1796,    5819
26,13035.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2024-07-30,78760,42595,28281,   -1642,    1693,    -413
27,13036.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2024-07-23,80402,40902,28694,   -3014,   -8060,    1680
