,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Open Interest (All),Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Open Interest (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All)
973,SILVER - COMMODITY EXCHANGE INC.,2025-01-28,165135,74656,30288,    5236,   -1004,    2108
974,SILVER - COMMODITY EXCHANGE INC.,2025-01-21,159899,75660,28180,    9535,    4149,    2749
975,SILVER - COMMODITY EXCHANGE INC.,2025-01-14,150364,71511,25431,   -1226,    2619,   -2513
976,SILVER - COMMODITY EXCHANGE INC.,2025-01-07,151590,68892,27944,     577,    1885,   -1174
13174,SILVER - COMMODITY EXCHANGE INC.,2024-12-31,151013,67007,29118,    5395,    -844,    1430
13175,SILVER - COMMODITY EXCHANGE INC.,2024-12-24,145618,67851,27688,   -1320,    -332,    -231
13176,SILVER - COMMODITY EXCHANGE INC.,2024-12-17,146938,68183,27919,   -4158,   -4332,   -3431
13177,SILVER - COMMODITY EXCHANGE INC.,2024-12-10,151096,72515,31350,   17022,    8230,   10325
13178,SILVER - COMMODITY EXCHANGE INC.,2024-12-03,134074,64285,21025,    -516,    1209,     732
13179,SILVER - COMMODITY EXCHANGE INC.,2024-11-26,134590,63076,20293,   -6697,   -2863,     677
13180,SILVER - COMMODITY EXCHANGE INC.,2024-11-19,141287,65939,19616,   -6239,   -3012,   -1693
13181,SILVER - COMMODITY EXCHANGE INC.,2024-11-12,147526,68951,21309,   -3600,   -5029,     675
13182,SILVER - COMMODITY EXCHANGE INC.,2024-11-05,151126,73980,20634,   -5194,   -5669,    1416
13183,SILVER - COMMODITY EXCHANGE INC.,2024-10-29,156320,79649,19218,    -944,   -2490,    3434
13184,SILVER - COMMODITY EXCHANGE INC.,2024-10-22,157264,82139,15784,   15366,   12115,    -208
13185,SILVER - COMMODITY EXCHANGE INC.,2024-10-15,141898,70024,15992,    -941,   -2089,   -1406
13186,SILVER - COMMODITY EXCHANGE INC.,2024-10-08,142839,72113,17398,   -1918,   -3475,   -1266
13187,SILVER - COMMODITY EXCHANGE INC.,2024-10-01,144757,75588,18664,   -5314,   -5441,    -167
13188,SILVER - COMMODITY EXCHANGE INC.,2024-09-24,150071,81029,18831,    9466,    6051,    2151
13189,SILVER - COMMODITY EXCHANGE INC.,2024-09-17,140605,74978,16680,   11646,   13329,    -227
13190,SILVER - COMMODITY EXCHANGE INC.,2024-09-10,128959,61649,16907,   -1969,   -2450,   -1133
13191,SILVER - COMMODITY EXCHANGE INC.,2024-09-03,130928,64099,18040,  -10685,   -1616,    4511
13192,SILVER - COMMODITY EXCHANGE INC.,2024-08-27,141613,65715,13529,   -5373,    1785,   -1077
13193,SILVER - COMMODITY EXCHANGE INC.,2024-08-20,146986,63930,14606,    -873,    2472,   -1563
13194,SILVER - COMMODITY EXCHANGE INC.,2024-08-13,147859,61458,16169,     322,   -3116,     676
13195,SILVER - COMMODITY EXCHANGE INC.,2024-08-06,147537,64574,15493,   -3900,   -2842,   -2862
13196,SILVER - COMMODITY EXCHANGE INC.,2024-07-30,151437,67416,18355,   -5669,   -8057,   -5738
13197,SILVER - COMMODITY EXCHANGE INC.,2024-07-23,157106,75473,24093,   -9535,   -9532,    -747
13198,SILVER - COMMODITY EXCHANGE INC.,2024-07-16,166641,85005,24840,    3396,     654,    1545
13199,SILVER - COMMODITY EXCHANGE INC.,2024-07-09,163245,84351,23295,    8521,    4580,    -642
13200,SILVER - COMMODITY EXCHANGE INC.,2024-07-02,154724,79771,23937,  -11746,   -1595,   -1451
13201,SILVER - COMMODITY EXCHANGE INC.,2024-06-25,166470,81366,25388,  -10135,    -493,   -4570
