,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Open Interest (All),Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Open Interest (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All)
106103,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2016-12-27,54605,14303,24394,    -580,  -19173,   -1972
106104,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2016-12-20,55185,33476,26366,   -9448,   27876,   -4522
106105,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2016-12-13,64633,5600,30888,    -822,   -4259,   -4368
106106,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2016-12-06,65455,9859,35256,   -1607,   -3168,   -2105
106107,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2016-11-29,67062,13027,37361,    6871,    3512,    4946
106108,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2016-11-22,60191,9515,32415,    5658,    2510,    3216
106109,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2016-11-15,54533,7005,29199,     901,     199,    -898
106110,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2016-11-08,53632,6806,30097,   -6066,   -5938,   -2617
106111,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2016-11-01,59698,12744,32714,   -7513,   -6084,   -4814
106112,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2016-10-25,67211,18828,37528,    3985,     499,    2822
106113,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2016-10-18,63226,18329,34706,    7479,   -1817,    5152
106114,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2016-10-11,55747,20146,29554,    9417,     853,    7325
106115,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2016-10-04,46330,19293,22229,    7361,    6490,    3470
106116,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2016-09-27,38969,12803,18759,   -1869,  -14478,    -109
106117,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2016-09-20,40838,27281,18868,   -3910,    6428,    -637
106118,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2016-09-13,44748,20853,19505,   -1047,   -1966,   -1863
106119,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2016-09-06,45795,22819,21368,    3501,   -1738,    5019
106120,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2016-08-30,42294,24557,16349,    2740,    3636,   -2687
106121,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2016-08-23,39554,20921,19036,   -3232,     925,   -2505
106122,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2016-08-16,42786,19996,21541,    -619,    -430,    1222
106123,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2016-08-09,43405,20426,20319,   -1448,    -790,   -2612
106124,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2016-08-02,44853,21216,22931,   -6654,   -5591,   -2930
106125,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2016-07-26,51507,26807,25861,    9741,    3616,    7357
106126,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2016-07-19,41766,23191,18504,    2756,    -139,    1892
106127,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2016-07-12,39010,23330,16612,    4214,     856,    2816
106128,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2016-07-05,34796,22474,13796,    -711,    -431,    1758
106129,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2016-06-28,35507,22905,12038,   -3028,   -1111,   -5597
106130,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2016-06-21,38535,24016,17635,   -4575,   -4476,   -3727
