,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Open Interest (All),Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Open Interest (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All)
112355,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2016-12-27,87191,65725,13081,    2958,    2282,    2005
112356,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2016-12-20,84233,63443,11076,  -11854,   -6714,   -2369
112357,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2016-12-13,96087,70157,13445,    2776,    3713,    1603
112358,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2016-12-06,93311,66444,11842,    1155,   -1598,   -2797
112359,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2016-11-29,92156,68042,14639,   -1809,   -4184,   -4398
112360,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2016-11-22,93965,72226,19037,   12795,   11476,    6715
112361,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2016-11-15,81170,60750,12322,   -4761,   -4773,    -905
112362,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2016-11-08,85931,65523,13227,     192,   -1658,     376
112363,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2016-11-01,85739,67181,12851,    -944,    -803,   -1143
112364,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2016-10-25,86683,67984,13994,    6750,    7418,   -1150
112365,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2016-10-18,79933,60566,15144,   10164,    9576,   -2297
112366,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2016-10-11,69769,50990,17441,   15974,   16780,   -4669
112367,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2016-10-04,53795,34210,22110,    3261,    2950,    3055
112368,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2016-09-27,50534,31260,19055,    2570,     992,    3187
112369,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2016-09-20,47964,30268,15868,   -7537,   -4075,   -1401
112370,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2016-09-13,55501,34343,17269,   -2668,     615,     502
112371,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2016-09-06,58169,33728,16767,    2828,    3607,    1612
112372,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2016-08-30,55341,30121,15155,   -2310,   -3645,   -2643
112373,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2016-08-23,57651,33766,17798,    -108,   -2083,   -1580
112374,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2016-08-16,57759,35849,19378,    1400,    3350,    2648
112375,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2016-08-09,56359,32499,16730,    1489,     299,    2247
112376,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2016-08-02,54870,32200,14483,   -8261,   -9051,   -4289
112377,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2016-07-26,63131,41251,18772,    6305,    5951,   -2002
112378,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2016-07-19,56826,35300,20774,    4148,    2196,    1654
112379,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2016-07-12,52678,33104,19120,    1618,     662,   -1043
112380,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2016-07-05,51060,32442,20163,    3357,    1384,    1284
112381,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2016-06-28,47703,31058,18879,   -2946,   -3039,   -5846
112382,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2016-06-21,50649,34097,24725,     334,    2073,   -2607
112383,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2016-06-14,50315,32024,27332,  -19824,   -5963,    -856
112384,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2016-06-07,70139,37987,28188,    7944,    3888,    3995
112385,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2016-05-31,62195,34099,24193,     929,    -519,     753
112386,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2016-05-24,61266,34618,23440,   -4146,   -4308,   -5040
112387,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2016-05-17,65412,38926,28480,   -2429,   -3908,   -2237
112388,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2016-05-10,67841,42834,30717,   -3687,   -1544,   -4487
112389,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2016-05-03,71528,44378,35204,    7494,    3854,    6010
112390,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2016-04-26,64034,40524,29194,    1540,   -1534,     585
112391,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2016-04-19,62494,42058,28609,    3440,    2487,    2887
112392,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2016-04-12,59054,39571,25722,    2731,    -468,    2998
112393,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2016-04-05,56323,40039,22724,    2654,    2502,    2937
112394,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2016-03-29,53669,37537,19787,    1055,    1776,    1700
112395,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2016-03-22,52614,35761,18087,    2930,    2183,    2020
112396,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2016-03-15,49684,33578,16067,  -14018,   -6869,    1998
112397,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2016-03-08,63702,40447,14069,    -595,   -1124,    -717
112398,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2016-03-01,64297,41571,14786,   -4961,   -3536,    -896
112399,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2016-02-23,69258,45107,15682,    -668,   -1663,     254
112400,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2016-02-16,69926,46770,15428,   -5927,   -3965,    -294
112401,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2016-02-09,75853,50735,15722,    -267,   -4052,    5807
112402,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2016-02-02,76120,54787,9915,     281,      99,    -548
112403,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2016-01-26,75839,54688,10463,    -367,    -396,   -1846
112404,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2016-01-19,76206,55084,12309,    2338,    1860,    1804
112405,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2016-01-12,73868,53224,10505,    -607,    -367,   -2377
112406,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2016-01-05,74475,53591,12882,   10057,    6356,    -738
112407,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2015-12-29,64418,47235,13620,    -653,    -691,    -899
112408,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2015-12-22,65071,47926,14519,   -6424,   -5019,   -1524
112409,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2015-12-15,71495,52945,16043,  -25303,  -15383,   -1257
112410,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2015-12-08,96798,68328,17300,    1761,    1952,   -1739
112411,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2015-12-01,95037,66376,19039,    3844,    1495,     304
