,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Open Interest (All),Change in Open Interest (All),Net Positions,Change Net Positions
7894,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2026-07-14,15899,12808,    -174,     235,19385,     553,3091,-409.0
7895,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2026-07-07,16073,12573,    -422,    -152,18832,     496,3500,-270.0
7896,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2026-06-30,16495,12725,     147,     -99,18336,   -2218,3770,246.0
7897,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2026-06-23,16348,12824,   -1379,   -1428,20554,    -571,3524,49.0
7898,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2026-06-16,17727,14252,     549,      92,21125,    1349,3475,457.0
7899,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2026-06-09,17178,14160,     -32,    -592,19776,    -106,3018,560.0
7900,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2026-06-02,17210,14752,      64,    -112,19882,   -1743,2458,176.0
7901,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2026-05-26,17146,14864,    -645,    -815,21625,   -1375,2282,170.0
7902,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2026-05-19,17791,15679,    -363,   -1216,23000,    -535,2112,853.0
7903,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2026-05-12,18154,16895,   -1147,    -965,23535,     133,1259,-182.0
7904,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2026-05-05,19301,17860,    1870,    2821,23402,    1710,1441,-951.0
7905,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2026-04-28,17431,15039,     334,      13,21692,   -3302,2392,321.0
7906,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2026-04-21,17097,15026,    -402,    -280,24994,    1233,2071,-122.0
7907,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2026-04-14,17499,15306,    1357,    1704,23761,    1453,2193,-347.0
7908,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2026-04-07,16142,13602,    1228,     941,22308,    1677,2540,287.0
7909,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2026-03-31,14914,12661,    -947,   -1094,20631,   -2637,2253,147.0
7910,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2026-03-24,15861,13755,    -880,   -1213,23268,    -539,2106,333.0
7911,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2026-03-17,16741,14968,     880,     409,23807,    2760,1773,471.0
7912,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2026-03-10,15861,14559,     276,     -15,21047,     745,1302,291.0
7913,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2026-03-03,15585,14574,    -825,    -664,20302,   -2617,1011,-161.0
7914,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2026-02-24,16410,15238,    -183,     283,22919,    -416,1172,-466.0
