,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Open Interest (All),Change in Open Interest (All),Net Positions,Change Net Positions
0,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2025-02-25,20523,158429,    -753,   -7490,319493,   -3702,-137906,6737.0
1,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2025-02-18,21276,165919,    3365,   -2826,323195,   -3654,-144643,6191.0
2,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2025-02-11,17911,168745,   -2510,  -12120,326849,  -20135,-150834,9610.0
3,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2025-02-04,20421,180865,    -798,   12045,346984,   15875,-160444,-12843.0
4,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2025-01-28,21219,168820,    1716,   -1470,331109,    -526,-147601,3186.0
5,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2025-01-21,19503,170290,   -3528,  -19894,331635,  -18728,-150787,16366.0
6,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2025-01-14,23031,190184,    3917,   -7519,350363,   -6847,-167153,11436.0
7,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2025-01-07,19114,197703,   -1770,    1111,357210,    3524,-178589,-2881.0
8,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-12-31,20884,196592,    7382,    6370,353686,    7744,-175708,1012.0
9,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-12-24,13502,190222,   -5668,  -11003,345942, -139650,-176720,5335.0
10,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-12-17,19170,201225,   -9864,   -9363,485592,   77411,-182055,-501.0
11,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-12-10,29034,210588,    7338,   29546,408181,   83856,-181554,-22208.0
12,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-12-03,21696,181042,     415,    5759,324325,    1905,-159346,-5344.0
13,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-11-26,21281,175283,   -2623,  -32187,322420,  -25934,-154002,29564.0
14,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-11-19,23904,207470,    1893,    3070,348354,    5797,-183566,-1177.0
