,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Open Interest (All),Change in Open Interest (All),Net Positions,Change Net Positions
2102,DJIA Consolidated - CHICAGO BOARD OF TRADE,2025-02-25,16132,17677,    1545,    2050,81664,    -658,-1545,-504.0
2103,DJIA Consolidated - CHICAGO BOARD OF TRADE,2025-02-18,14587,15628,     408,    4326,82322,     940,-1041,-3918.0
2104,DJIA Consolidated - CHICAGO BOARD OF TRADE,2025-02-11,14179,11302,     974,    -182,81382,   -1093,2877,1156.0
2105,DJIA Consolidated - CHICAGO BOARD OF TRADE,2025-02-04,13205,11484,   -2246,   -1696,82475,   -3144,1721,-550.0
2106,DJIA Consolidated - CHICAGO BOARD OF TRADE,2025-01-28,15451,13180,    2074,    2130,85619,    3928,2271,-56.0
2107,DJIA Consolidated - CHICAGO BOARD OF TRADE,2025-01-21,13377,11050,   -1302,   -2183,81691,     -77,2327,881.0
2108,DJIA Consolidated - CHICAGO BOARD OF TRADE,2025-01-14,14679,13233,   -1043,     270,81768,   -3599,1446,-1313.0
2109,DJIA Consolidated - CHICAGO BOARD OF TRADE,2025-01-07,15722,12963,   -1686,     195,85367,    1410,2759,-1881.0
0,DJIA Consolidated - CHICAGO BOARD OF TRADE,2024-12-31,17408,12768,   -1162,     173,83957,    1807,4640,-1335.0
1,DJIA Consolidated - CHICAGO BOARD OF TRADE,2024-12-24,18570,12595,   -1919,   -2295,82150,  -26810,5975,376.0
2,DJIA Consolidated - CHICAGO BOARD OF TRADE,2024-12-17,20489,14890,   -3658,     864,108960,   16486,5599,-4522.0
3,DJIA Consolidated - CHICAGO BOARD OF TRADE,2024-12-10,24147,14026,   -2050,   -1670,92474,     137,10121,-379.0
4,DJIA Consolidated - CHICAGO BOARD OF TRADE,2024-12-03,26196,15696,    1287,    2283,92337,    2988,10500,-996.0
5,DJIA Consolidated - CHICAGO BOARD OF TRADE,2024-11-26,24909,13413,    4893,     949,89349,    2579,11496,3944.0
6,DJIA Consolidated - CHICAGO BOARD OF TRADE,2024-11-19,20016,12464,   -6648,    -534,86770,   -1543,7552,-6114.0
7,DJIA Consolidated - CHICAGO BOARD OF TRADE,2024-11-12,26664,12998,    2469,    1734,88312,    1969,13666,735.0
8,DJIA Consolidated - CHICAGO BOARD OF TRADE,2024-11-05,24195,11264,    1077,   -2229,86343,   -3631,12931,3306.0
9,DJIA Consolidated - CHICAGO BOARD OF TRADE,2024-10-29,23118,13493,   -1642,     969,89974,   -1061,9625,-2611.0
10,DJIA Consolidated - CHICAGO BOARD OF TRADE,2024-10-22,24760,12524,     778,    1141,91035,     -82,12236,-364.0
11,DJIA Consolidated - CHICAGO BOARD OF TRADE,2024-10-15,23983,11383,    3398,    5084,91117,    6386,12600,-1686.0
12,DJIA Consolidated - CHICAGO BOARD OF TRADE,2024-10-08,20585,6299,   -4560,   -1796,84731,   -4839,14286,-2764.0
13,DJIA Consolidated - CHICAGO BOARD OF TRADE,2024-10-01,25145,8095,    1922,     308,89570,    1925,17050,1614.0
14,DJIA Consolidated - CHICAGO BOARD OF TRADE,2024-09-24,23223,7787,     292,   -2091,87645,  -13889,15436,2383.0
15,DJIA Consolidated - CHICAGO BOARD OF TRADE,2024-09-17,22931,9878,    3295,   -1590,101534,   15563,13053,4885.0
16,DJIA Consolidated - CHICAGO BOARD OF TRADE,2024-09-10,19636,11468,    -136,   -1168,85971,     804,8168,1032.0
17,DJIA Consolidated - CHICAGO BOARD OF TRADE,2024-09-03,19772,12636,   -2227,   -2439,85167,   -7239,7136,212.0
18,DJIA Consolidated - CHICAGO BOARD OF TRADE,2024-08-27,21999,15075,    -508,    -704,92406,    5261,6924,196.0
19,DJIA Consolidated - CHICAGO BOARD OF TRADE,2024-08-20,22507,15779,    4495,    -996,87145,    5264,6728,5491.0
20,DJIA Consolidated - CHICAGO BOARD OF TRADE,2024-08-13,18012,16775,   -3472,    2660,81881,   -2559,1237,-6132.0
21,DJIA Consolidated - CHICAGO BOARD OF TRADE,2024-08-06,21484,14115,   -6070,      99,84440,   -7745,7369,-6169.0
22,DJIA Consolidated - CHICAGO BOARD OF TRADE,2024-07-30,27554,14016,    1613,    -559,92185,    1138,13538,2172.0
23,DJIA Consolidated - CHICAGO BOARD OF TRADE,2024-07-23,25941,14575,   -4627,    -752,91047,   -8605,11366,-3875.0
24,DJIA Consolidated - CHICAGO BOARD OF TRADE,2024-07-16,30568,15327,    8251,     805,99652,   11345,15241,7446.0
25,DJIA Consolidated - CHICAGO BOARD OF TRADE,2024-07-09,22317,14522,    4012,    2945,88307,    6179,7795,1067.0
26,DJIA Consolidated - CHICAGO BOARD OF TRADE,2024-07-02,18305,11577,    2135,   -5107,82128,   -2695,6728,7242.0
27,DJIA Consolidated - CHICAGO BOARD OF TRADE,2024-06-25,16170,16684,   -1020,    1018,84823,  -29410,-514,-2038.0
28,DJIA Consolidated - CHICAGO BOARD OF TRADE,2024-06-18,17190,15666,   -2648,   -1796,114233,    6331,1524,-852.0
29,DJIA Consolidated - CHICAGO BOARD OF TRADE,2024-06-11,19838,17462,   -1170,    4740,107902,    7268,2376,-5910.0
30,DJIA Consolidated - CHICAGO BOARD OF TRADE,2024-06-04,21008,12722,   -1277,    3581,100634,    3391,8286,-4858.0
31,DJIA Consolidated - CHICAGO BOARD OF TRADE,2024-05-28,22285,9141,   -8443,   -1150,97243,   -6383,13144,-7293.0
32,DJIA Consolidated - CHICAGO BOARD OF TRADE,2024-05-21,30728,10291,    5989,    1325,103626,    4419,20437,4664.0
33,DJIA Consolidated - CHICAGO BOARD OF TRADE,2024-05-14,24739,8966,    5434,   -1675,99207,    6455,15773,7109.0
34,DJIA Consolidated - CHICAGO BOARD OF TRADE,2024-05-07,19305,10641,    1422,   -2044,92752,    2792,8664,3466.0
35,DJIA Consolidated - CHICAGO BOARD OF TRADE,2024-04-30,17883,12685,   -1383,     271,89960,    -875,5198,-1654.0
36,DJIA Consolidated - CHICAGO BOARD OF TRADE,2024-04-23,19266,12414,   -4439,    2388,90835,   -2779,6852,-6827.0
37,DJIA Consolidated - CHICAGO BOARD OF TRADE,2024-04-16,23705,10026,   -5154,   -1872,93614,    1130,13679,-3282.0
38,DJIA Consolidated - CHICAGO BOARD OF TRADE,2024-04-09,28859,11898,   -3247,   -3613,92484,   -1036,16961,366.0
39,DJIA Consolidated - CHICAGO BOARD OF TRADE,2024-04-02,32106,15511,    -130,    3287,93520,     779,16595,-3417.0
40,DJIA Consolidated - CHICAGO BOARD OF TRADE,2024-03-26,32236,12224,   -3452,   -1019,92741,   -1110,20012,-2433.0
41,DJIA Consolidated - CHICAGO BOARD OF TRADE,2024-03-19,35688,13243,    4657,    -775,93851,  -21210,22445,5432.0
42,DJIA Consolidated - CHICAGO BOARD OF TRADE,2024-03-12,31031,14018,     346,   -1224,115061,   13727,17013,1570.0
43,DJIA Consolidated - CHICAGO BOARD OF TRADE,2024-03-05,30685,15242,   -2869,    1009,101334,   -5229,15443,-3878.0
44,DJIA Consolidated - CHICAGO BOARD OF TRADE,2024-02-27,33554,14233,     542,    -839,106563,    1820,19321,1380.0
45,DJIA Consolidated - CHICAGO BOARD OF TRADE,2024-02-20,33012,15071,    -935,    2669,104742,    -971,17941,-3603.0
46,DJIA Consolidated - CHICAGO BOARD OF TRADE,2024-02-13,33947,12403,     673,     114,105714,    1293,21544,559.0
47,DJIA Consolidated - CHICAGO BOARD OF TRADE,2024-02-06,33274,12289,   -7338,   -2492,104421,   -5972,20985,-4846.0
48,DJIA Consolidated - CHICAGO BOARD OF TRADE,2024-01-30,40612,14781,    6790,      21,110393,    8630,25831,6769.0
49,DJIA Consolidated - CHICAGO BOARD OF TRADE,2024-01-23,33822,14760,     262,    -516,101763,    1611,19062,778.0
50,DJIA Consolidated - CHICAGO BOARD OF TRADE,2024-01-16,33560,15276,   -3427,    2368,100152,   -3166,18284,-5795.0
51,DJIA Consolidated - CHICAGO BOARD OF TRADE,2024-01-09,36987,12908,    2678,   -1859,103318,     -46,24079,4537.0
52,DJIA Consolidated - CHICAGO BOARD OF TRADE,2024-01-02,34309,14767,    5840,   -2549,103364,    4863,19542,8389.0
53,DJIA Consolidated - CHICAGO BOARD OF TRADE,2023-12-26,28469,17316,   -1414,   -5444,98501,   -1828,11153,4030.0
54,DJIA Consolidated - CHICAGO BOARD OF TRADE,2023-12-19,29883,22760,    3915,     243,100329,  -11747,7123,3672.0
55,DJIA Consolidated - CHICAGO BOARD OF TRADE,2023-12-12,25968,22517,    -285,   -3428,112076,   17206,3451,3143.0
56,DJIA Consolidated - CHICAGO BOARD OF TRADE,2023-12-05,26253,25945,    3718,  -21645,94870,   -6109,308,25363.0
57,DJIA Consolidated - CHICAGO BOARD OF TRADE,2023-11-28,22535,47590,    6134,   -3119,100979,    6481,-25055,9253.0
58,DJIA Consolidated - CHICAGO BOARD OF TRADE,2023-11-21,16401,50709,   -4513,   -6718,94498,   -6532,-34308,2205.0
59,DJIA Consolidated - CHICAGO BOARD OF TRADE,2023-11-14,20914,57427,   -1816,   -2379,101030,   -2276,-36513,563.0
60,DJIA Consolidated - CHICAGO BOARD OF TRADE,2023-11-07,22730,59806,   -1050,     -85,103306,    -630,-37076,-965.0
61,DJIA Consolidated - CHICAGO BOARD OF TRADE,2023-10-31,23780,59891,   -1379,   -1228,103936,    -645,-36111,-151.0
62,DJIA Consolidated - CHICAGO BOARD OF TRADE,2023-10-24,25159,61119,    6998,    7747,104581,    8027,-35960,-749.0
63,DJIA Consolidated - CHICAGO BOARD OF TRADE,2023-10-17,18161,53372,     486,    1045,96554,    1947,-35211,-559.0
64,DJIA Consolidated - CHICAGO BOARD OF TRADE,2023-10-10,17675,52327,   -1805,     400,94607,   -6216,-34652,-2205.0
65,DJIA Consolidated - CHICAGO BOARD OF TRADE,2023-10-03,19480,51927,    1243,   12072,100823,    8272,-32447,-10829.0
66,DJIA Consolidated - CHICAGO BOARD OF TRADE,2023-09-26,18237,39855,    -779,    3070,92551,    5559,-21618,-3849.0
67,DJIA Consolidated - CHICAGO BOARD OF TRADE,2023-09-19,19016,36785,   -3772,    1097,86992,  -15918,-17769,-4869.0
68,DJIA Consolidated - CHICAGO BOARD OF TRADE,2023-09-12,22788,35688,     543,    1719,102910,    8977,-12900,-1176.0
