,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Open Interest (All),Change in Open Interest (All),Net Positions,Change Net Positions
0,GOLD - COMMODITY EXCHANGE INC.,2025-02-18,334043,65369,   -9723,    6107,522330,   -6389,268674,-15830.0
1,GOLD - COMMODITY EXCHANGE INC.,2025-02-11,343766,59262,  -12734,    5270,528719,  -13285,284504,-18004.0
2,GOLD - COMMODITY EXCHANGE INC.,2025-02-04,356500,53992,   18129,   15030,542004,  -35501,302508,3099.0
3,GOLD - COMMODITY EXCHANGE INC.,2025-01-28,338371,38962,    1082,    2457,577505,    6118,299409,-1375.0
4,GOLD - COMMODITY EXCHANGE INC.,2025-01-21,337289,36505,   24721,    3300,571387,   44920,300784,21421.0
5,GOLD - COMMODITY EXCHANGE INC.,2025-01-14,312568,33205,   20847,   -3605,526467,   49424,279363,24452.0
6,GOLD - COMMODITY EXCHANGE INC.,2025-01-07,291721,36810,    8814,    1182,477043,   18459,254911,7632.0
7,GOLD - COMMODITY EXCHANGE INC.,2024-12-31,282907,35628,   -6509,   -6159,458584,    3938,247279,-350.0
8,GOLD - COMMODITY EXCHANGE INC.,2024-12-24,289416,41787,  -13562,     850,454646,  -11925,247629,-14412.0
9,GOLD - COMMODITY EXCHANGE INC.,2024-12-17,302978,40937,  -21354,   -7809,466571,  -16775,262041,-13545.0
10,GOLD - COMMODITY EXCHANGE INC.,2024-12-10,324332,48746,   16721,     871,483346,   21306,275586,15850.0
11,GOLD - COMMODITY EXCHANGE INC.,2024-12-03,307611,47875,    4210,   -5188,462040,  -10620,259736,9398.0
12,GOLD - COMMODITY EXCHANGE INC.,2024-11-26,303401,53063,   -5953,  -21924,472660,  -30292,250338,15971.0
13,GOLD - COMMODITY EXCHANGE INC.,2024-11-19,309354,74987,   -6871,   -4787,502952,  -33029,234367,-2084.0
14,GOLD - COMMODITY EXCHANGE INC.,2024-11-12,316225,79774,  -20591,   -1713,535981,  -22053,236451,-18878.0
15,GOLD - COMMODITY EXCHANGE INC.,2024-11-05,336816,81487,  -29820,   -6496,558034,  -21434,255329,-23324.0
16,GOLD - COMMODITY EXCHANGE INC.,2024-10-29,366636,87983,   -5177,   12374,579468,    5708,278653,-17551.0
17,GOLD - COMMODITY EXCHANGE INC.,2024-10-22,371813,75609,   14319,    4549,573760,   32528,296204,9770.0
18,GOLD - COMMODITY EXCHANGE INC.,2024-10-15,357494,71060,    8603,     349,541232,   20916,286434,8254.0
19,GOLD - COMMODITY EXCHANGE INC.,2024-10-08,348891,70711,  -21160,     591,520316,  -12791,278180,-21751.0
