,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Open Interest (All),Change in Open Interest (All),Net Positions,Change Net Positions
0,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2025-02-25,171751,75771,   24185,  -11226,329186,   48023,95980,35411.0
1,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2025-02-18,147566,86997,    3408,   -2546,281163,    7849,60569,5954.0
2,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2025-02-11,144158,89543,   39474,    3627,273314,   41403,54615,35847.0
3,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2025-02-04,104684,85916,    7875,  -11852,231911,   15123,18768,19727.0
4,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2025-01-28,96809,97768,    2652,  -11062,216788,    5168,-959,13714.0
5,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2025-01-21,94157,108830,    2723,  -12015,211620,  -12332,-14673,14738.0
6,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2025-01-14,91434,120845,     228,    9450,223952,   11496,-29411,-9222.0
7,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2025-01-07,91206,111395,   -4913,    6833,212456,    5485,-20189,-11746.0
8,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-12-31,96119,104562,     161,   10915,206971,    6251,-8443,-10754.0
9,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-12-24,95958,93647,    8750,   12400,200720,   19047,2311,-3650.0
10,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-12-17,87208,81247,  -10730,    9061,181673,  -93161,5961,-19791.0
11,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-12-10,97938,72186,    4316,  -19102,274834,   17985,25752,23418.0
12,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-12-03,93622,91288,    6025,  -18942,256849,    3283,2334,24967.0
13,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-11-26,87597,110230,    8624,  -15611,253566,    -521,-22633,24235.0
14,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-11-19,78973,125841,   14935,   -3099,254087,   -3601,-46868,18034.0
15,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-11-12,64038,128940,    3704,   24439,257688,   21926,-64902,-20735.0
16,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-11-05,60334,104501,   -4591,   14759,235762,    9868,-44167,-19350.0
17,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-10-29,64925,89742,  -14439,   23149,225894,   18556,-24817,-37588.0
18,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-10-22,79364,66593,   -7321,   14018,207338,    9467,12771,-21339.0
19,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-10-15,86685,52575,    3006,    5424,197871,    1186,34110,-2418.0
20,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-10-08,83679,47151,  -11834,    8410,196685,     485,36528,-20244.0
21,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-10-01,95513,38741,   -9177,      62,196200,  -11502,56772,-9239.0
22,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-09-24,104690,38679,    7358,   -1813,207702,    8239,66011,9171.0
23,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-09-17,97332,40492,   -1562,   -2632,199463, -177051,56840,1070.0
24,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-09-10,98894,43124,    7103,   -7551,376514,   49719,55770,14654.0
25,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-09-03,91791,50675,    7486,   -7762,326795,    8536,41116,15248.0
26,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-08-27,84305,58437,   -4456,   -6739,318259,    2062,25868,2283.0
27,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-08-20,88761,65176,    1660,    1179,316197,     859,23585,481.0
28,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-08-13,87101,63997,   20932,  -13526,315338,   16401,23104,34458.0
29,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-08-06,66169,77523,    1153,  -60953,298937,   -4214,-11354,62106.0
30,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-07-30,65016,138476,     626,  -33022,303151,   -4032,-73460,33648.0
31,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-07-23,64390,171498,   17034,  -26930,307183,     -22,-107108,43964.0
32,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-07-16,47356,198428,    5835,  -25126,307205,  -41749,-151072,30961.0
33,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-07-09,41521,223554,    4807,    2617,348954,    -863,-182033,2190.0
34,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-07-02,36714,220937,    2138,   12461,349817,    9580,-184223,-10323.0
35,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-06-25,34576,208476,    5147,   31294,340237,   43120,-173900,-26147.0
36,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-06-18,29429,177182,   -1334,    7840,297117,  -22157,-147753,-9174.0
37,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-06-11,30763,169342,   -9664,   -3186,319274,   16265,-138579,-6478.0
38,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-06-04,40427,172528,   11862,  -12076,303009,  -22222,-132101,23938.0
39,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-05-28,28565,184604,   -1049,   10623,325231,   23916,-156039,-11672.0
40,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-05-21,29614,173981,   -5689,   12496,301315,    3709,-144367,-18185.0
41,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-05-14,35303,161485,     313,   -8427,297606,   -2253,-126182,8740.0
42,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-05-07,34990,169912,   -5445,  -38911,299859,  -34989,-134922,33466.0
43,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-04-30,40435,208823,   -1991,  -13522,334848,   -1319,-168388,11531.0
44,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-04-23,42426,222345,   -7037,    7263,336167,    5057,-179919,-14300.0
45,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-04-16,49463,215082,    2188,    5656,331110,    6631,-165619,-3468.0
46,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-04-09,47275,209426,   -7915,   11006,324479,    7670,-162151,-18921.0
47,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-04-02,55190,198420,   -4779,    9345,316809,   11108,-143230,-14124.0
48,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-03-26,59969,189075,   -6305,    6789,305701,    3201,-129106,-13094.0
49,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-03-19,66274,182286,   11351,   25041,302500,  -23175,-116012,-13690.0
50,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-03-12,54923,157245,     252,  -16269,325675,   11089,-102322,16521.0
51,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-03-05,54671,173514,    3410,  -10452,314586,    4953,-118843,13862.0
52,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-02-27,51261,183966,   -2601,    9326,309633,    4195,-132705,-11927.0
53,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-02-20,53862,174640,   -4692,    4550,305438,     846,-120778,-9242.0
54,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-02-13,58554,170090,    2908,   30214,304592,   45050,-111536,-27306.0
55,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-02-06,55646,139876,   10728,   14503,259542,   17513,-84230,-3775.0
