,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Open Interest (All),Change in Open Interest (All),Net Positions,Change Net Positions
0,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2025-02-04,61459,49197,14858,7820,145368,7047,12262,7038.0
1,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2025-01-28,46601,41377,-1384,-8152,138321,-3403,5224,6768.0
2,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2025-01-21,47985,49529,-9203,-1662,141724,-1136,-1544,-7541.0
3,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2025-01-14,57188,51191,-2951,3443,142860,3709,5997,-6394.0
4,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2025-01-07,60139,47748,-8319,-39,139151,3505,12391,-8280.0
5,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-12-31,68458,47787,5290,3462,135646,2845,20671,1828.0
6,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-12-24,63168,44325,7639,3410,132801,5880,18843,4229.0
7,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-12-17,55529,40915,-6114,-12800,126921,-33780,14614,6686.0
8,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-12-10,61643,53715,6529,2785,160701,13847,7928,3744.0
9,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-12-03,55114,50930,-1288,-2014,146854,4454,4184,726.0
10,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-11-26,56402,52944,-4240,6316,142400,3140,3458,-10556.0
11,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-11-19,60642,46628,-12627,-6448,139260,-8530,14014,-6179.0
12,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-11-12,73269,53076,7768,18670,147790,4049,20193,-10902.0
13,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-11-05,65501,34406,-5626,-1676,143741,-3799,31095,-3950.0
14,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-10-29,71127,36082,9824,-1324,147540,8238,35045,11148.0
15,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-10-22,61303,37406,544,1893,139302,115,23897,-1349.0
16,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-10-15,60759,35513,5432,9379,139187,3366,25246,-3947.0
17,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-10-08,55327,26134,-6160,-9054,135821,-5801,29193,2894.0
18,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-10-01,61487,35188,10007,-3866,141622,6675,26299,13873.0
19,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-09-24,51480,39054,2994,-1709,134947,4303,12426,4703.0
20,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-09-17,48486,40763,-14128,5175,130644,-59489,7723,-19303.0
21,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-09-10,62614,35588,-489,2964,190133,19133,27026,-3453.0
22,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-09-03,63103,32624,-3566,-3325,171000,769,30479,-241.0
23,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-08-27,66669,35949,-76,3850,170231,-4299,30720,-3926.0
24,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-08-20,66745,32099,-15443,5,174530,-10399,34646,-15448.0
25,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-08-13,82188,32094,-14728,514,184929,-5548,50094,-15242.0
26,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-08-06,96916,31580,-2227,97,190477,-5810,65336,-2324.0
27,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-07-30,99143,31483,-1412,245,196287,-2404,67660,-1657.0
28,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-07-23,100555,31238,2060,-5547,198691,1111,69317,7607.0
29,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-07-16,98495,36785,2747,4360,197580,8286,61710,-1613.0
30,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-07-09,95748,32425,-611,-307,189294,970,63323,-304.0
31,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-07-02,96359,32732,12045,6224,188324,16153,63627,5821.0
32,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-06-25,84314,26508,12575,5023,172171,7770,57806,7552.0
33,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-06-18,71739,21485,-73865,-5126,164401,-110816,50254,-68739.0
34,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-06-11,145604,26611,-8339,-2661,275217,10429,118993,-5678.0
35,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-06-04,153943,29272,2475,-1277,264788,-3321,124671,3752.0
36,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-05-28,151468,30549,-1738,-4765,268109,-1586,120919,3027.0
37,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-05-21,153206,35314,8899,3968,269695,11630,117892,4931.0
38,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-05-14,144307,31346,6743,6094,258065,11217,112961,649.0
39,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-05-07,137564,25252,-7115,-382,246848,-2278,112312,-6733.0
40,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-04-30,144679,25634,-7392,-2782,249126,-5856,119045,-4610.0
41,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-04-23,152071,28416,-20502,-16426,254982,-31353,123655,-4076.0
42,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-04-16,172573,44842,-17307,-5347,286335,-23236,127731,-11960.0
43,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-04-09,189880,50189,-1805,-7766,309571,-4946,139691,5961.0
44,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-04-02,191685,57955,7324,5662,314517,7515,133730,1662.0
45,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-03-26,184361,52293,1179,-2219,307002,3800,132068,3398.0
46,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-03-19,183182,54512,3042,-21336,303202,-26844,128670,24378.0
47,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-03-12,180140,75848,8269,10563,330046,35376,104292,-2294.0
48,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-03-05,171871,65285,25753,12981,294670,38615,106586,12772.0
49,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-02-27,146118,52304,4590,6771,256055,1569,93814,-2181.0
50,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-02-20,141528,45533,-5648,-1199,254486,-10771,95995,-4449.0
51,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-02-13,147176,46732,3606,-10009,265257,4045,100444,13615.0
52,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-02-06,143570,56741,10762,4326,261212,11137,86829,6436.0
53,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-01-30,132808,52415,5329,35,250075,16,80393,5294.0
54,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-01-23,127479,52380,-6212,291,250059,-13414,75099,-6503.0
55,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-01-16,133691,52089,-9745,-2908,263473,-7764,81602,-6837.0
56,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-01-09,143436,54997,2429,3088,271237,2610,88439,-659.0
57,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-01-02,141007,51909,9151,7802,268627,15410,89098,1349.0
58,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-12-26,131856,44107,5248,1500,253217,7409,87749,3748.0
59,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-12-19,126608,42607,12212,2336,245808,-23266,84001,9876.0
60,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-12-12,114396,40271,5475,4806,269074,12021,74125,669.0
61,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-12-05,108921,35465,3083,-4888,257053,9550,73456,7971.0
62,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-11-28,105838,40353,17364,10810,247503,21531,65485,6554.0
63,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-11-21,88474,29543,9312,-6237,225972,-2837,58931,15549.0
64,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-11-14,79162,35780,7518,876,228809,12275,43382,6642.0
65,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-11-07,71644,34904,14174,8731,216534,17456,36740,5443.0
66,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-10-31,57470,26173,3024,9588,199078,4548,31297,-6564.0
67,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-10-24,54446,16585,-8905,-2461,194530,-2507,37861,-6444.0
68,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-10-17,63351,19046,-7174,754,197037,-4960,44305,-7928.0
69,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-10-10,70525,18292,-20323,-8042,201997,-10542,52233,-12281.0
70,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-10-03,90848,26334,-1884,-5765,212539,-4367,64514,3881.0
71,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-09-26,92732,32099,-2575,442,216906,-3801,60633,-3017.0
72,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-09-19,95307,31657,2285,5506,220707,-15013,63650,-3221.0
73,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-09-12,93022,26151,-7276,-6626,235720,-10341,66871,-650.0
74,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-09-05,100298,32777,-9777,-3435,246061,7294,67521,-6342.0
75,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-08-29,110075,36212,7057,6853,238767,9966,73863,204.0
76,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-08-22,103018,29359,-6322,2042,228801,-183,73659,-8364.0
77,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-08-15,109340,27317,-668,960,228984,1239,82023,-1628.0
78,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-08-08,110008,26357,-9643,-4746,227745,-8701,83651,-4897.0
79,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-08-01,119651,31103,1919,1212,236446,2897,88548,707.0
