,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Open Interest (All),Change in Open Interest (All),Net Positions,Change Net Positions
1217,SILVER - COMMODITY EXCHANGE INC.,2025-02-04,83120,32759,    8464,    2471,170726,    5591,50361,5993.0
1218,SILVER - COMMODITY EXCHANGE INC.,2025-01-28,74656,30288,   -1004,    2108,165135,    5236,44368,-3112.0
1219,SILVER - COMMODITY EXCHANGE INC.,2025-01-21,75660,28180,    4149,    2749,159899,    9535,47480,1400.0
1220,SILVER - COMMODITY EXCHANGE INC.,2025-01-14,71511,25431,    2619,   -2513,150364,   -1226,46080,5132.0
1221,SILVER - COMMODITY EXCHANGE INC.,2025-01-07,68892,27944,    1885,   -1174,151590,     577,40948,3059.0
0,SILVER - COMMODITY EXCHANGE INC.,2024-12-31,67007,29118,    -844,    1430,151013,    5395,37889,-2274.0
1,SILVER - COMMODITY EXCHANGE INC.,2024-12-24,67851,27688,    -332,    -231,145618,   -1320,40163,-101.0
2,SILVER - COMMODITY EXCHANGE INC.,2024-12-17,68183,27919,   -4332,   -3431,146938,   -4158,40264,-901.0
3,SILVER - COMMODITY EXCHANGE INC.,2024-12-10,72515,31350,    8230,   10325,151096,   17022,41165,-2095.0
4,SILVER - COMMODITY EXCHANGE INC.,2024-12-03,64285,21025,    1209,     732,134074,    -516,43260,477.0
5,SILVER - COMMODITY EXCHANGE INC.,2024-11-26,63076,20293,   -2863,     677,134590,   -6697,42783,-3540.0
6,SILVER - COMMODITY EXCHANGE INC.,2024-11-19,65939,19616,   -3012,   -1693,141287,   -6239,46323,-1319.0
7,SILVER - COMMODITY EXCHANGE INC.,2024-11-12,68951,21309,   -5029,     675,147526,   -3600,47642,-5704.0
8,SILVER - COMMODITY EXCHANGE INC.,2024-11-05,73980,20634,   -5669,    1416,151126,   -5194,53346,-7085.0
9,SILVER - COMMODITY EXCHANGE INC.,2024-10-29,79649,19218,   -2490,    3434,156320,    -944,60431,-5924.0
10,SILVER - COMMODITY EXCHANGE INC.,2024-10-22,82139,15784,   12115,    -208,157264,   15366,66355,12323.0
11,SILVER - COMMODITY EXCHANGE INC.,2024-10-15,70024,15992,   -2089,   -1406,141898,    -941,54032,-683.0
12,SILVER - COMMODITY EXCHANGE INC.,2024-10-08,72113,17398,   -3475,   -1266,142839,   -1918,54715,-2209.0
13,SILVER - COMMODITY EXCHANGE INC.,2024-10-01,75588,18664,   -5441,    -167,144757,   -5314,56924,-5274.0
14,SILVER - COMMODITY EXCHANGE INC.,2024-09-24,81029,18831,    6051,    2151,150071,    9466,62198,3900.0
15,SILVER - COMMODITY EXCHANGE INC.,2024-09-17,74978,16680,   13329,    -227,140605,   11646,58298,13556.0
16,SILVER - COMMODITY EXCHANGE INC.,2024-09-10,61649,16907,   -2450,   -1133,128959,   -1969,44742,-1317.0
17,SILVER - COMMODITY EXCHANGE INC.,2024-09-03,64099,18040,   -1616,    4511,130928,  -10685,46059,-6127.0
18,SILVER - COMMODITY EXCHANGE INC.,2024-08-27,65715,13529,    1785,   -1077,141613,   -5373,52186,2862.0
19,SILVER - COMMODITY EXCHANGE INC.,2024-08-20,63930,14606,    2472,   -1563,146986,    -873,49324,4035.0
20,SILVER - COMMODITY EXCHANGE INC.,2024-08-13,61458,16169,   -3116,     676,147859,     322,45289,-3792.0
21,SILVER - COMMODITY EXCHANGE INC.,2024-08-06,64574,15493,   -2842,   -2862,147537,   -3900,49081,20.0
22,SILVER - COMMODITY EXCHANGE INC.,2024-07-30,67416,18355,   -8057,   -5738,151437,   -5669,49061,-2319.0
23,SILVER - COMMODITY EXCHANGE INC.,2024-07-23,75473,24093,   -9532,    -747,157106,   -9535,51380,-8785.0
24,SILVER - COMMODITY EXCHANGE INC.,2024-07-16,85005,24840,     654,    1545,166641,    3396,60165,-891.0
25,SILVER - COMMODITY EXCHANGE INC.,2024-07-09,84351,23295,    4580,    -642,163245,    8521,61056,5222.0
26,SILVER - COMMODITY EXCHANGE INC.,2024-07-02,79771,23937,   -1595,   -1451,154724,  -11746,55834,-144.0
27,SILVER - COMMODITY EXCHANGE INC.,2024-06-25,81366,25388,    -493,   -4570,166470,  -10135,55978,4077.0
28,SILVER - COMMODITY EXCHANGE INC.,2024-06-18,81859,29958,   -2334,   -2543,176605,     569,51901,209.0
29,SILVER - COMMODITY EXCHANGE INC.,2024-06-11,84193,32501,   -4411,     300,176036,   -3818,51692,-4711.0
30,SILVER - COMMODITY EXCHANGE INC.,2024-06-04,88604,32201,   -3126,   -2346,179854,   -4992,56403,-780.0
31,SILVER - COMMODITY EXCHANGE INC.,2024-05-28,91730,34547,   -2411,      50,184846,   -2099,57183,-2461.0
32,SILVER - COMMODITY EXCHANGE INC.,2024-05-21,94141,34497,    6205,    6022,186945,   15574,59644,183.0
33,SILVER - COMMODITY EXCHANGE INC.,2024-05-14,87936,28475,    6286,     477,171371,    9503,59461,5809.0
34,SILVER - COMMODITY EXCHANGE INC.,2024-05-07,81650,27998,   -1444,    -602,161868,   -4447,53652,-842.0
35,SILVER - COMMODITY EXCHANGE INC.,2024-04-30,83094,28600,   -3084,    1762,166315,   -9425,54494,-4846.0
