,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Open Interest (All),Change in Open Interest (All),Net Positions,Change Net Positions
0,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2025-02-04,5242,47500,     246,    -496,97931,     667,-42258,742.0
1,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2025-01-28,4996,47996,   -1530,    -367,97264,     908,-43000,-1163.0
2,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2025-01-21,6526,48363,   -1031,    2105,96356,    2311,-41837,-3136.0
3,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2025-01-14,7557,46258,    -311,     502,94045,    2801,-38701,-813.0
4,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2025-01-07,7868,45756,   -2639,    2436,91244,    2115,-37888,-5075.0
5,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2024-12-31,10507,43320,   -2011,    2420,89129,    3175,-32813,-4431.0
6,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2024-12-24,12518,40900,   -4354,    2228,85954,     323,-28382,-6582.0
7,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2024-12-17,16872,38672,   12076,   -1116,85631,  -23748,-21800,13192.0
8,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2024-12-10,4796,39788,     -78,   -6180,109379,   24132,-34992,6102.0
9,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2024-12-03,4874,45968,     416,    1834,85247,   -1253,-41094,-1418.0
10,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2024-11-26,4458,44134,     422,    3027,86500,    3810,-39676,-2605.0
11,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2024-11-19,4036,41107,   -1329,    3048,82690,    4310,-37071,-4377.0
12,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2024-11-12,5365,38059,   -2742,     -29,78380,    2469,-32694,-2713.0
13,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2024-11-05,8107,38088,    1015,   -3002,75911,   -3062,-29981,4017.0
14,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2024-10-29,7092,41090,    1303,    2647,78973,    6254,-33998,-1344.0
15,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2024-10-22,5789,38443,   -1045,    5448,72719,    6565,-32654,-6493.0
16,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2024-10-15,6834,32995,    -785,    2917,66154,    2332,-26161,-3702.0
17,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2024-10-08,7619,30078,    1069,     674,63822,    1682,-22459,395.0
18,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2024-10-01,6550,29404,    -951,    2613,62140,    1452,-22854,-3564.0
19,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2024-09-24,7501,26791,   -1078,    1104,60688,    2134,-19290,-2182.0
20,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2024-09-17,8579,25687,     497,   -3699,58554,  -21885,-17108,4196.0
21,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2024-09-10,8082,29386,    -740,   -1318,80439,   13318,-21304,578.0
22,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2024-09-03,8822,30704,   -1051,   -3781,67121,   -1647,-21882,2730.0
23,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2024-08-27,9873,34485,    2273,    1171,68768,    1664,-24612,1102.0
24,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2024-08-20,7600,33314,   -1555,    2495,67104,    1353,-25714,-4050.0
25,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2024-08-13,9155,30819,    -415,    -824,65751,   -2752,-21664,409.0
26,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2024-08-06,9570,31643,    2056,  -10391,68503,  -16972,-22073,12447.0
27,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2024-07-30,7514,42034,    1895,   -5822,85475,   -7158,-34520,7717.0
28,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2024-07-23,5619,47856,    -872,   -8428,92633,   -6038,-42237,7556.0
29,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2024-07-16,6491,56284,    1153,    4858,98671,    5238,-49793,-3705.0
30,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2024-07-09,5338,51426,    -841,    1804,93433,    1147,-46088,-2645.0
31,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2024-07-02,6179,49622,    -327,    8059,92286,    8082,-43443,-8386.0
