,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Open Interest (All),Change in Open Interest (All),Net Positions,Change Net Positions
0,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2025-02-04,25203,10664,    -169,    -508,39705,   -1286,14539,339.0
1,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2025-01-28,25372,11172,   -3439,   -2767,40991,   -4723,14200,-672.0
2,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2025-01-21,28811,13939,    -701,   -2844,45714,     -44,14872,2143.0
3,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2025-01-14,29512,16783,    1554,   -2530,45758,     884,12729,4084.0
4,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2025-01-07,27958,19313,    1360,    -408,44874,    1898,8645,1768.0
5,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2024-12-31,26598,19721,   -1941,   -2326,42976,   -1496,6877,385.0
6,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2024-12-24,28539,22047,    3394,    2543,44472,    3191,6492,851.0
7,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2024-12-17,25145,19504,    2262,   -6603,41281,     456,5641,8865.0
8,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2024-12-10,22883,26107,     980,    1150,40825,    3315,-3224,-170.0
9,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2024-12-03,21903,24957,   -1057,    -802,37510,    -287,-3054,-255.0
10,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2024-11-26,22960,25759,     347,     433,37797,     477,-2799,-86.0
11,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2024-11-19,22613,25326,    -345,      56,37320,     445,-2713,-401.0
12,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2024-11-12,22958,25270,    2626,    5033,36875,    6050,-2312,-2407.0
13,U.S. DOLLAR INDEX - ICE FUTURES U.S.,2024-11-05,20332,20237,   -1493,      96,30825,   -1711,95,-1589.0
