As of Date in Form YYYY-MM-DD,Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Open Interest (All),Net Positions,Interpretation
2026-04-07,137959,67146,   -3816,    6877,264658,70813,Bearish
2026-03-31,141775,60269,    9146,   -1488,263962,81506,Bullish
2026-03-24,132629,61757,   -3445,   -5256,257694,70872,Bullish Reversal
2026-03-17,136074,67013,   14680,    -184,265675,69061,Bullish Reversal
2026-03-10,121394,67197,  -15121,   -1556,315898,54197,Bearish
2026-03-03,136515,68753,   14854,    -264,267280,67762,Bullish
2026-02-24,121661,69017,    3841,   -2872,248697,52644,Bullish Reversal
2026-02-17,117820,71889,    5054,   -7668,256213,45931,Bullish
2026-02-10,112766,79557,   -5985,  -13076,247194,33209,Bullish Reversal
2026-02-03,118751,92633,    8945,  -10027,254240,26118,Bullish
2026-01-27,109806,102660,   24047,    2890,252055,7146,Bullish
2026-01-20,85759,99770,    1804,   -3031,230657,-14011,Bullish
2026-01-13,83955,102801,    3464,    3350,229456,-18846,Bullish Reversal
2026-01-06,80491,99451,    2994,     738,230926,-18960,Bullish
2025-12-30,77497,98713,    6840,    6458,223804,-21216,Bullish
2025-12-23,70657,92255,    3017,    2720,217163,-21598,Bullish Reversal
2025-12-16,67640,89535,   10071,  -30981,293796,-21895,Bullish Reversal
2025-12-09,57569,120516,   11701,   -8745,296662,-62947,Bullish
2025-12-02,45868,129261,    1950,    1167,202574,-83393,Bullish
2025-11-25,43918,128094,   -1803,    6517,192678,-84176,Bearish
2025-11-18,45721,121577,    2607,    -164,179341,-75856,Bullish Reversal
2025-11-10,43114,121741,   -7246,    -195,179467,-78627,Bearish Reversal
2025-11-04,50360,121936,    8645,    6287,180801,-71576,Bullish
2025-10-28,41715,115649,  -10079,   -1909,173436,-73934,Bearish Reversal
2025-10-21,51794,117558,    1470,    7656,173878,-65764,Bearish
2025-10-14,50324,109902,    2607,    4380,170002,-59578,Bearish Reversal
2025-10-07,47717,105522,    6004,    -797,170970,-57805,Bullish
2025-09-30,41713,106319,    -281,    4735,167976,-64606,Bearish
