As of Date in Form YYYY-MM-DD,Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Open Interest (All),Net Positions,Interpretation
2026-07-14,15899,12808,    -174,     235,19385,3091,Bearish
2026-07-07,16073,12573,    -422,    -152,18832,3500,Bearish
2026-06-30,16495,12725,     147,     -99,18336,3770,Bullish Reversal
2026-06-23,16348,12824,   -1379,   -1428,20554,3524,Bullish Reversal
2026-06-16,17727,14252,     549,      92,21125,3475,Bullish
2026-06-09,17178,14160,     -32,    -592,19776,3018,Bullish Reversal
2026-06-02,17210,14752,      64,    -112,19882,2458,Bullish Reversal
2026-05-26,17146,14864,    -645,    -815,21625,2282,Bullish Reversal
2026-05-19,17791,15679,    -363,   -1216,23000,2112,Bullish Reversal
2026-05-12,18154,16895,   -1147,    -965,23535,1259,Bearish
2026-05-05,19301,17860,    1870,    2821,23402,1441,Bearish
2026-04-28,17431,15039,     334,      13,21692,2392,Bullish Reversal
2026-04-21,17097,15026,    -402,    -280,24994,2071,Bearish
2026-04-14,17499,15306,    1357,    1704,23761,2193,Bearish
2026-04-07,16142,13602,    1228,     941,22308,2540,Bullish
2026-03-31,14914,12661,    -947,   -1094,20631,2253,Bullish Reversal
2026-03-24,15861,13755,    -880,   -1213,23268,2106,Bullish Reversal
2026-03-17,16741,14968,     880,     409,23807,1773,Bullish
2026-03-10,15861,14559,     276,     -15,21047,1302,Bullish
2026-03-03,15585,14574,    -825,    -664,20302,1011,Bearish Reversal
2026-02-24,16410,15238,    -183,     283,22919,1172,Bearish Reversal
2026-02-17,16593,14955,    -423,   -1044,23335,1638,Bullish Reversal
2026-02-10,17016,15999,   -1923,   -1932,24157,1017,Bullish
2026-02-03,18939,17931,     885,     567,23044,1008,Bullish Reversal
2026-01-27,18054,17364,   -1787,   -2179,24276,690,Bullish Reversal
2026-01-20,19841,19543,     723,     494,24541,298,Bullish
2026-01-13,19118,19049,    1114,     311,23843,69,Bullish
2026-01-06,18004,18738,    1593,    1814,22168,-734,Bearish
2025-12-30,16411,16924,    -952,    -918,20166,-513,Bearish Reversal
2025-12-23,17363,17842,   -2003,   -1418,21988,-479,Bearish Reversal
2025-12-16,19366,19260,   -1044,    -885,24502,106,Bearish Reversal
2025-12-09,20410,20145,     173,     475,24793,265,Bearish
2025-12-02,20237,19670,    -963,   -1613,24329,567,Bullish Reversal
2025-11-25,21200,21283,   -1567,   -1796,26260,-83,Bullish Reversal
2025-11-18,22767,23079,    -276,     164,27116,-312,Bearish Reversal
2025-11-10,23043,22915,     531,     128,27544,128,Bullish
2025-11-04,22512,22787,    -465,    -733,27093,-275,Bullish Reversal
2025-10-28,22977,23520,    -449,    -235,28717,-543,Bearish
2025-10-21,23426,23755,    -466,    -589,28477,-329,Bullish Reversal
2025-10-14,23892,24344,     364,    -292,28503,-452,Bullish Reversal
2025-10-07,23528,24636,     879,    1879,29001,-1108,Bearish
2025-09-30,22649,22757,    -491,    -304,26874,-108,Bearish Reversal
2025-09-23,23140,23061,    -648,    -707,27809,79,Bullish Reversal
2025-09-16,23788,23768,     713,     225,28844,20,Bullish
2025-09-09,23075,23543,     623,     189,26930,-468,Bullish
2025-09-02,22452,23354,    -341,     189,26684,-902,Bearish Reversal
2025-08-26,22793,23165,    -271,   -1099,27481,-372,Bullish Reversal
2025-08-19,23064,24264,    -374,      84,28971,-1200,Bearish
2025-08-12,23438,24180,     399,    -360,27851,-742,Bullish
2025-08-05,23039,24540,    -812,    -319,27561,-1501,Bearish Reversal
2025-07-29,23851,24859,    -596,   -1440,28068,-1008,Bullish Reversal
2025-07-22,24447,26299,     165,    -469,30797,-1852,Bullish Reversal
2025-07-15,24282,26768,     268,     318,31309,-2486,Bearish
2025-07-08,24014,26450,    -172,     508,29591,-2436,Bearish
2025-07-01,24186,25942,     -46,    -451,29388,-1756,Bullish Reversal
2025-06-24,24232,26393,    -132,     245,31352,-2161,Bearish
2025-06-17,24364,26148,    -417,    -642,30860,-1784,Bullish
2025-06-10,24781,26790,     697,     394,30261,-2009,Bullish
2025-06-03,24084,26396,    -462,    -424,29758,-2312,Bearish Reversal
2025-05-27,24546,26820,     404,     726,31964,-2274,Bearish Reversal
2025-05-20,24142,26094,     689,    1814,32033,-1952,Bearish
2025-05-13,23453,24280,     517,    -437,29070,-827,Bullish
2025-05-06,22936,24717,     581,    1131,27971,-1781,Bearish
2025-04-29,22355,23586,    -703,    -278,26966,-1231,Bearish Reversal
2025-04-22,23058,23864,    2411,    3803,28202,-806,Bearish
2025-04-15,20647,20061,   -1741,    -995,27126,586,Bearish
2025-04-08,22388,21056,    -985,   -1826,26909,1332,Bullish Reversal
2025-04-01,23373,22882,   -1003,    -315,27069,491,Bearish Reversal
2025-03-25,24376,23197,    -865,    -203,29036,1179,Bearish Reversal
2025-03-18,25241,23400,     756,     444,30213,1841,Bullish
2025-03-11,24485,22956,      16,    -899,28545,1529,Bullish
2025-03-04,24469,23855,   -1268,   -1678,28209,614,Bullish Reversal
2025-02-25,25737,25533,   -1630,   -2201,32060,204,Bullish Reversal
2025-02-18,27367,27734,     565,     565,33833,-367,No signal
2025-02-11,26802,27169,    -768,     385,32949,-367,Bearish
2025-02-04,27570,26784,   -1023,    -644,32892,786,Bearish Reversal
2025-01-28,28593,27428,    -528,    -954,34317,1165,Bullish Reversal
2025-01-21,29121,28382,     155,     751,38556,739,Bearish
2025-01-14,28966,27631,     -80,    -225,35471,1335,Bullish
2025-01-07,29046,27856,    1218,    -291,35079,1190,Bullish
2024-12-31,27828,28147,   -2386,   -2196,33893,-319,Bearish Reversal
2024-12-24,30214,30343,   -2859,   -2559,37125,-129,Bearish Reversal
2024-12-17,33073,32902,    1905,    1014,42524,171,Bullish
2024-12-10,31168,31888,     543,    -332,37588,-720,Bullish
2024-12-03,30625,32220,     285,     684,37021,-1595,Bearish Reversal
2024-11-26,30340,31536,    -812,   -1700,40510,-1196,Bullish Reversal
2024-11-19,31152,33236,     265,     551,41203,-2084,Bearish
2024-11-12,30887,32685,    4584,    4925,38531,-1798,Bearish
2024-11-05,26303,27760,   -1853,   -2265,32011,-1457,Bullish Reversal
2024-10-29,28156,30025,    1290,    1514,33787,-1869,Bearish
2024-10-22,26866,28511,     108,    -119,33562,-1645,Bullish Reversal
2024-10-15,26758,28630,    2525,    3115,34494,-1872,Bearish
2024-10-08,24233,25515,     827,     425,29382,-1282,Bullish
2024-10-01,23406,25090,    -450,    -312,28539,-1684,Bearish Reversal
2024-09-24,23856,25402,     -10,     563,30542,-1546,Bearish Reversal
2024-09-17,23866,24839,     897,    1517,30995,-973,Bearish
2024-09-10,22969,23322,    -380,      81,28157,-353,Bearish
2024-09-03,23349,23241,   -1756,   -2030,26859,108,Bullish Reversal
2024-08-27,25105,25271,    1089,    1012,29817,-166,Bullish
2024-08-20,24016,24259,    -105,     533,29630,-243,Bearish
2024-08-13,24121,23726,     167,     310,27874,395,Bearish
2024-08-06,23954,23416,    -206,   -1746,27535,538,Bullish Reversal
2024-07-30,24160,25162,    -361,     -20,28605,-1002,Bearish Reversal
2024-07-23,24521,25182,    -189,    -107,32435,-661,Bearish
2024-07-16,24710,25289,    1627,    2088,31183,-579,Bearish
2024-07-09,23083,23201,    1813,    1019,28241,-118,Bullish
2024-07-02,21270,22182,    -833,    -545,27063,-912,Bearish Reversal
2024-06-25,22103,22727,    -731,    -830,30171,-624,Bullish Reversal
2024-06-18,22834,23557,    -167,    -582,30627,-723,Bullish
2024-06-11,23001,24139,   -1469,   -1450,30503,-1138,Bearish Reversal
2024-06-04,24470,25589,    1709,    2072,31086,-1119,Bearish
2024-05-28,22761,23517,    -437,    -571,30255,-756,Bullish Reversal
2024-05-21,23198,24088,    2120,    2833,30694,-890,Bearish
2024-05-14,21078,21255,     308,    -298,27077,-177,Bullish
2024-05-07,20770,21553,    1201,    1990,26155,-783,Bearish
2024-04-30,19569,19563,   -2865,   -2871,24795,6,Bullish Reversal
2024-04-23,22434,22434,      95,    -268,27932,0,Bullish Reversal
2024-04-16,22339,22702,   -1233,   -1023,29526,-363,Bearish
2024-04-09,23572,23725,    -739,    -426,29074,-153,Bearish Reversal
2024-04-02,24311,24151,    -906,   -2141,29745,160,Bullish Reversal
