As of Date in Form YYYY-MM-DD,Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Open Interest (All),Net Positions,Interpretation
2026-04-07,60714,116362,    4293,   27257,240735,-55648,Bearish
2026-03-31,56421,89105,   -5961,   25121,217085,-32684,Bearish
2026-03-24,62382,63984,   -4125,   -1637,182798,-1602,Bearish Reversal
2026-03-17,66507,65621,  -27392,    7881,247753,886,Bearish Reversal
2026-03-10,93899,57740,    -109,  -15218,288392,36159,Bullish
2026-03-03,94008,72958,    1196,    7724,232433,21050,Bearish
2026-02-24,92812,65234,    3211,    1459,222562,27578,Bullish
2026-02-17,89601,63775,    5047,   -7503,218415,25826,Bullish
2026-02-10,84554,71278,    7157,   -3989,215037,13276,Bullish Reversal
2026-02-03,77397,75267,     228,  -17948,216252,2130,Bullish Reversal
2026-01-27,77169,93215,   17713,   -8026,227204,-16046,Bullish
2026-01-20,59456,101241,   -3249,   -3714,213597,-41785,Bullish Reversal
2026-01-13,62705,104955,    5774,    7439,219263,-42250,Bearish
2026-01-06,56931,97516,    4144,    4218,218740,-40585,Bearish
2025-12-30,52787,93298,   11048,   -4234,211171,-40511,Bullish
2025-12-23,41739,97532,   16086,  -14761,197138,-55793,Bullish Reversal
2025-12-16,25653,112293,    9859,  -34101,244427,-86640,Bullish Reversal
2025-12-09,15794,146394,   -3253,  -22700,251868,-130600,Bullish Reversal
2025-12-02,19047,169094,   -2391,   -2758,274997,-150047,Bullish Reversal
2025-11-25,21438,171852,   -2814,   -1499,280112,-150414,Bearish
2025-11-18,24252,173351,    1101,   -7435,278400,-149099,Bullish Reversal
2025-11-10,23151,180786,   -4035,   -5912,289605,-157635,Bullish Reversal
2025-11-04,27186,186698,   -1180,    8288,292964,-159512,Bearish
2025-10-28,28366,178410,     268,    5204,278750,-150044,Bearish
2025-10-21,28098,173206,     936,    8451,272419,-145108,Bearish
2025-10-14,27162,164755,   -2352,   -1477,269924,-137593,Bearish
2025-10-07,29514,166232,    -406,   16407,261636,-136718,Bearish
2025-09-30,29920,149825,   11885,   16984,240191,-119905,Bearish
2025-09-23,18035,132841,   -2940,    4689,212186,-114806,Bearish Reversal
2025-09-16,20975,128152,    2271,     531,266847,-107177,Bullish
2025-09-09,18704,127621,    2120,    2061,249304,-108917,Bullish
2025-09-02,16584,125560,   -3813,     148,225322,-108976,Bearish Reversal
2025-08-26,20397,125412,    1369,   13305,227180,-105015,Bearish
2025-08-19,19028,112107,   -1870,    1132,220859,-93079,Bearish Reversal
2025-08-12,20898,110975,   -2691,    7966,221109,-90077,Bearish
2025-08-05,23589,103009,    2705,    5692,214849,-79420,Bearish
2025-07-29,20884,97317,   -2202,    3888,201852,-76433,Bearish
2025-07-22,23086,93429,    1162,   -2589,200895,-70343,Bullish Reversal
2025-07-15,21924,96018,    1580,    4066,202720,-74094,Bearish
2025-07-08,20344,91952,   -1805,    6351,201326,-71608,Bearish Reversal
2025-07-01,22149,85601,   -3118,    7167,203485,-63452,Bearish
2025-06-24,25267,78434,   -2887,  -16053,201194,-53167,Bullish Reversal
2025-06-17,28154,94487,    8503,  -18307,294801,-66333,Bullish
2025-06-10,19651,112794,     984,  -14319,288477,-93143,Bullish
2025-06-03,18667,127113,   -1751,    2797,270041,-108446,Bearish
2025-05-27,20418,124316,   -2211,   -2174,263232,-103898,Bearish Reversal
2025-05-20,22629,126490,    -621,   21084,266748,-103861,Bearish
2025-05-13,23250,105406,    6573,   18084,262803,-82156,Bearish
2025-05-06,16677,87322,     631,    4071,255101,-70645,Bearish
2025-04-29,16046,83251,   -2311,   -2273,249257,-67205,Bearish Reversal
2025-04-22,18357,85524,      92,  -16601,249643,-67167,Bullish
2025-04-15,18265,102125,    2236,  -33145,249484,-83860,Bullish Reversal
2025-04-08,16029,135270,   -1577,  -12352,258263,-119241,Bullish Reversal
2025-04-01,17606,147622,    -342,     140,278330,-130016,Bearish Reversal
2025-03-25,17948,147482,    -141,   -7189,281126,-129534,Bullish Reversal
2025-03-18,18089,154671,   -1108,   -6936,347932,-136582,Bullish
2025-03-11,19197,161607,   -2978,   -4338,339922,-142410,Bullish Reversal
2025-03-04,22175,165945,    1652,    7516,340218,-143770,Bearish
2025-02-25,20523,158429,    -753,   -7490,319493,-137906,Bullish Reversal
2025-02-18,21276,165919,    3365,   -2826,323195,-144643,Bullish Reversal
2025-02-11,17911,168745,   -2510,  -12120,326849,-150834,Bullish Reversal
2025-02-04,20421,180865,    -798,   12045,346984,-160444,Bearish
2025-01-28,21219,168820,    1716,   -1470,331109,-147601,Bullish Reversal
