As of Date in Form YYYY-MM-DD,Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Open Interest (All),Net Positions,Interpretation
2026-04-07,72637,32410,    1530,    1407,224634,40227,Bullish
2026-03-31,71107,31003,    2616,      49,220756,40104,Bullish Reversal
2026-03-24,68491,30954,  -10023,     484,221772,37537,Bearish Reversal
2026-03-17,78514,30470,   -3859,    -237,231319,48044,Bearish Reversal
2026-03-10,82373,30707,   -6730,    -715,235322,51666,Bearish Reversal
2026-03-03,89103,31422,    1030,    1789,244932,57681,Bearish Reversal
2026-02-24,88073,29633,   -1626,    -735,261235,58440,Bearish Reversal
2026-02-17,89699,30368,   -4741,  -18199,272967,59331,Bullish
2026-02-10,94440,48567,   -2967,   -1026,270792,45873,Bearish Reversal
2026-02-03,97407,49593,   -3993,   -3417,278845,47814,Bearish
2026-01-27,101400,53010,    -231,    3954,278219,48390,Bearish Reversal
2026-01-20,101631,49056,    4216,    5082,278431,52575,Bearish
2026-01-13,97415,43974,   -4309,     108,269813,53441,Bearish
2026-01-06,101724,43866,   -1051,     930,267027,57858,Bearish
2025-12-30,102775,42936,   -5303,    1946,260139,59839,Bearish Reversal
2025-12-23,108078,40990,    -238,   -2500,267343,67088,Bullish
2025-12-16,108316,43490,    1468,    -879,256887,64826,Bullish
2025-12-09,106848,44369,    8016,   -1050,250821,62479,Bullish
2025-12-02,98832,45419,    6712,   -3064,242931,53413,Bullish
2025-11-25,92120,48483,   -7519,     803,233461,43637,Bearish Reversal
2025-11-18,99639,47680,   -3069,     498,251537,51959,Bearish Reversal
2025-11-10,102708,47182,    -304,     545,265474,55526,Bearish Reversal
2025-11-04,103012,46637,    5110,   -2171,269926,56375,Bullish Reversal
2025-10-28,97902,48808,    8136,     253,272068,49094,Bullish
2025-10-21,89766,48555,   -3777,   -2361,258680,41211,Bearish
2025-10-14,93543,50916,    1023,   -2535,252089,42627,Bullish
2025-10-07,92520,53451,   13109,    6606,250850,39069,Bullish
2025-09-30,79411,46845,    6660,    4324,230658,32566,Bullish
2025-09-23,72751,42521,    3381,    3499,227318,30230,Bearish
2025-09-16,69370,39022,    5077,    1970,221011,30348,Bullish
2025-09-09,64293,37052,    3249,    1666,208356,27241,Bullish
2025-09-02,61044,35386,    4282,    4854,195673,25658,Bearish
2025-08-26,56762,30532,      71,    -127,190049,26230,Bullish Reversal
2025-08-19,56691,30659,   -2111,      68,195080,26032,Bearish
2025-08-12,58802,30591,    3873,   -3652,193751,28211,Bullish Reversal
2025-08-05,54929,34243,  -19721,   -3060,197933,20686,Bearish Reversal
2025-07-29,74650,37303,   -2987,    -512,228444,37347,Bearish
2025-07-22,77637,37815,    2214,    3116,228192,39822,Bearish
2025-07-15,75423,34699,   -5420,   -6540,224583,40724,Bullish Reversal
2025-07-08,80843,41239,    6218,     304,230251,39604,Bullish
2025-07-01,74625,40935,    3844,    -413,212300,33690,Bullish
2025-06-24,70781,41348,    4243,   -1390,203404,29433,Bullish
2025-06-17,66538,42738,   -5563,   -3012,202728,23800,Bearish Reversal
2025-06-10,72101,45750,     852,   -1405,207359,26351,Bullish Reversal
2025-06-03,71249,47155,    1305,    -208,211857,24094,Bullish
2025-05-27,69944,47363,     929,    -614,208601,22581,Bullish
2025-05-20,69015,47977,   -2911,   -2427,205105,21038,Bearish
2025-05-13,71926,50404,     149,     330,195840,21522,Bearish
2025-05-06,71777,50074,     165,   -2169,192752,21703,Bullish
2025-04-29,71612,52243,   -6995,   -1599,191990,19369,Bearish Reversal
2025-04-22,78607,53842,    3145,   -2143,196712,24765,Bullish Reversal
2025-04-15,75462,55985,   -5751,    -987,202997,19477,Bearish Reversal
2025-04-08,81213,56972,  -12888,   -7104,220390,24241,Bearish Reversal
2025-04-01,94101,64076,  -11984,   -7905,245181,30025,Bearish Reversal
2025-03-25,106085,71981,    5009,   -3903,251957,34104,Bullish
2025-03-18,101076,75884,    6147,    -447,237882,25192,Bullish
2025-03-11,94929,76331,    5942,     356,227359,18598,Bullish
2025-03-04,88987,75975,   -2770,    3240,218780,13012,Bearish Reversal
2025-02-25,91757,72735,   -9713,   -6672,222133,19022,Bearish Reversal
2025-02-18,101470,79407,   -2562,   -3729,238331,22063,Bullish Reversal
2025-02-11,104032,83136,   12030,    6555,243961,20896,Bullish
2025-02-04,92002,76581,    5171,    2795,235599,15421,Bullish
2025-01-28,86831,73786,   -2024,    1594,234867,13045,Bearish
2025-01-21,88855,72192,    3951,    -874,217298,16663,Bullish
2025-01-14,84904,73066,   -4682,  -12250,209052,11838,Bullish Reversal
2025-01-07,89586,85316,    1286,   -2225,218477,4270,Bullish Reversal
2024-12-31,88300,87541,    5224,    6269,219739,759,Bearish
2024-12-24,83076,81272,    1536,    5672,213742,1804,Bearish
2024-12-17,81540,75600,   -3045,    1974,207513,5940,Bearish Reversal
2024-12-10,84585,73626,   -1893,   -2386,208126,10959,Bullish Reversal
2024-12-03,86478,76012,    3210,    2669,213182,10466,Bullish
2024-11-26,83268,73343,   -4574,     943,203954,9925,Bearish Reversal
2024-11-19,87842,72400,   -6099,    -696,223447,15442,Bearish Reversal
2024-11-12,93941,73096,   -8055,   -5230,232280,20845,Bearish Reversal
2024-11-05,101996,78326,    5152,    5221,251994,23670,Bearish
2024-10-29,96844,73105,   -3158,    5558,247710,23739,Bearish
2024-10-22,100002,67547,     966,    4033,242120,32455,Bearish Reversal
2024-10-15,99036,63514,   -6216,    1358,242791,35522,Bearish
2024-10-08,105252,62156,   -3169,   -3073,241373,43096,Bearish
2024-10-01,108421,65229,   12159,    2097,240587,43192,Bullish
2024-09-24,96262,63132,   17027,    3579,226141,33130,Bullish
2024-09-17,79235,59553,    4481,   -2389,204717,19682,Bullish
2024-09-10,74754,61942,   -2536,   -2387,203377,12812,Bearish
2024-09-03,77290,64329,  -11773,   -7589,201953,12961,Bearish Reversal
2024-08-27,89063,71918,   -2772,     357,214577,17145,Bearish Reversal
2024-08-20,91835,71561,    5822,    1345,228892,20274,Bullish Reversal
2024-08-13,86013,70216,   -2585,    1216,229752,15797,Bearish Reversal
2024-08-06,88598,69000,  -14359,   -9482,249019,19598,Bearish Reversal
2024-07-30,102957,78482,  -14279,    3466,260246,24475,Bearish
2024-07-23,117236,75016,  -22538,   -5858,254535,42220,Bearish Reversal
2024-07-16,139774,80874,   -1463,   -4332,270330,58900,Bullish
2024-07-09,141237,85206,    5994,    -814,263869,56031,Bullish
2024-07-02,135243,86020,     445,    1348,256039,49223,Bearish
2024-06-25,134798,84672,     908,    3403,255809,50126,Bearish Reversal
2024-06-18,133890,81269,   -5123,    3544,265935,52621,Bearish Reversal
2024-06-11,139013,77725,   -3699,   -3860,270090,61288,Bullish Reversal
2024-06-04,142712,81585,  -11027,   -6632,283719,61127,Bearish Reversal
2024-05-28,153739,88217,   -9148,   -2976,298839,65522,Bearish Reversal
2024-05-21,162887,91193,    -775,  -10689,303409,71694,Bullish Reversal
2024-05-14,163662,101882,    3515,    4383,316141,61780,Bearish
2024-05-07,160147,97499,    7340,    2756,300392,62648,Bullish
2024-04-30,152807,94743,    3794,    4124,293492,58064,Bearish Reversal
2024-04-23,149013,90619,    4423,   -6402,308479,58394,Bullish
2024-04-16,144590,97021,      18,   -4857,299220,47569,Bullish Reversal
2024-04-09,144572,101878,   17706,   -4692,301181,42694,Bullish
2024-04-02,126866,106570,    6095,    8882,293955,20296,Bearish
2024-03-26,120771,97688,   -3545,    5297,280731,23083,Bearish
2024-03-19,124316,92391,   36877,   10379,269690,31925,Bullish
2024-03-12,87439,82012,   16469,    5715,219445,5427,Bullish
2024-03-05,70970,76297,    1297,    5021,198561,-5327,Bearish
2024-02-27,69673,71276,  -10268,  -24607,189805,-1603,Bullish Reversal
2024-02-20,79941,95883,    1712,  -15043,229777,-15942,Bullish Reversal
2024-02-13,78229,110926,    6946,   25933,257761,-32697,Bearish
2024-02-06,71283,84993,     183,    5295,245784,-13710,Bearish
2024-01-30,71100,79698,    4731,  -16594,229699,-8598,Bullish Reversal
2024-01-23,66369,96292,    3961,    8578,233110,-29923,Bearish
2024-01-16,62408,87714,   -1854,   10285,219315,-25306,Bearish
2024-01-09,64262,77429,   -6332,   15452,206716,-13167,Bearish
2024-01-02,70594,61977,   -2492,   -4032,190752,8617,Bullish
2023-12-26,73086,66009,   -1551,   -3069,189731,7077,Bullish
2023-12-19,74637,69078,    9007,    -556,189537,5559,Bullish
2023-12-12,65630,69634,    2850,    4860,176034,-4004,Bearish Reversal
2023-12-05,62780,64774,      31,   -1847,176373,-1994,Bullish
2023-11-28,62749,66621,   -2073,   -1744,173233,-3872,Bearish Reversal
2023-11-21,64822,68365,    2846,  -10219,187077,-3543,Bullish Reversal
2023-11-14,61976,78584,   -4077,    2243,206072,-16608,Bearish Reversal
2023-11-07,66053,76341,   -3856,  -10729,213615,-10288,Bullish Reversal
2023-10-31,69909,87070,   -1939,   -5538,222566,-17161,Bullish Reversal
2023-10-24,71848,92608,     175,   -4954,224704,-20760,Bullish
2023-10-17,71673,97562,    4994,   16128,220619,-25889,Bearish
2023-10-10,66679,81434,   -2594,   -9751,201214,-14755,Bullish Reversal
2023-10-03,69273,91185,   -1390,   -8257,208795,-21912,Bullish Reversal
2023-09-26,70663,99442,    2419,   14898,216031,-28779,Bearish
2023-09-19,68244,84544,     911,    4877,201097,-16300,Bearish
2023-09-12,67333,79667,     215,    5779,196198,-12334,Bearish
2023-09-05,67118,73888,    4494,   -5352,193597,-6770,Bullish
2023-08-29,62624,79240,   -1281,   -9280,190629,-16616,Bullish Reversal
2023-08-22,63905,88520,   -3496,   -4579,211645,-24615,Bullish Reversal
2023-08-15,67401,93099,   -3846,   11795,224215,-25698,Bearish Reversal
2023-08-08,71247,81304,   -9152,   11649,228537,-10057,Bearish Reversal
2023-08-01,80399,69655,    6656,   -2929,236399,10744,Bullish
2023-07-25,73743,72584,    6422,    1713,234713,1159,Bullish
2023-07-18,67321,70871,    7932,     325,216862,-3550,Bullish
2023-07-11,59389,70546,     373,    2768,197785,-11157,Bearish
2023-07-03,59016,67778,   -5498,    6204,187371,-8762,Bearish Reversal
2023-06-27,64514,61574,    -226,   -1278,194048,2940,Bullish Reversal
2023-06-20,64740,62852,    3447,  -11347,204399,1888,Bullish Reversal
2023-06-13,61293,74199,    4633,   -8417,211957,-12906,Bullish Reversal
2023-06-06,56660,82616,    1561,   -8185,229756,-25956,Bullish
2023-05-30,55099,90801,   -6364,    -470,223185,-35702,Bearish
2023-05-23,61463,91271,    1770,   -1029,215394,-29808,Bullish
2023-05-16,59693,92300,    4562,   12304,210415,-32607,Bearish
2023-05-09,55131,79996,     823,    3946,194243,-24865,Bearish Reversal
2023-05-02,54308,76050,   -2916,    1784,195462,-21742,Bearish Reversal
2023-04-25,57224,74266,  -10038,   15938,202422,-17042,Bearish Reversal
2023-04-18,67262,58328,   11199,   -2038,206216,8934,Bullish Reversal
2023-04-11,56063,60366,   -4475,   -3126,209501,-4303,Bearish Reversal
2023-04-04,60538,63492,    3943,    5352,218687,-2954,Bearish
2023-03-28,56595,58140,    5500,   -5306,211889,-1545,Bullish
2023-03-21,51095,63446,   -2993,   -4798,201636,-12351,Bullish Reversal
2023-03-14,54088,68244,  -10770,   -4334,205997,-14156,Bearish Reversal
2023-03-07,64858,72578,    4178,    5860,210430,-7720,Bearish
2023-02-28,60680,66718,  -12715,   -4628,196143,-6038,Bearish Reversal
2023-02-21,73395,71346,    6110,   -1450,219205,2049,Bullish
2023-02-14,67285,72796,   -8189,    -173,218099,-5511,Bearish Reversal
2023-02-07,75474,72969,   -9936,    4774,222502,2505,Bearish Reversal
2023-01-31,85410,68195,   -2531,     424,224824,17215,Bearish
2023-01-24,87941,67771,    3031,    -901,213398,20170,Bullish
2023-01-17,84910,68672,   10157,    4146,201455,16238,Bullish
