As of Date in Form YYYY-MM-DD,Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Open Interest (All),Net Positions,Interpretation
2026-04-07,5015,14589,   -1815,    3653,68557,-9574,Bearish Reversal
2026-03-31,6830,10936,    1500,    -957,70828,-4106,Bullish
2026-03-24,5330,11893,   -7661,   -2052,67922,-6563,Bearish Reversal
2026-03-17,12991,13945,     -63,   -2026,96572,-954,Bullish
2026-03-10,13054,15971,   -3685,   -3619,74984,-2917,Bearish Reversal
2026-03-03,16739,19590,   -2426,    2545,75978,-2851,Bearish
2026-02-24,19165,17045,    -907,   -4562,73183,2120,Bullish
2026-02-17,20072,21607,   -1381,    1587,68377,-1535,Bearish Reversal
2026-02-10,21453,20020,    1442,    1056,74433,1433,Bullish
2026-02-03,20011,18964,     -33,      64,70011,1047,Bearish Reversal
2026-01-27,20044,18900,    2392,   -2023,70906,1144,Bullish
2026-01-20,17652,20923,     304,    4212,70237,-3271,Bearish
2026-01-13,17348,16711,    2248,    5718,68752,637,Bearish
2026-01-06,15100,10993,    4624,      27,66021,4107,Bullish
2025-12-30,10476,10966,    -369,      -9,61375,-490,Bearish Reversal
2025-12-23,10845,10975,    1645,  -15199,61462,-130,Bullish Reversal
2025-12-16,9200,26174,    1217,      13,90249,-16974,Bullish
2025-12-09,7983,26161,    2011,     440,83015,-18178,Bullish
2025-12-02,5972,25721,     511,   -1631,82132,-19749,Bullish Reversal
2025-11-25,5461,27352,   -3106,     724,85923,-21891,Bearish
2025-11-18,8567,26628,    -783,    3512,82876,-18061,Bearish
2025-11-10,9350,23116,   -2055,     596,81781,-13766,Bearish Reversal
2025-11-04,11405,22520,   -2747,    -380,88387,-11115,Bearish Reversal
2025-10-28,14152,22900,     643,   -1739,92593,-8748,Bullish
2025-10-21,13509,24639,    4119,    1624,92051,-11130,Bullish
2025-10-14,9390,23015,   -1426,    -481,85017,-13625,Bearish
2025-10-07,10816,23496,    2429,     380,82515,-12680,Bullish
2025-09-30,8387,23116,   -4830,    9922,78830,-14729,Bearish
2025-09-23,13217,13194,    6286,   -3554,78112,23,Bullish Reversal
2025-09-16,6931,16748,   -4046,    3661,100891,-9817,Bearish
2025-09-09,10976,13087,    3243,     652,89055,-2111,Bullish
2025-09-02,7734,12435,   -3074,   -1220,84001,-4701,Bearish Reversal
2025-08-26,10807,13655,   -1638,   -1731,86477,-2848,Bullish
2025-08-19,12445,15386,    1354,    1883,85223,-2941,Bearish Reversal
2025-08-12,11091,13503,    1321,    -182,88755,-2412,Bullish
2025-08-05,9770,13685,   -2173,   -1203,87993,-3915,Bearish
2025-07-29,11943,14888,   -1936,    2200,86736,-2945,Bearish
2025-07-22,13879,12688,   -1667,     674,86201,1191,Bearish
2025-07-15,15546,12014,     399,    1170,83480,3532,Bearish Reversal
2025-07-08,15147,10844,   -1242,     599,85138,4303,Bearish Reversal
2025-07-01,16389,10245,    1439,    1681,86845,6144,Bearish
2025-06-24,14950,8564,   -4864,    -650,82269,6386,Bearish Reversal
2025-06-17,19814,9214,    1941,     567,103343,10600,Bullish
2025-06-10,17872,8647,    1179,    1580,88212,9225,Bearish
2025-06-03,16693,7067,     126,    1678,85461,9626,Bearish
2025-05-27,16567,5389,    2450,    -581,80388,11178,Bullish
2025-05-20,14117,5970,     858,    -175,78995,8147,Bullish
2025-05-13,13259,6145,     565,    -754,77515,7114,Bullish
2025-05-06,12694,6899,    -508,    -754,76175,5795,Bullish Reversal
2025-04-29,13202,7653,    3579,   -1083,78341,5549,Bullish Reversal
2025-04-22,9623,8736,    1201,     555,78992,887,Bullish
2025-04-15,8422,8181,    -770,     309,73931,241,Bearish
2025-04-08,9192,7872,    -654,   -4578,73838,1320,Bullish Reversal
2025-04-01,9846,12450,     952,    -650,74497,-2604,Bullish
2025-03-25,8894,13100,   -1843,    2844,74443,-4206,Bearish Reversal
2025-03-18,10737,10256,   -1922,   -1183,94597,481,Bearish
2025-03-11,12659,11439,   -2191,   -3345,77307,1220,Bullish Reversal
2025-03-04,14850,14785,   -1281,   -2893,77647,65,Bullish Reversal
2025-02-25,16132,17677,    1545,    2050,81664,-1545,Bearish Reversal
2025-02-18,14587,15628,     408,    4326,82322,-1041,Bearish
2025-02-11,14179,11302,     974,    -182,81382,2877,Bullish Reversal
2025-02-04,13205,11484,   -2246,   -1696,82475,1721,Bearish Reversal
2025-01-28,15451,13180,    2074,    2130,85619,2271,Bearish
2025-01-21,13377,11050,   -1302,   -2183,81691,2327,Bullish Reversal
2025-01-14,14679,13233,   -1043,     270,81768,1446,Bearish Reversal
