As of Date in Form YYYY-MM-DD,Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Open Interest (All),Net Positions,Interpretation
2026-04-07,205368,49063,   -2234,    4663,354877,156305,Bearish Reversal
2026-03-31,207602,44400,  -13259,   -8134,361409,163202,Bearish Reversal
2026-03-24,220861,52534,    4900,   -3558,403925,168327,Bullish Reversal
2026-03-17,215961,56092,     516,    3779,411388,159869,Bearish Reversal
2026-03-10,215445,52313,    1693,   -1294,413956,163132,Bullish
2026-03-03,213752,53607,    2103,    1135,409789,160145,Bullish Reversal
2026-02-24,211649,52472,   -1783,   -1045,420182,159177,Bearish
2026-02-17,213432,53517,     624,     721,407078,159915,Bearish
2026-02-10,212808,52796,   -1700,    3892,404391,160012,Bearish Reversal
2026-02-03,214508,48904,  -37592,    2200,409694,165604,Bearish Reversal
2026-01-27,252100,46704,  -43672,   -4298,488463,205396,Bearish Reversal
2026-01-20,295772,51002,    -411,    6057,528004,244770,Bearish
2026-01-13,296183,44945,   21748,   -1858,527455,251238,Bullish
2026-01-06,274435,46803,   -1157,    2384,488116,227632,Bearish
2025-12-30,275592,44419,  -14569,   -5042,481866,231173,Bearish Reversal
2025-12-23,290161,49461,    9241,    2519,492103,240700,Bullish
2025-12-16,280920,46942,   12435,    2343,471093,233978,Bullish
2025-12-09,268485,44599,    7154,     828,432569,223886,Bullish
2025-12-02,261331,43771,    8065,   -4907,418490,217560,Bullish Reversal
2025-11-25,253266,48678,  -16290,  -10539,432946,204588,Bearish Reversal
2025-11-18,269556,59217,    3640,     370,471953,210339,Bullish
2025-11-10,265916,58847,    9344,    4582,459997,207069,Bullish
2025-11-04,256572,54265,   -9736,   -7379,450399,202307,Bearish Reversal
2025-10-28,266308,61644,   12457,  -15598,457122,204664,Bullish Reversal
2025-10-21,253851,77242,  -24554,    2753,472421,176609,Bearish Reversal
2025-10-14,278405,74489,  -22393,    5647,485788,203916,Bearish
2025-10-07,300798,68842,  -18006,    2946,485559,231956,Bearish Reversal
2025-09-30,318804,65896,  -14004,    -163,493748,252908,Bearish Reversal
2025-09-23,332808,66059,    6030,    5691,528789,266749,Bullish
2025-09-16,326778,60368,    1903,   -2767,516221,266410,Bullish
2025-09-09,324875,63135,    9079,   -3131,509625,261740,Bullish
2025-09-02,315796,66266,   40029,    4810,492908,249530,Bullish
2025-08-26,275767,61456,     490,   -1231,443760,214311,Bullish
2025-08-19,275277,62687,  -12838,    4057,438541,212590,Bearish Reversal
2025-08-12,288115,58630,   -4079,    3486,446152,229485,Bearish Reversal
2025-08-05,292194,55144,   10953,   -2501,449647,237050,Bullish
2025-07-29,281241,57645,  -30708,   -1266,445259,223596,Bearish Reversal
2025-07-22,311949,58911,   41722,    1799,489423,253038,Bullish
2025-07-15,270227,57112,    8542,   -1605,448531,213115,Bullish
2025-07-08,261685,58717,    3054,    2066,443144,202968,Bullish
2025-07-01,258631,56651,    2554,   -4422,437662,201980,Bullish
2025-06-24,256077,61073,   -4509,    1135,434958,195004,Bearish Reversal
2025-06-17,260586,59938,   14591,    1424,441214,200648,Bullish
2025-06-10,245995,58514,    -987,    -563,417143,187481,Bearish
2025-06-03,246982,59077,   12895,    -826,415941,187905,Bullish Reversal
2025-05-27,234087,59903,   -3975,  -14178,437538,174184,Bullish Reversal
2025-05-20,238062,74081,    -129,   -2901,448000,163981,Bullish
2025-05-13,238191,76982,     746,    2034,440842,161209,Bearish Reversal
