As of Date in Form YYYY-MM-DD,Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Open Interest (All),Net Positions,Interpretation
2026-04-07,91560,185302,   -3796,   17074,349373,-93742,Bearish
2026-03-31,95356,168228,   -2915,    7151,345276,-72872,Bearish
2026-03-24,98271,161077,   -8548,  -13522,328210,-62806,Bullish
2026-03-17,106819,174599,  -12592,   13801,326688,-67780,Bearish Reversal
2026-03-10,119411,160798,  -15534,    9278,427718,-41387,Bearish
2026-03-03,134945,151520,  -14419,   13695,416977,-16575,Bearish
2026-02-24,149364,137825,    6192,    7608,369721,11539,Bearish
2026-02-17,143172,130217,   15082,  -16979,354328,12955,Bullish
2026-02-10,128090,147196,   13662,   13546,334948,-19106,Bullish
2026-02-03,114428,133650,    9968,   -4743,303673,-19222,Bullish
2026-01-27,104460,138393,   -2679,  -13575,300726,-33933,Bullish
2026-01-20,107139,151968,   -4604,   -4939,292607,-44829,Bullish Reversal
2026-01-13,111743,156907,  -28698,   25281,294242,-45164,Bearish
2026-01-06,140441,131626,   -4155,    1098,287715,8815,Bearish
2025-12-30,144596,130528,    3463,   -9382,286132,14068,Bullish
2025-12-23,141133,139910,   -5142,   -9307,285084,1223,Bullish Reversal
2025-12-16,146275,149217,  -38213,  -17823,379679,-2942,Bearish Reversal
2025-12-09,184488,167040,    -470,   18500,465416,17448,Bearish
2025-12-02,184958,148540,   15740,    5839,394859,36418,Bullish
2025-11-25,169218,142701,    -672,    3968,344420,26517,Bearish
2025-11-18,169890,138733,   -2459,   14860,329456,31157,Bearish
2025-11-10,172349,123873,    2169,    4958,312845,48476,Bearish Reversal
2025-11-04,170180,118915,   -8565,    8285,314190,51265,Bearish Reversal
2025-10-28,178745,110630,    3021,    5320,321889,68115,Bearish
2025-10-21,175724,105310,   15085,  -18163,307569,70414,Bullish
2025-10-14,160639,123473,    1442,   10583,305003,37166,Bearish Reversal
2025-10-07,159197,112890,   -8614,    6544,305134,46307,Bearish Reversal
2025-09-30,167811,106346,   -8589,    9446,305711,61465,Bearish Reversal
2025-09-23,176400,96900,   14727,   -3362,309893,79500,Bullish
2025-09-16,161673,100262,  -19051,   11181,299620,61411,Bearish Reversal
2025-09-09,180724,89081,    5950,  -12435,410799,91643,Bullish Reversal
2025-09-02,174774,101516,    4009,   15235,414249,73258,Bearish
2025-08-26,170765,86281,    2402,   -4501,357366,84484,Bullish
2025-08-19,168363,90782,    3670,     323,348982,77581,Bullish Reversal
2025-08-12,164693,90459,    4435,   12207,351163,74234,Bearish
2025-08-05,160258,78252,   -1864,    5373,337378,82006,Bearish
2025-07-29,162122,72879,   -2289,   15113,329115,89243,Bearish
2025-07-22,164411,57766,   -1033,   -4096,313040,106645,Bullish Reversal
2025-07-15,165444,61862,    -748,   11825,321350,103582,Bearish
2025-07-08,166192,50037,   -4432,    6751,308621,116155,Bearish Reversal
2025-07-01,170624,43286,   -7779,   -2840,314251,127338,Bearish Reversal
2025-06-24,178403,46126,    2802,    1402,314767,132277,Bullish Reversal
2025-06-17,175601,44724,   -8594,    5124,317523,130877,Bearish Reversal
2025-06-10,184195,39600,   -5319,    1235,388263,144595,Bearish
2025-06-03,189514,38365,   -2288,   10575,366008,151149,Bearish Reversal
2025-05-27,191802,27790,   -2708,     610,377011,164012,Bearish
2025-05-20,194510,27180,     284,    5222,366865,167330,Bearish
2025-05-13,194226,21958,   -9782,   -5191,359521,172268,Bearish Reversal
2025-05-06,204008,27149,    1211,    3564,375546,176859,Bearish
2025-04-29,202797,23585,     424,    -974,366246,179212,Bullish
2025-04-22,202373,24559,    3813,   -2146,351226,177814,Bullish
2025-04-15,198560,26705,   22005,   -2783,338849,171855,Bullish
2025-04-08,176555,29488,   14989,  -10304,320758,147067,Bullish
2025-04-01,161566,39792,    1092,    4694,311162,121774,Bearish
2025-03-25,160474,35098,   -4278,   -6690,303778,125376,Bullish
2025-03-18,164752,41788,  -12038,   -1100,296567,122964,Bearish Reversal
2025-03-11,176790,42888,   -7165,   -7416,446178,133902,Bullish
2025-03-04,183955,50304,   12204,  -25467,354415,133651,Bullish
2025-02-25,171751,75771,   24185,  -11226,329186,95980,Bullish
2025-02-18,147566,86997,    3408,   -2546,281163,60569,Bullish
2025-02-11,144158,89543,   39474,    3627,273314,54615,Bullish
2025-02-04,104684,85916,    7875,  -11852,231911,18768,Bullish
2025-01-28,96809,97768,    2652,  -11062,216788,-959,Bullish
2025-01-21,94157,108830,    2723,  -12015,211620,-14673,Bullish Reversal
2025-01-14,91434,120845,     228,    9450,223952,-29411,Bearish
2025-01-07,91206,111395,   -4913,    6833,212456,-20189,Bearish
2024-12-31,96119,104562,     161,   10915,206971,-8443,Bearish
2024-12-24,95958,93647,    8750,   12400,200720,2311,Bearish
2024-12-17,87208,81247,  -10730,    9061,181673,5961,Bearish Reversal
2024-12-10,97938,72186,    4316,  -19102,274834,25752,Bullish
2024-12-03,93622,91288,    6025,  -18942,256849,2334,Bullish
2024-11-26,87597,110230,    8624,  -15611,253566,-22633,Bullish Reversal
2024-11-19,78973,125841,   14935,   -3099,254087,-46868,Bullish Reversal
2024-11-12,64038,128940,    3704,   24439,257688,-64902,Bearish
2024-11-05,60334,104501,   -4591,   14759,235762,-44167,Bearish
2024-10-29,64925,89742,  -14439,   23149,225894,-24817,Bearish
2024-10-22,79364,66593,   -7321,   14018,207338,12771,Bearish
2024-10-15,86685,52575,    3006,    5424,197871,34110,Bearish
2024-10-08,83679,47151,  -11834,    8410,196685,36528,Bearish
2024-10-01,95513,38741,   -9177,      62,196200,56772,Bearish Reversal
2024-09-24,104690,38679,    7358,   -1813,207702,66011,Bullish
2024-09-17,97332,40492,   -1562,   -2632,199463,56840,Bullish Reversal
2024-09-10,98894,43124,    7103,   -7551,376514,55770,Bullish
2024-09-03,91791,50675,    7486,   -7762,326795,41116,Bullish
2024-08-27,84305,58437,   -4456,   -6739,318259,25868,Bullish
2024-08-20,88761,65176,    1660,    1179,316197,23585,Bullish
2024-08-13,87101,63997,   20932,  -13526,315338,23104,Bullish
2024-08-06,66169,77523,    1153,  -60953,298937,-11354,Bullish Reversal
2024-07-30,65016,138476,     626,  -33022,303151,-73460,Bullish Reversal
2024-07-23,64390,171498,   17034,  -26930,307183,-107108,Bullish Reversal
2024-07-16,47356,198428,    5835,  -25126,307205,-151072,Bullish Reversal
2024-07-09,41521,223554,    4807,    2617,348954,-182033,Bullish Reversal
2024-07-02,36714,220937,    2138,   12461,349817,-184223,Bearish
2024-06-25,34576,208476,    5147,   31294,340237,-173900,Bearish
2024-06-18,29429,177182,   -1334,    7840,297117,-147753,Bearish Reversal
2024-06-11,30763,169342,   -9664,   -3186,319274,-138579,Bearish
2024-06-04,40427,172528,   11862,  -12076,303009,-132101,Bullish Reversal
2024-05-28,28565,184604,   -1049,   10623,325231,-156039,Bearish
2024-05-21,29614,173981,   -5689,   12496,301315,-144367,Bearish
2024-05-14,35303,161485,     313,   -8427,297606,-126182,Bullish Reversal
2024-05-07,34990,169912,   -5445,  -38911,299859,-134922,Bullish Reversal
2024-04-30,40435,208823,   -1991,  -13522,334848,-168388,Bullish Reversal
2024-04-23,42426,222345,   -7037,    7263,336167,-179919,Bearish
2024-04-16,49463,215082,    2188,    5656,331110,-165619,Bearish
2024-04-09,47275,209426,   -7915,   11006,324479,-162151,Bearish
2024-04-02,55190,198420,   -4779,    9345,316809,-143230,Bearish
2024-03-26,59969,189075,   -6305,    6789,305701,-129106,Bearish
2024-03-19,66274,182286,   11351,   25041,302500,-116012,Bearish Reversal
2024-03-12,54923,157245,     252,  -16269,325675,-102322,Bullish
2024-03-05,54671,173514,    3410,  -10452,314586,-118843,Bullish
2024-02-27,51261,183966,   -2601,    9326,309633,-132705,Bearish
2024-02-20,53862,174640,   -4692,    4550,305438,-120778,Bearish
2024-02-13,58554,170090,    2908,   30214,304592,-111536,Bearish
2024-02-06,55646,139876,   10728,   14503,259542,-84230,Bearish
2024-01-30,44918,125373,   -7667,    2143,242029,-80455,Bearish Reversal
2024-01-23,52585,123230,    8405,   22490,243032,-70645,Bearish
2024-01-16,44180,100740,    2816,    3427,213309,-56560,Bearish
2024-01-09,41364,97313,    7779,    6533,200299,-55949,Bullish
2024-01-02,33585,90780,   -3736,   -2109,184042,-57195,Bearish Reversal
2023-12-26,37321,92889,    5587,   -3747,188540,-55568,Bullish
2023-12-19,31734,96636,    3508,  -12721,185940,-64902,Bullish Reversal
2023-12-12,28226,109357,     -40,  -23865,257581,-81131,Bullish Reversal
2023-12-05,28266,133222,   -2195,   -6476,267482,-104956,Bullish
2023-11-28,30461,139698,   -8775,   -4992,260781,-109237,Bearish Reversal
2023-11-21,39236,144690,   11464,  -13331,264903,-105454,Bullish Reversal
2023-11-14,27772,158021,     534,   26743,273763,-130249,Bearish
2023-11-07,27238,131278,  -10403,  -10211,259698,-104040,Bearish Reversal
2023-10-31,37641,141489,    6677,   10896,277272,-103848,Bearish
2023-10-24,30964,130593,   -2175,   -5204,260909,-99629,Bullish Reversal
2023-10-17,33139,135797,   -3641,    -459,267521,-102658,Bearish
2023-10-10,36780,136256,  -10764,  -25276,259937,-99476,Bullish Reversal
2023-10-03,47544,161532,    1375,    5851,282682,-113988,Bearish Reversal
2023-09-26,46169,155681,     432,    8325,285974,-109512,Bearish
2023-09-19,45737,147356,    7490,   10396,265860,-101619,Bearish Reversal
2023-09-12,38247,136960,    1233,    2810,270854,-98713,Bearish
2023-09-05,37014,134150,   12224,   10887,268344,-97136,Bullish
2023-08-29,24790,123263,   -3890,    -740,245452,-98473,Bearish Reversal
2023-08-22,28680,124003,   -6109,    8253,246923,-95323,Bearish Reversal
2023-08-15,34789,115750,   11654,    9435,247954,-80961,Bullish
2023-08-08,23135,106315,   -3714,     250,229849,-83180,Bearish
2023-08-01,26849,106065,   -3509,   -2045,229015,-79216,Bearish
2023-07-25,30358,108110,     582,  -11905,223760,-77752,Bullish Reversal
2023-07-18,29776,120015,     -62,  -27005,230932,-90239,Bullish Reversal
2023-07-11,29838,147020,  -11875,  -12613,252349,-117182,Bullish Reversal
2023-07-03,41713,159633,    3695,    8745,265066,-117920,Bearish
2023-06-27,38018,150888,    5774,   10988,251524,-112870,Bearish
2023-06-20,32244,139900,   -4844,   -1164,238556,-107656,Bearish Reversal
2023-06-13,37088,141064,    2937,    2096,252566,-103976,Bullish
2023-06-06,34151,138968,   -6585,    2039,245332,-104817,Bearish
2023-05-30,40736,136929,    3976,   19509,243237,-96193,Bearish
2023-05-23,36760,117420,    7266,   23135,226400,-80660,Bearish
2023-05-16,29494,94285,    7265,   11041,200515,-64791,Bearish
2023-05-09,22229,83244,   -5859,  -13168,192574,-61015,Bullish Reversal
2023-05-02,28088,96412,   14408,   13988,202996,-68324,Bullish
2023-04-25,13680,82424,   -1981,    9894,184041,-68744,Bearish
2023-04-18,15661,72530,    3728,    3390,177507,-56869,Bullish
2023-04-11,11933,69140,     410,     581,176822,-57207,Bearish Reversal
2023-04-04,11523,68559,    1806,    4867,178828,-57036,Bearish
2023-03-28,9717,63692,    2462,   -9908,169473,-53975,Bullish
2023-03-21,7255,73600,   -3793,  -12242,169188,-66345,Bullish Reversal
2023-03-14,11048,85842,   -6093,   -6602,179782,-74794,Bullish Reversal
2023-03-07,17141,92444,  -10562,    6063,211297,-75303,Bearish
2023-02-28,27703,86381,   -4783,   19866,200047,-58678,Bearish
2023-02-21,32486,66515,    9407,   15593,186100,-34029,Bearish
2023-02-14,23079,50922,    6523,    5277,174955,-27843,Bullish
2023-02-07,16556,45645,   -5994,    3035,164069,-29089,Bearish Reversal
2023-01-31,22550,42610,   -5070,   -6645,168540,-20060,Bullish Reversal
2023-01-24,27620,49255,   -1838,   -3164,173321,-21635,Bullish Reversal
2023-01-17,29458,52419,    3063,   -9353,176862,-22961,Bullish
2023-01-10,26395,61772,    1018,  -10469,175745,-35377,Bullish
2023-01-03,25377,72241,   -4308,    4826,172590,-46864,Bearish Reversal
2022-12-27,29685,67415,   -4001,   -7152,173136,-37730,Bullish Reversal
2022-12-20,33686,74567,   11396,    -911,182034,-40881,Bullish Reversal
2022-12-13,22290,75478,   -1299,  -14107,226964,-53188,Bullish
2022-12-06,23589,89585,   -4536,   -5934,223424,-65996,Bullish Reversal
2022-11-29,28125,95519,   -2675,    -131,228328,-67394,Bearish
2022-11-22,30800,95650,   -2997,   -3989,227435,-64850,Bullish Reversal
2022-11-15,33797,99639,   -3404,  -12820,233346,-65842,Bullish Reversal
2022-11-08,37201,112459,   -3259,   -5621,251378,-75258,Bullish Reversal
2022-11-01,40460,118080,    2881,  -22117,258906,-77620,Bullish Reversal
2022-10-25,37579,140197,    6996,   15278,272597,-102618,Bearish
2022-10-18,30583,124919,     434,   17377,264265,-94336,Bearish
2022-10-11,30149,107542,    3187,   -1043,245007,-77393,Bullish
2022-10-04,26962,108585,    4256,    3323,243289,-81623,Bullish Reversal
