As of Date in Form YYYY-MM-DD,Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Open Interest (All),Net Positions,Interpretation
2026-01-13,21863,26851,    2496,    2548,30404,-4988,Bearish
2026-01-06,19367,24303,    4982,    5960,27086,-4936,Bearish
2025-12-30,14385,18343,   -6836,   -8126,21246,-3958,Bullish Reversal
2025-12-23,21221,26469,   -2996,   -3044,30830,-5248,Bullish Reversal
2025-12-16,24217,29513,    1093,    1519,33894,-5296,Bearish
2025-12-09,23124,27994,    2746,    2581,31470,-4870,Bullish
2025-12-02,20378,25413,  -13651,  -15213,28351,-5035,Bullish Reversal
2025-11-25,34029,40626,    5058,    6516,49928,-6597,Bearish
2025-11-18,28971,34110,    3496,    3441,38554,-5139,Bullish
2025-11-10,25475,30669,    3443,    3592,33933,-5194,Bearish
2025-11-04,22032,27077,  -10663,  -10737,30224,-5045,Bullish Reversal
2025-10-28,32695,37814,     247,    -286,44003,-5119,Bullish
2025-10-21,32448,38100,    6314,    6547,41237,-5652,Bearish
2025-10-14,26134,31553,     362,     589,34065,-5419,Bearish Reversal
2025-10-07,25772,30964,    5030,    5674,34117,-5192,Bearish
2025-09-30,20742,25290,    1060,     266,27577,-4548,Bullish Reversal
2025-09-23,19682,25024,     344,     981,31672,-5342,Bearish
2025-09-16,19338,24043,    1862,    1865,27820,-4705,Bearish
2025-09-09,17476,22178,   -5312,   -4495,26307,-4702,Bearish Reversal
2025-09-02,22788,26673,  -11449,  -13743,30114,-3885,Bullish Reversal
2025-08-26,34237,40416,    6636,    7315,44851,-6179,Bearish
2025-08-19,27601,33101,   -1832,   -2134,37022,-5500,Bullish Reversal
2025-08-12,29433,35235,    4329,    4994,37513,-5802,Bearish
2025-08-05,25104,30241,    7319,    6970,32895,-5137,Bullish
2025-07-29,17785,23271,   -6962,   -7410,25892,-5486,Bullish Reversal
2025-07-22,24747,30681,    6132,    5183,35822,-5934,Bullish
2025-07-15,18615,25498,     915,    2459,29424,-6883,Bearish
2025-07-08,17700,23039,    2801,    2994,25413,-5339,Bearish
2025-07-01,14899,20045,   -9788,   -9623,22284,-5146,Bearish Reversal
2025-06-24,24687,29668,   -2940,   -3096,34802,-4981,Bullish Reversal
2025-06-17,27627,32764,    8730,    8140,38508,-5137,Bullish
2025-06-10,18897,24624,    1890,    2209,30189,-5727,Bearish
2025-06-03,17007,22415,   -6463,   -6299,25839,-5408,Bearish Reversal
2025-05-27,23470,28714,    4389,    4525,39926,-5244,Bearish
2025-05-20,19081,24189,    3954,    4901,32748,-5108,Bearish
2025-05-13,15127,19288,    1025,    1483,26467,-4161,Bearish
2025-05-06,14102,17805,     142,    -113,22534,-3703,Bullish
2025-04-29,13960,17918,  -17401,  -16643,20731,-3958,Bearish Reversal
2025-04-22,31361,34561,   -3772,   -2359,39271,-3200,Bearish Reversal
2025-04-15,35133,36920,    7836,    8566,40915,-1787,Bearish
2025-04-08,27297,28354,   12277,   11586,33061,-1057,Bullish
2025-04-01,15020,16768,   -1608,   -3607,19916,-1748,Bullish Reversal
2025-03-25,16628,20375,   -6673,   -6410,23710,-3747,Bearish Reversal
2025-03-18,23301,26785,   10208,   10172,29903,-3484,Bullish
2025-03-11,13093,16613,    3237,    3231,19795,-3520,Bullish
2025-03-04,9856,13382,  -11581,  -13045,16288,-3526,Bullish Reversal
2025-02-25,21437,26427,   -2054,   -2294,30360,-4990,Bullish Reversal
2025-02-18,23491,28721,    4548,    5630,33585,-5230,Bearish
2025-02-11,18943,23091,    -441,      38,27167,-4148,Bearish Reversal
2025-02-04,19384,23053,    -576,    -952,27486,-3669,Bullish Reversal
2025-01-28,19960,24005,    6903,    6907,33713,-4045,Bearish
2025-01-21,13057,17098,   -4253,   -3250,28472,-4041,Bearish Reversal
2025-01-14,17310,20348,     607,     -42,28909,-3038,Bullish
2025-01-07,16703,20390,    5227,    5829,27608,-3687,Bearish
2024-12-31,11476,14561,  -58191,  -59064,18387,-3085,Bullish Reversal
2024-12-24,69667,73625,   22301,   21839,79479,-3958,Bullish
2024-12-17,47366,51786,   -5607,   -6536,61025,-4420,Bullish Reversal
2024-12-10,52973,58322,   35146,   35348,61688,-5349,Bearish
2024-12-03,17827,22974,  -13105,  -12815,25030,-5147,Bearish Reversal
2024-11-26,30932,35789,  -10964,  -11507,43039,-4857,Bullish Reversal
2024-11-19,41896,47296,   -5492,   -5421,50686,-5400,Bearish Reversal
2024-11-12,47388,52717,   26070,   26826,55131,-5329,Bearish
2024-11-05,21318,25891,   -5277,   -5348,27845,-4573,Bullish Reversal
2024-10-29,26595,31239,   11267,   11562,33302,-4644,Bearish
2024-10-22,15328,19677,    1382,    2197,23110,-4349,Bearish
2024-10-15,13946,17480,    3523,    3642,20255,-3534,Bearish
2024-10-08,10423,13838,    -523,    -213,15447,-3415,Bearish Reversal
2024-10-01,10946,14051,    1048,    1360,15521,-3105,Bearish Reversal
2024-09-24,9898,12691,   -1651,   -1483,21828,-2793,Bearish Reversal
2024-09-17,11549,14174,     963,    1140,25576,-2625,Bearish
2024-09-10,10586,13034,     928,    1166,20013,-2448,Bearish
2024-09-03,9658,11868,  -25621,  -27193,13719,-2210,Bullish Reversal
2024-08-27,35279,39061,   -2671,   -2224,44017,-3782,Bearish Reversal
2024-08-20,37950,41285,   13241,   13543,46944,-3335,Bearish
2024-08-13,24709,27742,   -5792,   -5855,31298,-3033,Bullish Reversal
2024-08-06,30501,33597,   13703,   13282,35838,-3096,Bullish
2024-07-30,16798,20315,  -10102,  -10488,22938,-3517,Bullish Reversal
2024-07-23,26900,30803,    6975,    6980,33492,-3903,Bearish
2024-07-16,19925,23823,    4147,    4236,28102,-3898,Bearish
2024-07-09,15778,19587,    6302,    7114,22003,-3809,Bearish
2024-07-02,9476,12473,   -8601,   -9338,14574,-2997,Bullish Reversal
2024-06-25,18077,21811,   -4710,   -4151,24927,-3734,Bearish Reversal
2024-06-18,22787,25962,    2314,    1714,28644,-3175,Bullish
2024-06-11,20473,24248,    4082,    3836,27265,-3775,Bullish
2024-06-04,16391,20412,   -7250,   -6988,22799,-4021,Bearish Reversal
2024-05-28,23641,27400,    -140,    -167,32606,-3759,Bullish
2024-05-21,23781,27567,    8561,    9256,31540,-3786,Bearish
2024-05-14,15220,18311,    2313,    2013,21965,-3091,Bullish
2024-05-07,12907,16298,    6859,    7219,19478,-3391,Bearish
2024-04-30,6048,9079,   -7764,   -8906,12318,-3031,Bullish Reversal
2024-04-23,13812,17985,    3931,    3985,21148,-4173,Bearish
2024-04-16,9881,14000,     364,     150,17021,-4119,Bullish
2024-04-09,9517,13850,     463,     330,16624,-4333,Bullish
2024-04-02,9054,13520,  -47913,  -46417,15551,-4466,Bearish Reversal
2024-03-26,56967,59937,    8921,    9076,64477,-2970,Bearish
2024-03-19,48046,50861,    6734,    6982,54643,-2815,Bearish
2024-03-12,41312,43879,    8797,    8889,47762,-2567,Bearish
2024-03-05,32515,34990,   19998,   20276,38184,-2475,Bearish
2024-02-27,12517,14714,   -1890,   -1678,17533,-2197,Bearish Reversal
