As of Date in Form YYYY-MM-DD,Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Open Interest (All),Net Positions,Interpretation
2026-04-07,70032,60117,   -6470,    3086,258663,9915,Bearish
2026-03-31,76502,57031,    8910,   -6458,256358,19471,Bullish
2026-03-24,67592,63489,   -4682,   12156,244680,4103,Bearish Reversal
2026-03-17,72274,51333,     190,     978,318004,20941,Bearish
2026-03-10,72084,50355,     205,  -24127,275311,21729,Bullish Reversal
2026-03-03,71879,74482,   -4720,    6439,290391,-2603,Bearish
2026-02-24,76599,68043,   -8992,    4604,285165,8556,Bearish Reversal
2026-02-17,85591,63439,    6703,   -2808,287390,22152,Bullish
2026-02-10,78889,66247,   -2797,   -3370,274666,12642,Bullish Reversal
2026-02-03,81685,69617,   -9342,    7469,279784,12068,Bearish
2026-01-27,91028,62148,    4891,   -4013,269849,28880,Bullish Reversal
2026-01-20,86136,66161,  -11828,    -823,275966,19975,Bearish Reversal
2026-01-13,97965,66984,     -12,    4608,287403,30981,Bearish
2026-01-06,97977,62376,    1225,   -6709,284377,35601,Bullish Reversal
2025-12-30,96752,69084,    3169,    9077,286451,27668,Bearish
2025-12-23,93583,60008,   -5717,   -1220,274369,33575,Bearish Reversal
2025-12-16,99300,61228,    3816,    6265,403867,38072,Bearish
2025-12-09,95484,54963,     815,    1847,347119,40521,Bearish
2025-12-02,94669,53116,    1023,   11234,328582,41553,Bearish
2025-11-25,93647,41882,    3938,   -5407,315399,51765,Bullish Reversal
2025-11-18,89709,47289,   -6156,     380,315545,42420,Bearish
2025-11-10,95865,46909,    5705,    3904,309882,48956,Bullish
2025-11-04,90161,43005,   -7508,  -10987,304760,47156,Bullish Reversal
2025-10-28,97668,53992,   -1349,    4208,310555,43676,Bearish
2025-10-21,99017,49784,   10761,   11827,300347,49233,Bearish
2025-10-14,88256,37957,   -4277,  -10891,290000,50299,Bullish Reversal
2025-10-07,92532,48848,    2728,     518,294285,43684,Bullish
2025-09-30,89804,48330,   -1631,  -19086,285789,41474,Bullish
2025-09-23,91435,67416,    4454,    1388,281162,24019,Bullish Reversal
2025-09-16,86981,66028,    1876,    8799,365891,20953,Bearish
2025-09-09,85105,57228,    8920,    -731,310398,27877,Bullish
2025-09-02,76185,57959,  -10352,   11016,296057,18226,Bearish Reversal
2025-08-26,86537,46943,    2460,     527,298322,39594,Bullish Reversal
2025-08-19,84077,46416,  -11924,   -2478,304458,37661,Bearish Reversal
2025-08-12,96001,48894,   11451,    1315,316811,47107,Bullish
2025-08-05,84550,47579,     -48,    1730,290285,36971,Bearish Reversal
2025-07-29,84598,45850,    8040,    3514,293645,38748,Bullish
2025-07-22,76558,42336,   -9649,   -4715,281535,34222,Bearish Reversal
2025-07-15,86207,47050,    4099,     155,281893,39157,Bullish
2025-07-08,82108,46895,    3176,   -1556,279888,35213,Bullish
2025-07-01,78932,48452,    1630,  -10491,274168,30480,Bullish
2025-06-24,77302,58942,    6329,   -4652,259948,18360,Bullish Reversal
2025-06-17,70973,63595,    -353,    1380,334937,7378,Bearish
2025-06-10,71327,62215,     402,   -2743,298671,9112,Bullish
2025-06-03,70925,64958,   -1684,   -2391,298126,5967,Bullish
2025-05-27,72608,67349,    3520,   -1107,295593,5259,Bullish Reversal
2025-05-20,69089,68455,   -2938,    1510,301110,634,Bearish Reversal
2025-05-13,72026,66945,    -329,   13080,307490,5081,Bearish
2025-05-06,72355,53865,    6831,    6717,280451,18490,Bullish
2025-04-29,65524,47148,   -1100,    8382,265803,18376,Bearish
2025-04-22,66624,38766,    3682,   -1079,257271,27858,Bullish
2025-04-15,62942,39845,   -4560,   -8374,249669,23097,Bullish Reversal
2025-04-08,67502,48219,     -65,   -5199,266758,19283,Bullish
2025-04-01,67567,53417,    5831,    1321,257117,14150,Bullish
2025-03-25,61737,52096,   -4655,    4483,231229,9641,Bearish Reversal
2025-03-18,66391,47613,   -7384,   -7443,320476,18778,Bullish
2025-03-11,73775,55056,     656,     867,319420,18719,Bearish
2025-03-04,73119,54189,   -4167,     319,304391,18930,Bearish
2025-02-25,77286,53870,   -5648,  -17260,301391,23416,Bullish Reversal
2025-02-18,82935,71129,   14240,   17306,303715,11806,Bearish
2025-02-11,68694,53824,   -1989,    3133,276366,14870,Bearish
2025-02-04,70683,50690,  -11041,     806,271345,19993,Bearish Reversal
2025-01-28,81725,49885,   12559,    -458,279517,31840,Bullish
2025-01-21,69166,50343,    7150,   -1972,263439,18823,Bullish
2025-01-14,62016,52315,   -8269,     196,261461,9701,Bearish
2025-01-07,70285,52119,   -3390,    2113,247811,18166,Bearish Reversal
2024-12-31,73675,50005,   -5252,    -831,258092,23670,Bearish
2024-12-24,78928,50836,   -7013,     580,251693,28092,Bearish Reversal
2024-12-17,85940,50256,    1522,    1341,340251,35684,Bullish
2024-12-10,84419,48915,    2178,   -3862,306813,35504,Bullish Reversal
2024-12-03,82241,52777,   14217,    3191,307679,29464,Bullish
2024-11-26,68024,49586,    6132,    5774,289033,18438,Bullish
2024-11-19,61892,43812,   -6765,   -8096,287341,18080,Bullish Reversal
2024-11-12,68657,51908,    7373,    6058,288619,16749,Bullish
2024-11-05,61284,45850,    5018,   -6121,263529,15434,Bullish Reversal
2024-10-29,56266,51971,    7163,    4240,267750,4295,Bullish
2024-10-22,49104,47732,    2275,     348,254792,1372,Bullish
2024-10-15,46829,47384,  -10043,    2659,249104,-555,Bearish Reversal
2024-10-08,56872,44725,     801,    3262,257025,12147,Bearish
2024-10-01,56071,41463,    4324,    4458,239651,14608,Bearish
2024-09-24,51747,37005,  -14234,   -8375,232823,14742,Bearish Reversal
2024-09-17,65981,45380,   -2452,    4379,278372,20601,Bearish
2024-09-10,68433,41001,    1059,     487,269479,27432,Bullish
2024-09-03,67374,40514,    3413,   -2271,263973,26860,Bullish
2024-08-27,63961,42785,    9854,     181,253674,21176,Bullish
2024-08-20,54107,42604,    5878,    3918,253133,11503,Bullish
2024-08-13,48230,38686,   -2418,    1336,252979,9544,Bearish Reversal
2024-08-06,50648,37350,     854,  -11477,257764,13298,Bullish Reversal
2024-07-30,49794,48827,   -3594,   -6019,266789,967,Bullish
2024-07-23,53388,54846,  -12533,   -4901,252187,-1458,Bearish Reversal
2024-07-16,65921,59747,   -1785,    -352,264434,6174,Bearish Reversal
2024-07-09,67705,60099,   -4078,    1600,271471,7606,Bearish
2024-07-02,71783,58499,    2241,   -2688,265554,13284,Bullish
2024-06-25,69542,61187,    3420,   -6423,252655,8355,Bullish Reversal
2024-06-18,66122,67610,    4786,     346,345118,-1488,Bullish
2024-06-11,61336,67264,     377,    8273,267660,-5928,Bearish
2024-06-04,60959,58991,   -7496,  -11521,254627,1968,Bullish Reversal
2024-05-28,68455,70512,      65,    8019,265906,-2057,Bearish
2024-05-21,68390,62493,    -178,   -1776,258244,5897,Bullish
2024-05-14,68568,64269,    2862,    3944,256748,4299,Bearish
2024-05-07,65707,60326,    4392,    -454,242910,5381,Bullish Reversal
2024-04-30,61315,60780,   -1514,    2691,261962,535,Bearish Reversal
2024-04-23,62829,58089,   -2522,   -1103,263107,4740,Bearish Reversal
2024-04-16,65351,59192,    -828,     825,263134,6159,Bearish Reversal
2024-04-09,66179,58367,    1895,  -12739,267024,7812,Bullish
2024-04-02,64284,71106,    -602,   -1049,266623,-6822,Bullish
2024-03-26,64886,72155,   -3625,   14337,260574,-7269,Bearish
2024-03-19,68511,57818,   -4692,  -13260,255935,10693,Bullish Reversal
2024-03-12,73204,71077,    3715,    1743,353521,2127,Bullish
2024-03-05,69488,69335,  -10418,    1508,309873,153,Bearish
2024-02-27,79907,67827,   -3072,   11076,307552,12080,Bearish
2024-02-20,82979,56750,   -5540,    1646,304972,26229,Bearish Reversal
2024-02-13,88518,55105,    4776,    4437,312885,33413,Bullish
2024-02-06,83742,50668,   -3229,    3006,301342,33074,Bearish Reversal
2024-01-30,86972,47661,    2597,   -3076,309275,39311,Bullish
2024-01-23,84375,50737,    5695,    8227,302456,33638,Bearish
2024-01-16,78680,42510,    -264,    -600,284650,36170,Bullish Reversal
2024-01-09,78944,43110,     614,    2860,287400,35834,Bearish
2024-01-02,78330,40250,    -274,   -9609,281637,38080,Bullish Reversal
2023-12-26,78604,49858,    6520,    1392,286224,28746,Bullish
2023-12-19,72084,48466,    -392,   -9910,283394,23618,Bullish Reversal
2023-12-12,72476,58376,   -3516,   -6290,348789,14100,Bullish
2023-12-05,75992,64666,   -5202,   -5072,288233,11326,Bearish Reversal
2023-11-28,81194,69738,    5062,    2116,304631,11456,Bullish
2023-11-21,76132,67623,    6074,    2012,295027,8509,Bullish
