As of Date in Form YYYY-MM-DD,Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Open Interest (All),Net Positions,Interpretation
2026-04-07,27259,9221,     956,    -745,59884,18038,Bullish Reversal
2026-03-31,26303,9966,     157,      18,60515,16337,Bullish Reversal
2026-03-24,26146,9948,   -4026,   -3326,61473,16198,Bearish Reversal
2026-03-17,30172,13274,    -224,   -2432,67292,16898,Bullish Reversal
2026-03-10,30396,15706,   -1183,   -2041,68758,14690,Bullish Reversal
2026-03-03,31579,17747,    1910,    1318,70154,13832,Bullish Reversal
2026-02-24,29669,16429,     843,     -50,72351,13240,Bullish
2026-02-17,28826,16479,     486,     223,69291,12347,Bullish
2026-02-10,28340,16256,   -3128,   -2106,69061,12084,Bearish Reversal
2026-02-03,31468,18362,   -4951,   -4135,73590,13106,Bearish Reversal
2026-01-27,36419,22497,   -3290,   -2088,79441,13922,Bearish
2026-01-20,39709,24585,   -1032,    1438,79009,15124,Bearish
2026-01-13,40741,23147,   -1848,   -1332,78337,17594,Bearish Reversal
2026-01-06,42589,24479,   -2078,   -2146,79050,18110,Bullish Reversal
2025-12-30,44667,26625,   -3471,   -2170,82836,18042,Bearish Reversal
2025-12-23,48138,28795,   -9593,   -5643,90330,19343,Bearish Reversal
2025-12-16,57731,34438,    4099,     696,97095,23293,Bullish
2025-12-09,53632,33742,    3002,    -908,90356,19890,Bullish
2025-12-02,50630,34650,    2625,    2624,87659,15980,Bullish
2025-11-25,48005,32026,       5,     599,83676,15979,Bearish
2025-11-18,48000,31427,     585,    2897,83408,16573,Bearish
2025-11-10,47415,28530,     604,     413,80545,18885,Bullish
2025-11-04,46811,28117,     199,    1055,78849,18694,Bearish
2025-10-28,46612,27062,   -1625,   -4301,78306,19550,Bullish Reversal
2025-10-21,48237,31363,   -6432,   -4353,81364,16874,Bearish Reversal
2025-10-14,54669,35716,   -1773,   -2385,88642,18953,Bullish Reversal
2025-10-07,56442,38101,     215,    3639,90867,18341,Bearish Reversal
2025-09-30,56227,34462,    -442,    -165,91091,21765,Bearish Reversal
2025-09-23,56669,34627,    2608,   -4231,97978,22042,Bullish Reversal
2025-09-16,54061,38858,    1004,     157,100289,15203,Bullish
2025-09-09,53057,38701,     901,    3543,94804,14356,Bearish
2025-09-02,52156,35158,    2842,    1630,88805,16998,Bullish
2025-08-26,49314,33528,      45,    -691,85575,15786,Bullish Reversal
2025-08-19,49269,34219,    1811,    4549,86155,15050,Bearish
2025-08-12,47458,29670,    1391,     265,81726,17788,Bullish
2025-08-05,46067,29405,   -6505,   -2599,80547,16662,Bearish Reversal
2025-07-29,52572,32004,   -2608,   -2501,88178,20568,Bearish Reversal
2025-07-22,55180,34505,      -6,   -1379,90701,20675,Bullish Reversal
2025-07-15,55186,35884,   -1053,     419,91718,19302,Bearish Reversal
2025-07-08,56239,35465,   -1320,     548,91757,20774,Bearish
2025-07-01,57559,34917,   -2584,     -14,91281,22642,Bearish Reversal
2025-06-24,60143,34931,   -1935,   -3920,100778,25212,Bullish Reversal
2025-06-17,62078,38851,    -650,    3102,105866,23227,Bearish
2025-06-10,62728,35749,    3709,   -3221,99722,26979,Bullish
2025-06-03,59019,38970,    -263,    5031,95262,20049,Bearish
2025-05-27,59282,33939,    8989,    1042,91884,25343,Bullish
2025-05-20,50293,32897,    7325,    -755,82058,17396,Bullish
2025-05-13,42968,33652,   -1637,   -1443,75977,9316,Bearish Reversal
2025-05-06,44605,35095,   -1189,    -737,77994,9510,Bearish
2025-04-29,45794,35832,     700,   -3585,76812,9962,Bullish Reversal
2025-04-22,45094,39417,     267,     624,77885,5677,Bearish
2025-04-15,44827,38793,    1064,   -5764,76375,6034,Bullish Reversal
2025-04-08,43763,44557,   -5686,   10083,81948,-794,Bearish
2025-04-01,49449,34474,    1033,    -384,78874,14975,Bullish Reversal
2025-03-25,48416,34858,   -1129,    5820,80688,13558,Bearish
2025-03-18,49545,29038,    3014,   -1745,80614,20507,Bullish
2025-03-11,46531,30783,   -1632,   -3528,79390,15748,Bullish
2025-03-04,48163,34311,   -4687,   -2363,79207,13852,Bearish Reversal
2025-02-25,52850,36674,   -5979,    1382,84790,16176,Bearish Reversal
2025-02-18,58829,35292,    4229,    6422,88270,23537,Bearish
2025-02-11,54600,28870,    8924,    2169,82571,25730,Bullish
2025-02-04,45676,26701,    -924,   -6526,73237,18975,Bullish Reversal
2025-01-28,46600,33227,   -2005,    -770,76105,13373,Bearish
2025-01-21,48605,33997,    1507,    2459,75574,14608,Bearish
2025-01-14,47098,31538,   -9341,   -7054,75049,15560,Bearish Reversal
2025-01-07,56439,38592,    3816,   -8375,84617,17847,Bullish Reversal
2024-12-31,52623,46967,   -4745,    5247,89197,5656,Bearish Reversal
2024-12-24,57368,41720,    1135,    -769,91990,15648,Bullish Reversal
2024-12-17,56233,42489,    2128,    3213,97942,13744,Bearish
2024-12-10,54105,39276,   -1310,    4347,97656,14829,Bearish
2024-12-03,55415,34929,     948,    -878,94662,20486,Bullish
2024-11-26,54467,35807,    -970,    3046,92361,18660,Bearish
2024-11-19,55437,32761,    2154,    -289,88953,22676,Bullish
2024-11-12,53283,33050,   -2497,    6311,88887,20233,Bearish
2024-11-05,55780,26739,   -1720,    4782,85562,29041,Bearish Reversal
2024-10-29,57500,21957,    3684,    3017,86344,35543,Bullish
2024-10-22,53816,18940,    7293,     804,81497,34876,Bullish
2024-10-15,46523,18136,     184,   -4546,72967,28387,Bullish Reversal
2024-10-08,46339,22682,      23,    4498,76979,23657,Bearish
2024-10-01,46316,18184,     213,   -3518,72633,28132,Bullish Reversal
2024-09-24,46103,21702,    3424,    1001,75168,24401,Bullish Reversal
2024-09-17,42679,20701,   -2748,  -14723,79134,21978,Bullish Reversal
2024-09-10,45427,35424,    3503,   -5112,84729,10003,Bullish Reversal
2024-09-03,41924,40536,   -1027,   13318,87185,1388,Bearish
2024-08-27,42951,27218,   -3029,   -3936,77082,15733,Bullish Reversal
2024-08-20,45980,31154,    -307,   -3194,81395,14826,Bullish Reversal
2024-08-13,46287,34348,    1896,     248,81605,11939,Bullish
2024-08-06,44391,34100,    1796,    5819,81153,10291,Bearish
2024-07-30,42595,28281,    1693,    -413,78760,14314,Bullish Reversal
2024-07-23,40902,28694,   -8060,    1680,80402,12208,Bearish Reversal
2024-07-16,48962,27014,    1612,    2330,83416,21948,Bearish
2024-07-09,47350,24684,    2318,    3608,81837,22666,Bearish
2024-07-02,45032,21076,    1836,   -1517,76572,23956,Bullish Reversal
2024-06-25,43196,22593,    -106,   -4845,76816,20603,Bullish Reversal
2024-06-18,43302,27438,   -4161,   -4327,87632,15864,Bullish Reversal
2024-06-11,47463,31765,   -8926,   -2058,89976,15698,Bearish Reversal
2024-06-04,56389,33823,   -1883,    3118,96267,22566,Bearish
2024-05-28,58272,30705,    -207,    -125,93588,27567,Bearish
2024-05-21,58479,30830,    5165,    1963,92741,27649,Bullish
2024-05-14,53314,28867,    8082,   -2705,87175,24447,Bullish
2024-05-07,45232,31572,    2700,   -4163,80677,13660,Bullish
2024-04-30,42532,35735,   -4064,   -3397,80142,6797,Bearish Reversal
2024-04-23,46596,39132,   -5834,    4943,83696,7464,Bearish
2024-04-16,52430,34189,    1100,    1866,81834,18241,Bearish
2024-04-09,51330,32323,    5485,   -4933,81425,19007,Bullish
2024-04-02,45845,37256,    2839,    1445,80099,8589,Bullish Reversal
2024-03-26,43006,35811,     466,    -449,80677,7195,Bullish Reversal
2024-03-19,42540,36260,   -2176,   -1037,86155,6280,Bearish
2024-03-12,44716,37297,   -4675,  -16458,86082,7419,Bullish Reversal
2024-03-05,49391,53755,    -507,    7458,96814,-4364,Bearish
2024-02-27,49898,46297,   -2607,    2287,87889,3601,Bearish
2024-02-20,52505,44010,    2187,   -4370,87861,8495,Bullish Reversal
2024-02-13,50318,48380,    5440,   13036,93019,1938,Bearish
2024-02-06,44878,35344,    1060,    3075,77077,9534,Bearish
2024-01-30,43818,32269,   -2077,   -5285,74321,11549,Bullish Reversal
2024-01-23,45895,37554,    2652,    6868,79394,8341,Bearish
2024-01-16,43243,30686,   -3966,    7018,75103,12557,Bearish
2024-01-09,47209,23668,   -2751,    2747,71940,23541,Bearish Reversal
2024-01-02,49960,20921,    5556,     179,73883,29039,Bullish
2023-12-26,44404,20742,    4019,   -2645,70953,23662,Bullish Reversal
2023-12-19,40385,23387,    3596,   -5693,72263,16998,Bullish Reversal
2023-12-12,36789,29080,    -606,   -3182,74004,7709,Bullish Reversal
2023-12-05,37395,32262,   -1043,    3858,75508,5133,Bearish
2023-11-28,38438,28404,   -1838,   -4736,70437,10034,Bullish Reversal
2023-11-21,40276,33140,   -4693,  -15825,73431,7136,Bullish Reversal
2023-11-14,44969,48965,    4217,   15171,85870,-3996,Bearish
2023-11-07,40752,33794,   -3539,     329,73613,6958,Bearish Reversal
2023-10-31,44291,33465,   -1757,  -13063,74768,10826,Bullish Reversal
2023-10-24,46048,46528,    -698,     131,84610,-480,Bearish
2023-10-17,46746,46397,     777,     392,84292,349,Bullish
2023-10-10,45969,46005,     473,    3125,82751,-36,Bearish
2023-10-03,45496,42880,    5191,    9901,81529,2616,Bearish
2023-09-26,40305,32979,   -1853,     815,72957,7326,Bearish Reversal
2023-09-19,42158,32164,   -1461,   -4734,82379,9994,Bullish Reversal
2023-09-12,43619,36898,    6628,   14509,87021,6721,Bearish
2023-09-05,36991,22389,   -6566,   -6130,68721,14602,Bearish Reversal
2023-08-29,43557,28519,   -1027,  -15231,75619,15038,Bullish Reversal
2023-08-22,44584,43750,     351,    -482,82331,834,Bullish Reversal
2023-08-15,44233,44232,    2226,    5217,84557,1,Bearish
2023-08-08,42007,39015,    3971,   13269,79989,2992,Bearish
2023-08-01,38036,25746,    1547,    4744,68875,12290,Bearish
2023-07-25,36489,21002,   -1767,   -1518,64197,15487,Bearish Reversal
2023-07-18,38256,22520,    -334,   -8283,65834,15736,Bullish Reversal
2023-07-11,38590,30803,    2147,    2427,71007,7787,Bearish
2023-07-03,36443,28376,    2395,    6488,69383,8067,Bearish
2023-06-27,34048,21888,     -11,    7301,68517,12160,Bearish Reversal
2023-06-20,34059,14587,    -269,    2231,69436,19472,Bearish Reversal
2023-06-13,34328,12356,    -873,    1768,69851,21972,Bearish
2023-06-06,35201,10588,   -2333,   -3540,67537,24613,Bullish Reversal
2023-05-30,37534,14128,   -3712,     361,69929,23406,Bearish Reversal
2023-05-23,41246,13767,    1284,    -372,73079,27479,Bullish Reversal
2023-05-16,39962,14139,   -1750,     511,73410,25823,Bearish Reversal
2023-05-09,41712,13628,     603,    -794,74125,28084,Bullish
2023-05-02,41109,14422,    -131,    2799,73591,26687,Bearish
2023-04-25,41240,11623,    6212,     914,72125,29617,Bullish
2023-04-18,35028,10709,    5458,   -5528,63794,24319,Bullish
2023-04-11,29570,16237,    -271,    1819,60115,13333,Bearish
2023-04-04,29841,14418,    5594,     545,59156,15423,Bullish
2023-03-28,24247,13873,    -952,   -1800,57244,10374,Bullish Reversal
2023-03-21,25199,15673,   -2224,   -1177,61416,9526,Bearish Reversal
2023-03-14,27423,16850,   -1565,   -6993,66817,10573,Bullish Reversal
2023-03-07,28988,23843,    1275,    1427,69721,5145,Bearish
2023-02-28,27713,22416,    -345,   -2737,68075,5297,Bullish
2023-02-21,28058,25153,    -502,    2591,67499,2905,Bearish
2023-02-14,28560,22562,   -2302,    2320,66197,5998,Bearish
2023-02-07,30862,20242,   -4236,    1281,65469,10620,Bearish Reversal
2023-01-31,35098,18961,   -4181,     -57,69121,16137,Bearish Reversal
2023-01-24,39279,19018,   -1108,    2175,72613,20261,Bearish
2023-01-17,40387,16843,   -3358,    3800,71144,23544,Bearish Reversal
2023-01-10,43745,13043,    2190,    1991,72216,30702,Bullish
2023-01-03,41555,11052,    5229,    -608,69687,30503,Bullish
2022-12-27,36326,11660,   -1047,   -1661,66817,24666,Bullish Reversal
2022-12-20,37373,13321,   -1739,    2654,70021,24052,Bearish Reversal
2022-12-13,39112,10667,    2419,    -390,72416,28445,Bullish
2022-12-06,36693,11057,    1425,      48,68821,25636,Bullish
2022-11-29,35268,11009,    1436,    -333,66468,24259,Bullish
2022-11-22,33832,11342,     753,     807,63704,22490,Bearish
2022-11-15,33079,10535,    2014,   -1081,63391,22544,Bullish
2022-11-08,31065,11616,    2454,   -1008,60301,19449,Bullish
2022-11-01,28611,12624,     140,   -4466,56534,15987,Bullish
2022-10-25,28471,17090,    2086,    -801,56117,11381,Bullish
2022-10-18,26385,17891,    2079,    -487,53728,8494,Bullish
2022-10-11,24306,18378,   -1304,   -3951,52435,5928,Bullish Reversal
2022-10-04,25610,22329,    1666,   -1454,55682,3281,Bullish Reversal
2022-09-27,23944,23783,   -3812,   -1583,58994,161,Bearish Reversal
2022-09-20,27756,25366,   -2796,   -7065,62900,2390,Bullish Reversal
2022-09-13,30552,32431,   -3046,   -7918,68574,-1879,Bullish Reversal
2022-09-06,33598,40349,    3963,    5336,78610,-6751,Bearish
2022-08-30,29635,35013,    2665,    7467,70747,-5378,Bearish
2022-08-23,26970,27546,     752,    4268,62329,-576,Bearish
2022-08-16,26218,23278,   -1536,   -3630,57254,2940,Bullish Reversal
2022-08-09,27754,26908,    -894,   -4281,62782,846,Bullish Reversal
2022-08-02,28648,31189,   -2379,   -4306,68266,-2541,Bullish Reversal
2022-07-26,31027,35495,   -1933,   -1747,73423,-4468,Bearish Reversal
2022-07-19,32960,37242,     380,   -1249,75069,-4282,Bullish Reversal
2022-07-12,32580,38491,     660,    3837,75615,-5911,Bearish
2022-07-05,31920,34654,    3469,    4897,72895,-2734,Bearish
2022-06-28,28451,29757,    2775,    5572,68232,-1306,Bearish
2022-06-21,25676,24185,     591,    1314,64946,1491,Bearish Reversal
