As of Date in Form YYYY-MM-DD,Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Open Interest (All),Net Positions,Interpretation
2026-04-07,32810,9393,    -653,    -166,115138,23417,Bearish Reversal
2026-03-31,33463,9559,    -475,     294,115169,23904,Bearish
2026-03-24,33938,9265,    2813,      21,113164,24673,Bullish Reversal
2026-03-17,31125,9244,   -2181,     516,114758,21881,Bearish Reversal
2026-03-10,33306,8728,    -920,   -2160,115458,24578,Bullish
2026-03-03,34226,10888,    1726,     648,113326,23338,Bullish Reversal
2026-02-24,32500,10240,   -4126,   -2383,125454,22260,Bearish Reversal
2026-02-17,36626,12623,     -34,   -1082,131496,24003,Bullish Reversal
2026-02-10,36660,13705,   -2223,     699,133641,22955,Bearish Reversal
2026-02-03,38883,13006,   -4592,   -6766,143180,25877,Bullish Reversal
2026-01-27,43475,19772,     510,    2021,156637,23703,Bearish
2026-01-20,42965,17751,   -4372,    2474,152020,25214,Bearish
2026-01-13,47337,15277,     -47,   -2836,151513,32060,Bullish Reversal
2026-01-06,47384,18113,   -3122,   -2330,153240,29271,Bearish Reversal
2025-12-30,50506,20443,   -4737,    1084,157391,30063,Bearish
2025-12-23,55243,19359,    -791,    -323,155710,35884,Bearish
2025-12-16,56034,19682,   -9924,   -1567,152921,36352,Bearish Reversal
2025-12-09,65958,21249,    6383,     193,154762,44709,Bullish
2025-12-02,59575,21056,    7573,    1242,150832,38519,Bullish
2025-11-25,52002,19814,   -2533,    -705,144541,32188,Bearish Reversal
2025-11-18,54535,20519,    -503,   -1533,153295,34016,Bullish Reversal
2025-11-10,55038,22052,     872,    1107,159649,32986,Bearish
2025-11-04,54166,20945,   -1793,    2105,155257,33221,Bearish Reversal
2025-10-28,55959,18840,   -4945,   -4805,158187,37119,Bearish Reversal
2025-10-21,60904,23645,   -6137,    -215,169418,37259,Bearish Reversal
2025-10-14,67041,23860,    -627,    2409,172415,43181,Bearish
2025-10-07,67668,21451,   -2394,    1128,166474,46217,Bearish
2025-09-30,70062,20323,   -2256,     281,163837,49739,Bearish Reversal
2025-09-23,72318,20042,     695,     -43,165805,52276,Bullish
2025-09-16,71623,20085,    -827,    1572,162954,51538,Bearish
2025-09-09,72450,18513,   -2016,     -30,156703,53937,Bearish Reversal
2025-09-02,74466,18543,    6239,   -3218,158368,55923,Bullish Reversal
2025-08-26,68227,21761,     125,     208,158630,46466,Bearish
2025-08-19,68102,21553,    1850,    -431,158477,46549,Bullish
2025-08-12,66252,21984,   -4982,    1408,156432,44268,Bearish Reversal
