As of Date in Form YYYY-MM-DD,Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Open Interest (All),Net Positions,Interpretation
2026-04-07,10586,41280,    1271,    2094,86646,-30694,Bearish
2026-03-31,9315,39186,    1484,    4258,79740,-29871,Bearish
2026-03-24,7831,34928,    -344,    1540,76518,-27097,Bearish
2026-03-17,8175,33388,   -3977,  -19856,74101,-25213,Bullish Reversal
2026-03-10,12152,53244,    -238,    -429,110897,-41092,Bullish
2026-03-03,12390,53673,     865,     962,105413,-41283,Bearish
2026-02-24,11525,52711,    1453,    1758,96835,-41186,Bearish
2026-02-17,10072,50953,     472,    -906,95743,-40881,Bullish Reversal
2026-02-10,9600,51859,     -87,    1455,95799,-42259,Bearish
2026-02-03,9687,50404,     -37,   -2213,93555,-40717,Bullish Reversal
2026-01-27,9724,52617,   -2533,   -2847,96111,-42893,Bullish Reversal
2026-01-20,12257,55464,   -1138,   -1323,98085,-43207,Bullish
2026-01-13,13395,56787,    2318,    5444,96220,-43392,Bearish
2026-01-06,11077,51343,    2167,   -1765,90378,-40266,Bullish
2025-12-30,8910,53108,     130,     339,89124,-44198,Bearish
2025-12-23,8780,52769,    -668,    4414,88305,-43989,Bearish Reversal
2025-12-16,9448,48355,     992,    1296,103436,-38907,Bearish
2025-12-09,8456,47059,    1562,    4380,92395,-38603,Bearish
2025-12-02,6894,42679,    -677,    -252,77275,-35785,Bearish Reversal
2025-11-25,7571,42931,   -1175,    2000,77509,-35360,Bearish
2025-11-18,8746,40931,    1343,   -2521,76329,-32185,Bullish Reversal
2025-11-10,7403,43452,   -1406,    2756,82840,-36049,Bearish
2025-11-04,8809,40696,    -340,    3689,81378,-31887,Bearish
2025-10-28,9149,37007,    1783,    1797,74922,-27858,Bearish
2025-10-21,7366,35210,   -1041,   -1403,74034,-27844,Bullish
2025-10-14,8407,36613,     839,    1575,73172,-28206,Bearish
2025-10-07,7568,35038,    -809,     599,72046,-27470,Bearish
2025-09-30,8377,34439,     150,    3194,71950,-26062,Bearish Reversal
2025-09-23,8227,31245,    1992,   -1030,72030,-23018,Bullish
2025-09-16,6235,32275,    -754,   -3553,71730,-26040,Bullish Reversal
2025-09-09,6989,35828,   -1412,    1539,105100,-28839,Bearish
2025-09-02,8401,34289,    1742,     652,80906,-25888,Bullish
2025-08-26,6659,33637,     200,    -100,78933,-26978,Bullish Reversal
2025-08-19,6459,33737,     368,    -397,80039,-27278,Bullish Reversal
2025-08-12,6091,34134,    -715,     -49,80415,-28043,Bearish
2025-08-05,6806,34183,   -2217,    1126,79837,-27377,Bearish
2025-07-29,9023,33057,     936,   -1095,76905,-24034,Bullish
2025-07-22,8087,34152,   -1872,    1556,75681,-26065,Bearish
2025-07-15,9959,32596,    1471,    1912,74255,-22637,Bearish
2025-07-08,8488,30684,    1388,    -269,72761,-22196,Bullish
2025-07-01,7100,30953,   -1084,    1825,72546,-23853,Bearish
2025-06-24,8184,29128,     327,    1215,69488,-20944,Bearish
2025-06-17,7857,27913,   -1383,   -2595,67383,-20056,Bullish Reversal
2025-06-10,9240,30508,    2095,   -2703,86928,-21268,Bullish
2025-06-03,7145,33211,    1356,    1939,81322,-26066,Bearish
2025-05-27,5789,31272,   -1843,    -127,73781,-25483,Bearish
2025-05-20,7632,31399,     189,     887,73133,-23767,Bearish
2025-05-13,7443,30512,    1885,    1380,73088,-23069,Bullish
2025-05-06,5558,29132,      -9,    -749,70578,-23574,Bullish Reversal
2025-04-29,5567,29881,     245,    -915,71949,-24314,Bullish Reversal
2025-04-22,5322,30796,      42,   -3068,72891,-25474,Bullish Reversal
2025-04-15,5280,33864,     932,    -761,73479,-28584,Bullish Reversal
2025-04-08,4348,34625,     205,  -12282,76433,-30277,Bullish Reversal
2025-04-01,4143,46907,     -35,    5136,89248,-42764,Bearish
2025-03-25,4178,41771,      91,    3309,85731,-37593,Bearish
2025-03-18,4087,38462,   -1042,   -3624,80057,-34375,Bullish Reversal
2025-03-11,5129,42086,    -443,   -1261,100493,-36957,Bullish
2025-03-04,5572,43347,     553,   -1132,97021,-37775,Bullish Reversal
2025-02-25,5019,44479,   -2028,    -927,97178,-39460,Bearish Reversal
2025-02-18,7047,45406,    1494,    1108,97878,-38359,Bullish Reversal
2025-02-11,5553,44298,     311,   -3202,98159,-38745,Bullish
2025-02-04,5242,47500,     246,    -496,97931,-42258,Bullish
2025-01-28,4996,47996,   -1530,    -367,97264,-43000,Bearish
2025-01-21,6526,48363,   -1031,    2105,96356,-41837,Bearish
2025-01-14,7557,46258,    -311,     502,94045,-38701,Bearish
2025-01-07,7868,45756,   -2639,    2436,91244,-37888,Bearish
2024-12-31,10507,43320,   -2011,    2420,89129,-32813,Bearish
2024-12-24,12518,40900,   -4354,    2228,85954,-28382,Bearish
2024-12-17,16872,38672,   12076,   -1116,85631,-21800,Bullish Reversal
2024-12-10,4796,39788,     -78,   -6180,109379,-34992,Bullish
2024-12-03,4874,45968,     416,    1834,85247,-41094,Bearish Reversal
2024-11-26,4458,44134,     422,    3027,86500,-39676,Bearish
2024-11-19,4036,41107,   -1329,    3048,82690,-37071,Bearish
2024-11-12,5365,38059,   -2742,     -29,78380,-32694,Bearish
2024-11-05,8107,38088,    1015,   -3002,75911,-29981,Bullish Reversal
2024-10-29,7092,41090,    1303,    2647,78973,-33998,Bearish
2024-10-22,5789,38443,   -1045,    5448,72719,-32654,Bearish
2024-10-15,6834,32995,    -785,    2917,66154,-26161,Bearish
2024-10-08,7619,30078,    1069,     674,63822,-22459,Bullish
2024-10-01,6550,29404,    -951,    2613,62140,-22854,Bearish
2024-09-24,7501,26791,   -1078,    1104,60688,-19290,Bearish
2024-09-17,8579,25687,     497,   -3699,58554,-17108,Bullish Reversal
2024-09-10,8082,29386,    -740,   -1318,80439,-21304,Bullish
2024-09-03,8822,30704,   -1051,   -3781,67121,-21882,Bullish Reversal
2024-08-27,9873,34485,    2273,    1171,68768,-24612,Bullish
