As of Date in Form YYYY-MM-DD,Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Open Interest (All),Net Positions,Interpretation
2026-04-07,23084,17573,    1376,    -454,36573,5511,Bullish Reversal
2026-03-31,21708,18027,    1251,    1187,38735,3681,Bullish
2026-03-24,20457,16840,    -969,    -893,36113,3617,Bearish
2026-03-17,21426,17733,    5042,   -4533,35456,3693,Bullish
2026-03-10,16384,22266,    1323,    2216,32012,-5882,Bearish
2026-03-03,15061,20050,    1766,    4966,29871,-4989,Bearish
2026-02-24,13295,15084,   -2121,      -4,26218,-1789,Bearish Reversal
2026-02-17,15416,15088,    -715,   -1772,26596,328,Bullish Reversal
2026-02-10,16131,16860,    -479,    -602,27789,-729,Bullish Reversal
2026-02-03,16610,17462,   -1335,   -4888,28190,-852,Bullish Reversal
2026-01-27,17945,22350,    1942,     -71,31746,-4405,Bullish
2026-01-20,16003,22421,   -1926,     762,29579,-6418,Bearish Reversal
2026-01-13,17929,21659,     258,     157,29868,-3730,Bullish Reversal
2026-01-06,17671,21502,    1019,     890,30078,-3831,Bullish
2025-12-30,16652,20612,     -36,     -97,28984,-3960,Bullish
2025-12-23,16688,20709,     793,     219,28181,-4021,Bullish
2025-12-16,15895,20490,    1117,   -8162,26994,-4595,Bullish Reversal
2025-12-09,14778,28652,     334,   -2010,42972,-13874,Bullish Reversal
2025-12-02,14444,30662,   -4004,   -4133,43781,-16218,Bullish Reversal
2025-11-25,18448,34795,    1555,    1794,47161,-16347,Bearish
2025-11-18,16893,33001,     889,    1370,44403,-16108,Bearish
2025-11-10,16004,31631,    -641,    -576,42792,-15627,Bearish Reversal
2025-11-04,16645,32207,    6038,    5474,43439,-15562,Bullish
2025-10-28,10607,26733,    -530,     229,34998,-16126,Bearish Reversal
2025-10-21,11137,26504,   -1142,    -708,35369,-15367,Bearish Reversal
2025-10-14,12279,27212,    -177,    1611,37137,-14933,Bearish Reversal
2025-10-07,12456,25601,    2730,    2239,38717,-13145,Bullish
2025-09-30,9726,23362,   -4306,   -1014,35699,-13636,Bearish Reversal
2025-09-23,14032,24376,    1541,   -1009,40441,-10344,Bullish
2025-09-16,12491,25385,   -6701,     635,38526,-12894,Bearish
2025-09-09,19192,24750,    5547,    6084,38029,-5558,Bearish
2025-09-02,13645,18666,     487,    -597,31502,-5021,Bullish
2025-08-26,13158,19263,    1799,    1916,31488,-6105,Bearish
2025-08-19,11359,17347,   -1370,   -1629,28891,-5988,Bullish Reversal
2025-08-12,12729,18976,    1330,     547,30410,-6247,Bullish
2025-08-05,11399,18429,   -2561,     313,30064,-7030,Bearish Reversal
2025-07-29,13960,18116,   -2965,   -2260,32919,-4156,Bearish Reversal
2025-07-22,16925,20376,     663,     449,35725,-3451,Bullish
