Market and Exchange Names,As of Date in Form YYYY-MM-DD,Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Open Interest (All),Change in Open Interest (All),Net Positions,Change Net Positions,Close,Change Price,signal,Interpretation
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2025-02-18,63852,49179,4464,5641,149733,6105,14673,-1177.0,0.04932766407728195,-8.482113480567932e-05,2,Market is Weak (Bearish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2025-02-11,59388,43538,-2071,-5659,143628,-1740,15850,3588.0,0.04848576337099075,-0.00018380582332611084,4,Market is weakening (Bullish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2025-02-04,61459,49197,14858,7820,145368,7047,12262,7038.0,0.04905536398291588,0.0003044120967388153,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2025-01-28,46601,41377,-1384,-8152,138321,-3403,5224,6768.0,0.04824299365282059,-0.0004424974322319031,4,Market is weakening (Bullish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2025-01-21,47985,49529,-9203,-1662,141724,-1136,-1544,-7541.0,0.048787057399749756,0.00038715824484825134,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2025-01-14,57188,51191,-2951,3443,142860,3709,5997,-6394.0,0.04851905256509781,-0.0002519190311431885,2,Market is Weak (Bearish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2025-01-07,60139,47748,-8319,-39,139151,3505,12391,-8280.0,0.04921066015958786,1.5828758478164673e-05,2,Market is Weak (Bearish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-12-31,68458,47787,5290,3462,135646,2845,20671,1828.0,0.04846792668104172,0.00046079978346824646,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-12-24,63168,44325,7639,3410,132801,5880,18843,4229.0,0.049580302089452744,-3.8135796785354614e-05,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-12-17,55529,40915,-6114,-12800,126921,-33780,14614,6686.0,0.04966767504811287,9.831041097640991e-05,4,Market is weakening (Bullish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-12-10,61643,53715,6529,2785,160701,13847,7928,3744.0,0.04939271882176399,-0.00020858272910118103,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-12-03,55114,50930,-1288,-2014,146854,4454,4184,726.0,0.049003031104803085,-0.000248592346906662,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-11-26,56402,52944,-4240,6316,142400,3140,3458,-10556.0,0.048589758574962616,0.0001694709062576294,2,Market is Weak (Bearish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-11-19,60642,46628,-12627,-6448,139260,-8530,14014,-6179.0,0.04947240278124809,-0.0002547949552536011,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-11-12,73269,53076,7768,18670,147790,4049,20193,-10902.0,0.04916541650891304,0.0005809292197227478,2,Market is Weak (Bearish)
